term	term_id	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
E2F mediated regulation of DNA replication R-HSA-113510	R-HSA-113510	15.9203748223634	3/22	0.00132720991030863	0.0238001020402642	1.62342118095069	TFDP1;E2F1;RB1
ESR-mediated signaling R-HSA-8939211	R-HSA-8939211	8.82289624547169	16/220	5.6037208389383e-10	9.95725256117246e-08	7.00186047705046	JUND;SRF;ESR2;USF1;MYC;FOSB;MYB;SP1;JUN;FOS;RUNX1;ESR1;CREB1;POU2F1;ATF2;TBP
Estrogen-dependent gene expression R-HSA-9018519	R-HSA-9018519	10.4926126866203	13/149	2.85249622097301e-09	2.91174037325476e-07	6.53584735171119	JUND;USF1;MYC;FOSB;MYB;SP1;JUN;FOS;RUNX1;ESR1;POU2F1;ATF2;TBP
Estrogen-dependent nuclear events downstream of ESR-membrane signaling R-HSA-9634638	R-HSA-9634638	14.4060702427695	3/24	0.00171901650849604	0.0288751254022056	1.53947612099183	FOS;SRF;CREB1
Extra-nuclear estrogen signaling R-HSA-9009391	R-HSA-9009391	7.30661635496611	5/75	0.000928464809856718	0.0185274105666145	1.73218527443251	FOS;SRF;ESR1;CREB1;ESR2
FGFR1 mutant receptor activation R-HSA-1839124	R-HSA-1839124	15.0661728213523	4/31	0.000247564570570001	0.00619845632351682	2.20771645463912	CUX1;STAT5A;STAT3;STAT1
Factors involved in megakaryocyte development and platelet production R-HSA-983231	R-HSA-983231	4.43869818175824	7/170	0.00161584332772305	0.0276674076888837	1.55803153038395	GATA5;IRF1;ZFPM2;MYB;GATA6;GATA1;TP53
Formation of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584	R-HSA-2559584	21.6167640683387	3/17	0.000607891228157526	0.0126042446838287	1.8994831745392	HMGA1;RB1;TP53
Formation of definitive endoderm R-HSA-9823730	R-HSA-9823730	42.7108898390652	5/17	5.29189876130748e-07	2.92597902343959e-05	4.53372879168887	GATA6;CTNNB1;SMAD4;TCF7L2;SMAD3
G0 and Early G1 R-HSA-1538133	R-HSA-1538133	12.5998216559283	3/27	0.00243042392487464	0.0388575005820319	1.41052513781604	TFDP1;E2F1;MYC
Gastrulation R-HSA-9758941	R-HSA-9758941	8.97122967817175	10/129	6.4039721442149e-07	3.38554721460183e-05	4.47037112518422	PAX3;DLX5;SMAD3;SMAD4;CTNNB1;MYB;TCF7L2;FOXC1;GATA6;TFAP2A
Gene expression (Transcription) R-HSA-74160	R-HSA-74160	6.28588806115365	56/1559	9.35304755328349e-20	2.48229882064144e-16	15.6051459390564	STAT1;MEF2C;CEBPB;RUNX1;CREB1;POU2F2;TP73;SMAD4;TCF3;JUN;NR2C2;MYC;SP1;RUNX2;RARG;SRF;DLX5;TFDP1;NKX2-5;RELA;TBP;RB1;NR1I3;POU2F1;ATF2;TAL1;DNMT3B;NFYC;ESR2;PPARA;GATA1;FOS;ZNF354C;ELF1;NFKB1;TCF7L2;RARA;TFAP2A;CTNNB1;SMARCA5;SKIL;HCFC1;MYB;DNMT1;VDR;TP53;E2F1;LMO2;NFYB;SMAD3;SP7;NR1H3;TWIST2;SPI1;ESR1;NCOR2
Generic Transcription Pathway R-HSA-212436	R-HSA-212436	6.49894152087385	50/1260	4.03983358440799e-19	5.3608591665094e-16	15.2707656018423	STAT1;MEF2C;CEBPB;RUNX1;CREB1;TP73;SMAD4;TCF3;JUN;NR2C2;MYC;SP1;RUNX2;RARG;SRF;DLX5;TFDP1;NKX2-5;RELA;TBP;RB1;NR1I3;ATF2;TAL1;NFYC;ESR2;PPARA;GATA1;FOS;ZNF354C;ELF1;NFKB1;TCF7L2;RARA;TFAP2A;CTNNB1;SKIL;MYB;VDR;TP53;E2F1;LMO2;NFYB;SMAD3;SP7;NR1H3;TWIST2;SPI1;ESR1;NCOR2
Germ layer formation at gastrulation R-HSA-9754189	R-HSA-9754189	21.6167640683387	3/17	0.000607891228157526	0.0126042446838287	1.8994831745392	CTNNB1;SMAD4;SMAD3
Growth hormone receptor signaling R-HSA-982772	R-HSA-982772	14.4060702427695	3/24	0.00171901650849604	0.0288751254022056	1.53947612099183	STAT5A;STAT3;STAT1
Heme signaling R-HSA-9707616	R-HSA-9707616	14.4365866446916	6/49	8.90825607959551e-06	0.000363730948234561	3.43921974520408	ATF2;PPARA;NFE2L2;MEF2C;MEF2D;CREB1
IkBA variant leads to EDA-ID R-HSA-5603029	R-HSA-5603029	75.5190542124743	3/7	3.36732919854149e-05	0.00114575534524732	2.94090810798149	RELA;NFKB1;NFKB2
Inactivation of CSF3 (G-CSF) signaling R-HSA-9705462	R-HSA-9705462	13.7524218558149	3/25	0.0019392099255613	0.0323689505813817	1.48987138042761	STAT5A;STAT3;STAT1
Incretin synthesis, secretion, and inactivation R-HSA-400508	R-HSA-400508	20.3391394826774	4/24	8.82641807235116e-05	0.00257421028176044	2.58935597939043	CDX2;CTNNB1;TCF7L2;ISL1
Inflammasomes R-HSA-622312	R-HSA-622312	16.8044877148694	3/21	0.00115464195946314	0.0212806927806609	1.67201423794086	NFKB1;NFKB2;RELA
Inhibition of replication initiation of damaged DNA by RB1/E2F1 R-HSA-113501	R-HSA-113501	30.2535684267117	3/13	0.000263285310095115	0.00653045993450874	2.18505623067209	TFDP1;E2F1;RB1
Interferon Signaling R-HSA-913531	R-HSA-913531	4.46880735657403	11/273	9.23882035950029e-05	0.00266519882979498	2.57427038608891	IRF5;STAT1;IRF7;STAT3;IRF4;EGR1;IRF1;IRF8;IRF6;STAT2;TP53
Interferon alpha/beta signaling R-HSA-909733	R-HSA-909733	13.8534640307019	9/78	7.7996687132092e-08	4.81402808485052e-06	5.31749138039667	IRF5;STAT1;IRF7;EGR1;IRF4;IRF1;IRF8;IRF6;STAT2
Interferon gamma signaling R-HSA-877300	R-HSA-877300	8.00068188359708	7/98	5.62444609570572e-05	0.00173573022534918	2.76051777382924	IRF5;STAT1;IRF7;IRF4;IRF1;IRF8;IRF6
Interleukin-1 family signaling R-HSA-446652	R-HSA-446652	4.99744782846177	7/152	0.000842847068363214	0.0172070470725844	1.76429365321204	NFKB1;SMAD3;STAT3;NFKBIB;TP53;NFKB2;RELA
Interleukin-1 processing R-HSA-448706	R-HSA-448706	50.3206126609654	3/9	7.96353098107269e-05	0.00234835680264077	2.62923591694507	RELA;NFKB1;NFKB2
Interleukin-17 signaling R-HSA-448424	R-HSA-448424	11.4029098783543	7/71	6.75663481084878e-06	0.000280189199812385	3.55254860906553	ATF2;JUN;MEF2A;FOS;NFKB1;MEF2C;CREB1
Interleukin-20 family signaling R-HSA-8854691	R-HSA-8854691	18.4896527892209	4/26	0.000122270489474225	0.00338026957358951	2.47104866373004	STAT5A;STAT3;STAT2;STAT1
Interleukin-21 signaling R-HSA-9020958	R-HSA-9020958	43.1530556848651	3/10	0.000112931245830618	0.00315494238352063	2.50100856756011	STAT3;STAT1;STAT5A
Interleukin-4 and Interleukin-13 signaling R-HSA-6785807	R-HSA-6785807	9.34376800014977	9/111	1.63980955853943e-06	7.63518345326956e-05	4.11718052353415	STAT1;HIF1A;STAT3;IRF4;CEBPD;MYC;FOS;TP53;POU2F1
Interleukin-9 signaling R-HSA-8985947	R-HSA-8985947	50.3206126609654	3/9	7.96353098107269e-05	0.00234835680264077	2.62923591694507	STAT3;STAT1;STAT5A
Intrinsic Pathway for Apoptosis R-HSA-109606	R-HSA-109606	10.2441884492951	5/55	0.00021945856821942	0.00565478679664408	2.24758376470608	TFDP1;TP73;STAT3;E2F1;TP53
KEAP1-NFE2L2 pathway R-HSA-9755511	R-HSA-9755511	5.18339782856674	6/125	0.00161092377698535	0.0276674076888837	1.55803153038395	NFKB1;MYC;SP1;ATF4;NFE2L2;RELA
Loss of Function of SMAD2/3 in Cancer R-HSA-3304349	R-HSA-3304349	39.9625181867308	2/7	0.00203740727702128	0.0335855833118912	1.47384710450581	SMAD4;SMAD3
Loss of Function of SMAD4 in Cancer R-HSA-3304347	R-HSA-3304347	199.04825427391	2/3	0.000298840698797677	0.00711536872804307	2.14780258926837	SMAD3;SMAD4
MAP kinase activation R-HSA-450294	R-HSA-450294	13.0375216329547	7/63	3.00308711305237e-06	0.000132836553300683	3.8766824015313	ATF2;JUN;MEF2A;FOS;NFKB1;MEF2C;CREB1
MAPK targets/ Nuclear events mediated by MAP kinases R-HSA-450282	R-HSA-450282	24.8469906325181	6/31	5.43385018592391e-07	2.9431506925392e-05	4.53118750097793	ATF2;JUN;MEF2A;FOS;MEF2C;CREB1
MECP2 regulates transcription factors R-HSA-9022707	R-HSA-9022707	66.4223414319007	2/5	0.00098306926117563	0.0187655181982502	1.72663943831014	MEF2C;CREB1
Mitochondrial biogenesis R-HSA-1592230	R-HSA-1592230	7.02901864693199	6/94	0.00035952299146048	0.00829716538553142	2.08107025312816	MEF2C;PPARA;MEF2D;CREB1;ATF2;HCFC1
MyD88 cascade initiated on plasma membrane R-HSA-975871	R-HSA-975871	13.9934221154782	11/96	2.80392830028382e-09	2.91174037325476e-07	6.53584735171119	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
MyD88 dependent cascade initiated on endosome R-HSA-975155	R-HSA-975155	14.5518805201869	12/102	3.75004184834108e-10	9.20369883623248e-08	7.0360376007707	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
MyD88-independent TLR4 cascade  R-HSA-166166	R-HSA-166166	13.4961920612922	12/109	8.20349485109636e-10	1.20955974082276e-07	6.91737267672836	NFKB1;MEF2C;IRF7;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
MyD88:MAL(TIRAP) cascade initiated on plasma membrane R-HSA-166058	R-HSA-166058	11.7602532575799	11/112	1.45914623195932e-08	1.10644974274858e-06	5.95606830784848	NFKB1;MEF2C;NFKBIB;JUN;FOS;CREB1;TP53;ATF2;MEF2A;NFKB2;RELA
Myogenesis R-HSA-525793	R-HSA-525793	33.2532464053653	7/29	1.12248472374603e-08	9.02749835400595e-07	6.04443258208654	TCF4;CTNNB1;MEF2A;MYOG;TCF3;MEF2C;MEF2D
NFE2L2 regulating ER-stress associated genes R-HSA-9818035	R-HSA-9818035	66.4223414319007	2/5	0.00098306926117563	0.0187655181982502	1.72663943831014	ATF4;NFE2L2
NGF-stimulated transcription R-HSA-9031628	R-HSA-9031628	31.9369485305296	9/39	1.25620013156616e-10	3.70439461019621e-08	7.4312827563577	ATF2;JUND;EGR1;FOS;ASCL1;SRF;FOSB;MEF2D;CREB1
Nuclear Events (kinase and transcription factor activation) R-HSA-198725	R-HSA-198725	23.8352835584333	11/61	1.78221689798557e-11	7.8833394120895e-09	8.10328977476601	ATF2;JUND;MEF2A;EGR1;FOS;ASCL1;SRF;FOSB;MEF2C;MEF2D;CREB1
Nuclear Receptor transcription pathway R-HSA-383280	R-HSA-383280	24.9712622379381	10/53	9.60134309350303e-11	3.18524557126963e-08	7.49685707945547	RARA;NCOR2;NR1H3;PPARA;VDR;NR2C2;RARG;ESR1;ESR2;NR1I3
Nuclear events mediated by NFE2L2 R-HSA-9759194	R-HSA-9759194	6.86924338250022	6/96	0.000402748801557236	0.00921461482183538	2.03552281391725	NFKB1;MYC;SP1;ATF4;NFE2L2;RELA
Nuclear events stimulated by ALK signaling in cancer R-HSA-9725371	R-HSA-9725371	21.4302793340387	6/35	1.15935283144425e-06	5.67470839137635e-05	4.2460564508344	STAT5A;STAT3;IRF4;RB1;CEBPB;DNMT1
Oncogene Induced Senescence R-HSA-2559585	R-HSA-2559585	26.1126172859522	7/35	4.60166693674061e-08	2.90781525002609e-06	5.53643319012492	TFDP1;E2F1;ETS1;ETS2;RB1;SP1;TP53
PERK regulates gene expression R-HSA-381042	R-HSA-381042	23.8829070381886	6/32	6.63332536395235e-07	3.38554721460183e-05	4.47037112518422	ATF6;CEBPG;NFYC;ATF4;NFYB;CEBPB
PPARA activates gene expression R-HSA-1989781	R-HSA-1989781	6.6688773475907	7/116	0.00016343349880453	0.00438133844269922	2.35839319783311	AHR;NFYB;SP1;PPARA;NFYC;NCOR2;NR1H3
Pre-NOTCH Expression and Processing R-HSA-1912422	R-HSA-1912422	5.46104621946642	6/119	0.00125105505313085	0.0228986214552364	1.64019066230661	TFDP1;ELF3;JUN;RUNX1;TP53;E2F1
Pre-NOTCH Transcription and Translation R-HSA-1912408	R-HSA-1912408	6.37059505441218	6/103	0.000586870104625884	0.0126042446838287	1.8994831745392	TFDP1;ELF3;JUN;RUNX1;TP53;E2F1
Programmed Cell Death R-HSA-5357801	R-HSA-5357801	4.09710695539091	8/211	0.00128316247063246	0.0233254328565654	1.63217028818281	TP73;TFDP1;STAT3;CTNNB1;IRF1;SATB1;TP53;E2F1
Purinergic signaling in leishmaniasis infection R-HSA-9660826	R-HSA-9660826	13.14831024128	3/26	0.00217620202592049	0.0352173181511767	1.45324371925152	NFKB1;NFKB2;RELA
RIP-mediated NFkB activation via ZBP1 R-HSA-1810476	R-HSA-1810476	31.302437193124	4/17	2.0873228917225e-05	0.000758870541730345	3.11983230553734	NFKB1;RELA;NFKB2;NFKBIB
RNA Polymerase II Transcription R-HSA-73857	R-HSA-73857	6.23176971156347	52/1390	7.30173306370222e-19	6.45959985035523e-16	15.1897943841977	STAT1;MEF2C;CEBPB;RUNX1;CREB1;POU2F2;TP73;SMAD4;TCF3;JUN;NR2C2;MYC;SP1;RUNX2;RARG;SRF;DLX5;TFDP1;NKX2-5;RELA;TBP;RB1;NR1I3;POU2F1;ATF2;TAL1;NFYC;ESR2;PPARA;GATA1;FOS;ZNF354C;ELF1;NFKB1;TCF7L2;RARA;TFAP2A;CTNNB1;SKIL;MYB;VDR;TP53;E2F1;LMO2;NFYB;SMAD3;SP7;NR1H3;TWIST2;SPI1;ESR1;NCOR2
RUNX1 regulates estrogen receptor mediated transcription R-HSA-8931987	R-HSA-8931987	49.8939307854425	2/6	0.00146491185272532	0.0254109546217843	1.59497901935791	ESR1;RUNX1
RUNX1 regulates transcription of genes involved in BCR signaling R-HSA-8939245	R-HSA-8939245	49.8939307854425	2/6	0.00146491185272532	0.0254109546217843	1.59497901935791	ELF1;RUNX1
RUNX1 regulates transcription of genes involved in WNT signaling R-HSA-8939256	R-HSA-8939256	49.8939307854425	2/6	0.00146491185272532	0.0254109546217843	1.59497901935791	ESR1;RUNX1
RUNX1 regulates transcription of genes involved in differentiation of HSCs R-HSA-8939236	R-HSA-8939236	6.92256623421338	8/129	4.53167079778666e-05	0.00148482151818837	2.82832574723866	TP73;LMO2;SPI1;TCF3;MYB;RUNX1;GATA1;TAL1
RUNX1 regulates transcription of genes involved in differentiation of myeloid cells R-HSA-8939246	R-HSA-8939246	39.9625181867308	2/7	0.00203740727702128	0.0335855833118912	1.47384710450581	RUNX1;RUNX2
RUNX1 regulates transcription of genes involved in interleukin signaling R-HSA-8939247	R-HSA-8939247	66.4223414319007	2/5	0.00098306926117563	0.0187655181982502	1.72663943831014	ELF1;RUNX1
RUNX2 regulates bone development R-HSA-8941326	R-HSA-8941326	15.0661728213523	4/31	0.000247564570570001	0.00619845632351682	2.20771645463912	SMAD4;RUNX2;SP7;RB1
RUNX2 regulates genes involved in differentiation of myeloid cells R-HSA-8941333	R-HSA-8941333	99.7405164537551	2/4	0.000593747034133412	0.0126042446838287	1.8994831745392	RUNX1;RUNX2
RUNX2 regulates osteoblast differentiation R-HSA-8940973	R-HSA-8940973	14.4060702427695	3/24	0.00171901650849604	0.0288751254022056	1.53947612099183	RUNX2;SP7;RB1
RUNX3 regulates BCL2L11 (BIM) transcription R-HSA-8952158	R-HSA-8952158	66.4223414319007	2/5	0.00098306926117563	0.0187655181982502	1.72663943831014	SMAD4;SMAD3
RUNX3 regulates CDKN1A transcription R-HSA-8941855	R-HSA-8941855	75.5190542124743	3/7	3.36732919854149e-05	0.00114575534524732	2.94090810798149	SMAD4;SMAD3;TP53
RUNX3 regulates WNT signaling R-HSA-8951430	R-HSA-8951430	60.3910144643672	3/8	5.34822047338101e-05	0.00166990319251214	2.77730870500596	CTNNB1;MYC;TCF7L2
Regulation of NFE2L2 gene expression R-HSA-9818749	R-HSA-9818749	101.572512000764	4/8	6.58437404756176e-07	3.38554721460183e-05	4.47037112518422	RELA;NFKB1;MYC;NFE2L2
Regulation of cholesterol biosynthesis by SREBP (SREBF) R-HSA-1655829	R-HSA-1655829	7.96176122024717	4/55	0.00222984334426191	0.0358666923374007	1.44530867255321	PPARA;NFYC;NFYB;SP1
Regulation of lipid metabolism by PPARalpha R-HSA-400206	R-HSA-400206	6.54784730325591	7/118	0.00018177796330221	0.00482438714604065	2.31655784833003	AHR;NFYB;SP1;PPARA;NFYC;NCOR2;NR1H3
Repression of WNT target genes R-HSA-4641265	R-HSA-4641265	27.4855141216206	3/14	0.000332639627523923	0.00781261567653532	2.10720353927231	CTBP2;MYC;TCF7L2
Response of EIF2AK1 (HRI) to heme deficiency R-HSA-9648895	R-HSA-9648895	25.20397862897	3/15	0.000412759800215908	0.00936294452797453	2.02858754964351	CEBPG;ATF4;CEBPB
SARS-CoV-1 Infection R-HSA-9678108	R-HSA-9678108	5.33259426100602	7/143	0.000586683495842152	0.0126042446838287	1.8994831745392	NFKB1;RB1;SMAD3;SMAD4;SP1;RUNX1;RELA
SARS-CoV-1 targets host intracellular signalling and regulatory pathways R-HSA-9735871	R-HSA-9735871	23.2818504564051	3/16	0.000504299816526884	0.0111534309421863	1.95259151736399	SMAD4;SP1;SMAD3
SARS-CoV-1-host interactions R-HSA-9692914	R-HSA-9692914	6.71932643686504	6/98	0.000449935123312219	0.0101197272650053	1.99483119193291	NFKB1;SMAD3;SMAD4;SP1;RUNX1;RELA
SMAD2/3 MH2 Domain Mutants in Cancer R-HSA-3315487	R-HSA-3315487	199.04825427391	2/3	0.000298840698797677	0.00711536872804307	2.14780258926837	SMAD3;SMAD4
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription R-HSA-2173796	R-HSA-2173796	16.5448138168361	5/36	2.76834335809829e-05	0.000966734641104324	3.01469271900833	TFDP1;SMAD4;MYC;SP1;SMAD3
SMAD4 MH2 Domain Mutants in Cancer R-HSA-3311021	R-HSA-3311021	199.04825427391	2/3	0.000298840698797677	0.00711536872804307	2.14780258926837	SMAD3;SMAD4
STAT3 nuclear events downstream of ALK signaling R-HSA-9701898	R-HSA-9701898	37.8002215696502	3/11	0.000154143309178178	0.00417445247509066	2.37940047889663	STAT3;HIF1A;DNMT1
SUMO E3 ligases SUMOylate target proteins R-HSA-3108232	R-HSA-3108232	9.97491562115914	15/183	3.81464533528852e-10	9.20369883623248e-08	7.0360376007707	SP3;ZBED1;SATB1;DNMT1;DNMT3B;PPARA;VDR;ESR1;TP53;RARA;NCOR2;NR1H3;NFKB2;RELA;TFAP2A
SUMOylation R-HSA-2990846	R-HSA-2990846	9.62350962012215	15/189	6.00286514614768e-10	9.95725256117246e-08	7.00186047705046	SP3;ZBED1;SATB1;DNMT1;DNMT3B;PPARA;VDR;ESR1;TP53;RARA;NCOR2;NR1H3;NFKB2;RELA;TFAP2A
SUMOylation of intracellular receptors R-HSA-4090294	R-HSA-4090294	20.5168561408084	5/30	1.09798222127501e-05	0.000428536002244688	3.36801268618093	RARA;NR1H3;PPARA;VDR;ESR1
SUMOylation of transcription factors R-HSA-3232118	R-HSA-3232118	17.7931315036488	3/20	0.00099696234587539	0.0187655181982502	1.72663943831014	SP3;TFAP2A;TP53
