term	term_id	variable	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
CLEC7A (Dectin-1) signaling R-HSA-5607764	R-HSA-5607764	Fibrosis	5.85666887842551	6/100	0.00089076150130311	0.0133563899686918	1.87431090926588	RELB;NFATC1;NFKB1;NFATC2;NFKB2;RELA
CLEC7A/inflammasome pathway R-HSA-5660668	R-HSA-5660668	Fibrosis	44.6017001046499	2/6	0.00181739499125023	0.0230783076879335	1.63679604078227	RELA;NFKB1
Calcineurin activates NFAT R-HSA-2025928	R-HSA-2025928	Fibrosis	25.5357293787855	2/9	0.00426656682592801	0.0462182381878079	1.33518661359288	NFATC2;NFATC1
Cardiogenesis R-HSA-9733709	R-HSA-9733709	Fibrosis	15.7873623349463	4/27	0.000216733487634707	0.00419861807432491	2.37689362899555	SMAD4;CTNNB1;SRF;KAT2A
Cell recruitment (pro-inflammatory response) R-HSA-9664424	R-HSA-9664424	Fibrosis	11.7474087934915	3/26	0.00296578538589644	0.0342225844094311	1.46568719665425	NFKB1;NFKB2;RELA
Cellular Senescence R-HSA-2559583	R-HSA-2559583	Fibrosis	8.77805124502294	16/197	5.71127621349167e-10	7.9777510897931e-08	7.09811951804068	NFKB1;RB1;TFDP1;HMGA1;STAT3;CDKN1B;SP1;CEBPB;SUZ12;JUN;FOS;TP53;E2F1;ETS1;RELA;ETS2
Cellular response to chemical stress R-HSA-9711123	R-HSA-9711123	Fibrosis	5.13694417532503	11/214	2.76745418059795e-05	0.000825261055652467	3.08340864891016	SIN3A;NFKB1;EP300;STAT3;MYC;MAFK;SP1;PPARA;NFE2L2;BRCA1;RELA
Cellular responses to stimuli R-HSA-8953897	R-HSA-8953897	Fibrosis	4.38586465552684	32/832	3.7208380519905e-10	5.48616899443488e-08	7.26073081863814	SIN3A;PGR;EP300;RB1;HMGA1;CEBPB;FOS;CREB1;TP53;NFYA;E2F1;ETS1;NFKB1;HIF1A;NFYB;STAT3;CDKN1B;JUN;ATF2;BRCA1;AR;MYC;ATF3;SP1;NR3C1;NFE2L2;TFDP1;MAFK;SUZ12;PPARA;RELA;ETS2
Cellular responses to stress R-HSA-2262752	R-HSA-2262752	Fibrosis	4.46998293666854	32/818	2.41629604897818e-10	4.27523314265873e-08	7.36904019676989	SIN3A;PGR;EP300;RB1;HMGA1;CEBPB;FOS;CREB1;TP53;NFYA;E2F1;ETS1;NFKB1;HIF1A;NFYB;STAT3;CDKN1B;JUN;ATF2;BRCA1;AR;MYC;ATF3;SP1;NR3C1;NFE2L2;TFDP1;MAFK;SUZ12;PPARA;RELA;ETS2
Circadian Clock R-HSA-400253	R-HSA-400253	Fibrosis	8.62362820531203	6/70	0.0001287580832727	0.00280101600824382	2.55268440910857	ATF2;NR3C1;PPARA;EP300;HIF1A;CREB1
Constitutive Signaling by AKT1 E17K in Cancer R-HSA-5674400	R-HSA-5674400	Fibrosis	11.7474087934915	3/26	0.00296578538589644	0.0342225844094311	1.46568719665425	FOXO1;CDKN1B;CREB1
Cyclin A:Cdk2-associated events at S phase entry R-HSA-69656	R-HSA-69656	Fibrosis	6.97636533624752	6/85	0.000374591704140763	0.00659705968979973	2.18064958643139	RB1;TFDP1;CDKN1B;MYC;MAX;E2F1
Cyclin D associated events in G1 R-HSA-69231	R-HSA-69231	Fibrosis	8.43309700151156	4/47	0.0018531055042562	0.0231987830579998	1.63453479636157	TFDP1;E2F1;CDKN1B;RB1
Cyclin E associated events during G1/S transition  R-HSA-69202	R-HSA-69202	Fibrosis	7.16130050743911	6/83	0.000329225260238407	0.00602595752188091	2.21997393407616	RB1;TFDP1;CDKN1B;MYC;MAX;E2F1
Cytokine Signaling in Immune system R-HSA-1280215	R-HSA-1280215	Fibrosis	5.28097604005827	35/789	7.40951452147505e-13	2.18498350444386e-10	9.66055183739198	BCL6;STAT1;FOXO1;ZEB1;SMAD7;EGR1;CEBPD;ILF3;STAT2;FOS;CREB1;TP53;PML;NFKB1;HIF1A;SMAD3;STAT6;STAT3;CDKN1B;IRF8;CIITA;JUN;ATF2;JUNB;STAT5A;RELB;IRF3;IRF4;IRF1;MYC;NFKB2;IRF5;ILF2;IRF2;RELA
Cytoprotection by HMOX1 R-HSA-9707564	R-HSA-9707564	Fibrosis	7.73525231945364	5/64	0.000736028048486734	0.011450279118321	1.94118392659316	PPARA;SIN3A;STAT3;NFE2L2;MAFK
Cytosolic sensors of pathogen-associated DNA  R-HSA-1834949	R-HSA-1834949	Fibrosis	11.4000831032714	7/64	6.89960170336915e-06	0.000277770670862009	3.55631361228892	STAT6;CTNNB1;IRF3;NFKB1;EP300;NFKB2;RELA
DDX58/IFIH1-mediated induction of interferon-alpha/beta R-HSA-168928	R-HSA-168928	Fibrosis	5.91791313308653	5/82	0.00224424524657256	0.0274480501585418	1.56148850132182	IRF3;NFKB1;EP300;NFKB2;RELA
DEx/H-box helicases activate type I IFN and inflammatory cytokines production  R-HSA-3134963	R-HSA-3134963	Fibrosis	67.4348580724094	3/7	4.66499119715133e-05	0.00115709220908782	2.93663203058815	RELA;NFKB1;NFKB2
Defective binding of RB1 mutants to E2F1,(E2F2, E2F3) R-HSA-9661069	R-HSA-9661069	Fibrosis	27.9242789063101	4/17	3.20577724474482e-05	0.000905120511441782	3.04329359320385	TFDP1;E2F1;CDKN1B;RB1
Deubiquitination R-HSA-5688426	R-HSA-5688426	Fibrosis	4.35240026474601	13/299	2.98679118971488e-05	0.000880771535278143	3.05513672931263	AR;EP300;HIF1A;SMAD3;KAT2A;SMAD4;SMAD7;MYC;YY1;ESR1;TP53;SMAD2;BRCA1
Developmental Biology R-HSA-1266738	R-HSA-1266738	Fibrosis	3.78864762704283	44/1422	8.92842097504995e-11	1.97466910564855e-08	7.70450566845807	EP300;CEBPD;CEBPB;MYOD1;TCF4;RUNX1;CREB1;PML;HOXD3;SMAD4;TCF3;JUN;MITF;MYC;KLF5;SRF;TFDP1;RELA;FOXO1;FLI1;GATA2;PPARA;GFI1;NFKB1;STAT3;TCF7L2;RARA;PPARG;KAT2A;CTNNB1;YY1;TP63;SIN3A;KLF4;MYB;TP53;E2F1;SMAD3;SPI1;CTCF;CEBPA;SUZ12;SMAD2;SNAI1
Disease R-HSA-1643685	R-HSA-1643685	Fibrosis	2.70797174031487	44/1881	5.21314972520472e-07	3.29421413587936e-05	4.48224817353053	EP300;STAT1;HMGA1;CEBPD;CEBPB;STAT2;RUNX1;CREB1;PML;SMAD4;JUN;IRF4;MYC;SP1;NFE2L2;NFKB2;TFDP1;RELA;RB1;FOXO1;TRIM28;ENO1;NR3C1;NELFE;NFKB1;STAT3;CDKN1B;TCF7L2;BRCA1;JUNB;IRF3;KAT2A;CTNNB1;SIN3A;TP53;E2F1;SMAD3;STAT5A;FOXM1;ESR1;SUZ12;TAF7;SMAD2;TAF1
Diseases of mitotic cell cycle R-HSA-9675126	R-HSA-9675126	Fibrosis	10.6711681161275	4/38	0.000828803273418949	0.0126615439954259	1.89751333161666	TFDP1;E2F1;CDKN1B;RB1
Diseases of signal transduction by growth factor receptors and second messengers R-HSA-5663202	R-HSA-5663202	Fibrosis	5.16439777880173	22/459	6.75400531313263e-09	7.79353482654522e-07	6.10826551954583	EP300;STAT1;RB1;FOXO1;CEBPB;CREB1;TP53;SMAD3;SMAD4;STAT3;CDKN1B;JUN;TCF7L2;JUNB;STAT5A;FOXM1;IRF4;MYC;ESR1;KAT2A;CTNNB1;SMAD2
Downregulation of SMAD2/3:SMAD4 transcriptional activity R-HSA-2173795	R-HSA-2173795	Fibrosis	17.5931357402341	5/31	2.20345629159565e-05	0.000687996823281748	3.16241356704704	SMAD2;SMAD4;SMAD7;STAT1;SMAD3
Downregulation of TGF-beta receptor signaling R-HSA-2173788	R-HSA-2173788	Fibrosis	11.7474087934915	3/26	0.00296578538589644	0.0342225844094311	1.46568719665425	SMAD2;SMAD7;SMAD3
Downstream signal transduction R-HSA-186763	R-HSA-186763	Fibrosis	14.525471509747	4/29	0.000288272579146568	0.00535017779758735	2.27163178522587	STAT5A;STAT6;STAT3;STAT1
Downstream signaling events of B Cell Receptor (BCR) R-HSA-1168372	R-HSA-1168372	Fibrosis	5.99628393860062	5/81	0.00212619499637146	0.0262461466063714	1.58093444960788	REL;NFATC1;NFKB1;NFATC2;RELA
E2F mediated regulation of DNA replication R-HSA-113510	R-HSA-113510	Fibrosis	14.2266185573764	3/22	0.0018149654768948	0.0230783076879335	1.63679604078227	TFDP1;E2F1;RB1
ESR-mediated signaling R-HSA-8939211	R-HSA-8939211	Fibrosis	7.77197530250431	16/220	2.88191371017422e-09	3.47663590309199e-07	6.45884078920104	JUND;PGR;EP300;SRF;RAD21;CDKN1B;MYC;MYB;SP1;JUN;FOS;YY1;RUNX1;ESR1;CREB1;ATF2
Estrogen-dependent gene expression R-HSA-9018519	R-HSA-9018519	Fibrosis	9.27574430296549	13/149	1.09464292196674e-08	1.21049263120822e-06	5.9170378499524	JUND;PGR;EP300;RAD21;MYC;MYB;SP1;JUN;FOS;YY1;RUNX1;ESR1;ATF2
Estrogen-dependent nuclear events downstream of ESR-membrane signaling R-HSA-9634638	R-HSA-9634638	Fibrosis	18.1558760702935	4/24	0.000134684845826356	0.00288269016792862	2.54020203315457	FOS;CDKN1B;SRF;CREB1
Extra-nuclear estrogen signaling R-HSA-9009391	R-HSA-9009391	Fibrosis	6.51353636612717	5/75	0.00151069401484725	0.0199471737084806	1.70011863029124	FOS;CDKN1B;SRF;ESR1;CREB1
FOXO-mediated transcription R-HSA-9614085	R-HSA-9614085	Fibrosis	21.5089948990806	12/66	6.86311772033651e-12	1.82147144297731e-09	8.73957763323601	FOXO1;SMAD2;SMAD4;NR3C1;BCL6;KLF4;NFYA;SIN3A;EP300;CDKN1B;NFYB;SMAD3
FOXO-mediated transcription of cell cycle genes R-HSA-9617828	R-HSA-9617828	Fibrosis	50.2932896692192	6/17	1.97487214692599e-08	1.95763620942377e-06	5.70826801065285	FOXO1;CDKN1B;SMAD2;SMAD4;SMAD3;KLF4
FOXO-mediated transcription of cell death genes R-HSA-9614657	R-HSA-9614657	Fibrosis	41.5887094694095	5/16	6.48220447145154e-07	3.90994787891645e-05	4.40782903187519	FOXO1;EP300;NFYB;BCL6;NFYA
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes R-HSA-9615017	R-HSA-9615017	Fibrosis	23.0638883706777	6/30	8.40875289154451e-07	4.85148482046938e-05	4.31412532312005	FOXO1;SMAD2;SMAD4;NR3C1;SIN3A;SMAD3
Factors involved in megakaryocyte development and platelet production R-HSA-983231	R-HSA-983231	Fibrosis	4.58015262454845	8/170	0.000643782507708411	0.0104182852162081	1.98220375727674	SIN3A;IRF1;MAFK;MYB;GATA2;GATA1;TP53;IRF2
Formation of Senescence-Associated Heterochromatin Foci (SAHF) R-HSA-2559584	R-HSA-2559584	Fibrosis	19.3032545454509	3/17	0.000834879502335923	0.0126615439954259	1.89751333161666	HMGA1;RB1;TP53
Formation of axial mesoderm R-HSA-9796292	R-HSA-9796292	Fibrosis	24.5508672232297	3/14	0.000458034383991409	0.00750384725378518	2.12471601491596	CTNNB1;SMAD2;SMAD3
Formation of definitive endoderm R-HSA-9823730	R-HSA-9823730	Fibrosis	38.1264967240792	5/17	9.10083666176778e-07	5.13906819155993e-05	4.28911561951629	CTNNB1;SMAD2;SMAD4;TCF7L2;SMAD3
Formation of the beta-catenin:TCF transactivating complex R-HSA-201722	R-HSA-201722	Fibrosis	5.29508492600365	5/91	0.00353161357146649	0.0393819429355969	1.40470286144845	EP300;CTNNB1;MYC;TCF4;TCF7L2
G0 and Early G1 R-HSA-1538133	R-HSA-1538133	Fibrosis	20.7926807860167	5/27	1.08521653785456e-05	0.000423553631097942	3.37309159072828	TFDP1;MYBL2;E2F1;MYC;MAX
G1 Phase R-HSA-69236	R-HSA-69236	Fibrosis	8.43309700151156	4/47	0.0018531055042562	0.0231987830579998	1.63453479636157	TFDP1;E2F1;CDKN1B;RB1
G1/S Transition R-HSA-69206	R-HSA-69206	Fibrosis	4.39240010007086	6/131	0.00352618315450836	0.0393819429355969	1.40470286144845	RB1;TFDP1;CDKN1B;MYC;MAX;E2F1
GLI proteins bind promoters of Hh responsive genes to promote transcription R-HSA-5635851	R-HSA-5635851	Fibrosis	35.7434680385266	2/7	0.00252569302296171	0.0300591447665488	1.52202337998505	GLI2;GLI1
Gastrulation R-HSA-9758941	R-HSA-9758941	Fibrosis	7.04223052307593	9/129	1.39211290466904e-05	0.000473675339614312	3.32451922483128	EP300;SMAD3;KAT2A;SMAD4;CTNNB1;MYB;TCF7L2;SMAD2;SNAI1
Gene expression (Transcription) R-HSA-74160	R-HSA-74160	Fibrosis	8.6237221271963	72/1559	3.4327115076954e-30	3.0368054471412e-27	26.5175830302548	EP300;STAT1;CEBPB;RUNX1;CREB1;POU2F2;PML;TP73;MYBL2;NR1I2;SMAD4;TCF3;JUN;NR2C2;MYC;SP1;RUNX2;NR4A3;SRF;TFDP1;NFATC2;RELA;RB1;FOXO1;SMAD7;TRIM28;PAX5;GATA2;ZNF300;ATF2;AR;NR3C1;NELFE;PPARA;GATA1;GLI2;FOS;ELF2;ELF1;NFKB1;CDKN1B;TCF7L2;RARA;BRCA1;JUNB;PPARD;PPARG;KAT2A;CTNNB1;YY1;TP63;BCL6;SIN3A;PGR;KLF4;MYB;VDR;TP53;NFYA;E2F1;TFAP2D;NFYB;SMAD3;SP7;MAX;NR1H3;SPI1;ESR1;SUZ12;TAF7;SMAD2;TAF1
Generic Transcription Pathway R-HSA-212436	R-HSA-212436	Fibrosis	10.7657669568561	71/1260	2.78924466691257e-35	7.40265534598596e-32	31.1306124700992	EP300;STAT1;CEBPB;RUNX1;CREB1;PML;TP73;MYBL2;NR1I2;SMAD4;TCF3;JUN;NR2C2;MYC;SP1;RUNX2;NR4A3;SRF;TFDP1;NFATC2;RELA;RB1;FOXO1;SMAD7;TRIM28;PAX5;GATA2;ZNF300;ATF2;AR;NR3C1;NELFE;PPARA;GATA1;GLI2;FOS;ELF2;ELF1;NFKB1;CDKN1B;TCF7L2;RARA;BRCA1;JUNB;PPARD;PPARG;KAT2A;CTNNB1;YY1;TP63;BCL6;SIN3A;PGR;KLF4;MYB;VDR;TP53;NFYA;E2F1;TFAP2D;NFYB;SMAD3;SP7;MAX;NR1H3;SPI1;ESR1;SUZ12;TAF7;SMAD2;TAF1
Germ layer formation at gastrulation R-HSA-9754189	R-HSA-9754189	Fibrosis	27.9242789063101	4/17	3.20577724474482e-05	0.000905120511441782	3.04329359320385	CTNNB1;SMAD2;SMAD4;SMAD3
Growth hormone receptor signaling R-HSA-982772	R-HSA-982772	Fibrosis	12.8661451305844	3/24	0.00234673410708832	0.0285698730284973	1.54409168972386	STAT5A;STAT3;STAT1
Heme signaling R-HSA-9707616	R-HSA-9707616	Fibrosis	12.8558154286824	6/49	1.66382871150115e-05	0.000558962202572665	3.25261755842684	ATF2;PPARA;EP300;NFE2L2;MAFK;CREB1
IkBA variant leads to EDA-ID R-HSA-5603029	R-HSA-5603029	Fibrosis	67.4348580724094	3/7	4.66499119715133e-05	0.00115709220908782	2.93663203058815	RELA;NFKB1;NFKB2
Immune System R-HSA-168256	R-HSA-168256	Fibrosis	2.0961817269613	41/2119	0.000162656884555406	0.003270389178864	2.4854005628822	EP300;STAT1;ZEB1;CEBPD;ILF3;STAT2;CREB1;PML;JUN;REL;IRF4;MYC;NFKB2;NFATC2;RELA;FOXO1;SMAD7;STAT6;IRF8;ATF2;PLAU;EGR1;FOS;NFKB1;STAT3;CDKN1B;CIITA;JUNB;IRF3;IRF5;NFATC1;CTNNB1;BCL6;TP53;HIF1A;SMAD3;STAT5A;RELB;IRF1;ILF2;IRF2
Inactivation of CSF3 (G-CSF) signaling R-HSA-9705462	R-HSA-9705462	Fibrosis	12.280753617056	3/25	0.00264506775110117	0.0312000436063222	1.50584479899528	STAT5A;STAT3;STAT1
Infectious disease R-HSA-5663205	R-HSA-5663205	Fibrosis	2.47748020810862	26/1081	0.00013757526452046	0.0029094578807767	2.53618792555724	EP300;STAT1;RB1;HMGA1;CEBPD;STAT2;RUNX1;CREB1;TRIM28;PML;NFKB1;SMAD3;SMAD4;JUN;IRF3;ENO1;SP1;NR3C1;NELFE;NFE2L2;NFKB2;CTNNB1;SUZ12;TAF7;RELA;TAF1
Inflammasomes R-HSA-622312	R-HSA-622312	Fibrosis	15.0155371151619	3/21	0.00158033492483778	0.0207634103491063	1.6827013129547	NFKB1;NFKB2;RELA
Inhibition of replication initiation of damaged DNA by RB1/E2F1 R-HSA-113501	R-HSA-113501	Fibrosis	27.0171949763521	3/13	0.000362849798783234	0.00657000581585858	2.18243424599666	TFDP1;E2F1;RB1
Interferon Signaling R-HSA-913531	R-HSA-913531	Fibrosis	6.13948481564765	16/273	6.19183332097279e-08	5.30100826898767e-06	5.2756415183216	IRF3;IRF5;STAT1;SMAD7;STAT3;IRF4;EGR1;IRF1;ILF2;ILF3;IRF8;CIITA;STAT2;TP53;IRF2;PML
Interferon alpha/beta signaling R-HSA-909733	R-HSA-909733	Fibrosis	12.2984930258397	9/78	2.00126868717193e-07	1.39772818309324e-05	4.85457727784673	IRF3;IRF5;STAT1;EGR1;IRF4;IRF1;IRF8;STAT2;IRF2
Interferon gamma signaling R-HSA-877300	R-HSA-877300	Fibrosis	10.7877004466804	10/98	1.33702505491444e-07	9.59044458308898e-06	5.01816125982549	IRF3;IRF5;STAT1;SMAD7;IRF4;IRF1;IRF8;CIITA;IRF2;PML
Interleukin-1 processing R-HSA-448706	R-HSA-448706	Fibrosis	44.9697989174698	3/9	0.000110132223859756	0.00243575768436494	2.61336591865723	RELA;NFKB1;NFKB2
Interleukin-17 signaling R-HSA-448424	R-HSA-448424	Fibrosis	6.90969809853775	5/71	0.00118089902992736	0.0168716415922502	1.77284265897751	ATF2;JUN;FOS;NFKB1;CREB1
Interleukin-20 family signaling R-HSA-8854691	R-HSA-8854691	Fibrosis	16.5047690439038	4/26	0.000186232551004164	0.00371624955161693	2.42989513018668	STAT5A;STAT3;STAT2;STAT1
Interleukin-21 signaling R-HSA-9020958	R-HSA-9020958	Fibrosis	38.5940481312281	3/10	0.000156043313353473	0.00318568425877013	2.49679727042723	STAT3;STAT1;STAT5A
Interleukin-4 and Interleukin-13 signaling R-HSA-6785807	R-HSA-6785807	Fibrosis	12.9166225804037	13/111	2.81387182837534e-10	4.6675098953176e-08	7.33091475265531	BCL6;STAT1;HIF1A;FOXO1;ZEB1;STAT6;STAT3;IRF4;CEBPD;MYC;FOS;TP53;JUNB
Interleukin-9 signaling R-HSA-8985947	R-HSA-8985947	Fibrosis	44.9697989174698	3/9	0.000110132223859756	0.00243575768436494	2.61336591865723	STAT3;STAT1;STAT5A
Intracellular signaling by second messengers R-HSA-9006925	R-HSA-9006925	Fibrosis	4.21616898475735	13/308	4.0650868373989e-05	0.00107887404664567	2.96702925414904	FOXO1;EGR1;CREB1;TP53;PML;CDKN1B;JUN;ATF2;SNAI2;ESR1;PPARG;SUZ12;SNAI1
Intrinsic Pathway for Apoptosis R-HSA-109606	R-HSA-109606	Fibrosis	11.2735095621229	6/55	3.26500136876301e-05	0.000912138277126003	3.03993931908315	TFDP1;TP73;STAT3;E2F1;TP63;TP53
KEAP1-NFE2L2 pathway R-HSA-9755511	R-HSA-9755511	Fibrosis	6.36659891047215	8/125	7.86675402718515e-05	0.00179985906794391	2.74476149956919	NFKB1;EP300;MYC;MAFK;SP1;NFE2L2;BRCA1;RELA
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production R-HSA-3134973	R-HSA-3134973	Fibrosis	134.365781551527	3/5	1.35499414145322e-05	0.00047317821729169	3.32497525628368	EP300;CTNNB1;IRF3
Loss of Function of SMAD2/3 in Cancer R-HSA-3304349	R-HSA-3304349	Fibrosis	67.4348580724094	3/7	4.66499119715133e-05	0.00115709220908782	2.93663203058815	SMAD2;SMAD4;SMAD3
Loss of Function of SMAD4 in Cancer R-HSA-3304347	R-HSA-3304347	Fibrosis	Inf	3/3	1.37752341001905e-06	6.89801345318973e-05	4.16127596296365	SMAD2;SMAD3;SMAD4
Loss of Function of TGFBR1 in Cancer R-HSA-3656534	R-HSA-3656534	Fibrosis	35.7434680385266	2/7	0.00252569302296171	0.0300591447665488	1.52202337998505	SMAD2;SMAD3
MAP kinase activation R-HSA-450294	R-HSA-450294	Fibrosis	7.86913630600118	5/63	0.000684601820960591	0.010886191010449	1.96312404976759	ATF2;JUN;FOS;NFKB1;CREB1
MAPK targets/ Nuclear events mediated by MAP kinases R-HSA-450282	R-HSA-450282	Fibrosis	13.4396440921685	4/31	0.000375341376473157	0.00659705968979973	2.18064958643139	ATF2;JUN;FOS;CREB1
MECP2 regulates transcription factors R-HSA-9022707	R-HSA-9022707	Fibrosis	59.5131476906187	2/5	0.00122055583485759	0.0168716415922502	1.77284265897751	PPARG;CREB1
MECP2 regulates transcription of neuronal ligands R-HSA-9022702	R-HSA-9022702	Fibrosis	29.7772642105484	2/8	0.00334291469213506	0.0375936253937561	1.42488579047183	SIN3A;CREB1
MITF-M-dependent gene expression R-HSA-9856651	R-HSA-9856651	Fibrosis	5.4221875899197	5/89	0.00320850728077675	0.036546688082324	1.4371519733639	SIN3A;MITF;CTNNB1;TCF7L2;CREB1
Metabolism of proteins R-HSA-392499	R-HSA-392499	Fibrosis	1.7632814938458	36/2090	0.00401750781463072	0.0442425964316595	1.354159393845	EP300;PML;NR1I2;SMAD4;RAD21;MITF;MYC;NFE2L2;NFKB2;RELA;SMAD7;TRIM28;AR;SATB1;NR3C1;PPARA;STAT3;TCF7L2;RARA;BRCA1;SP3;PPARG;KAT2A;CTNNB1;YY1;SIN3A;PGR;KLF4;VDR;TP53;HIF1A;SMAD3;NR1H3;ESR1;SUZ12;SMAD2
Mitochondrial biogenesis R-HSA-1592230	R-HSA-1592230	Fibrosis	5.11558440610219	5/94	0.00405921659090961	0.0445171935217938	1.35147222251381	NRF1;GABPA;PPARA;CREB1;ATF2
Mitotic G1 phase and G1/S transition R-HSA-453279	R-HSA-453279	Fibrosis	4.54194882961517	7/149	0.00142014752328768	0.019035714781846	1.72043081099654	MYBL2;RB1;TFDP1;CDKN1B;MYC;MAX;E2F1
MyD88 cascade initiated on plasma membrane R-HSA-975871	R-HSA-975871	Fibrosis	8.48407188217947	8/96	1.16275521129014e-05	0.000434641173347047	3.36186913556163	NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
MyD88 dependent cascade initiated on endosome R-HSA-975155	R-HSA-975155	Fibrosis	7.94021353027944	8/102	1.8181021523612e-05	0.000595709026218102	3.22496581939584	NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
MyD88-independent TLR4 cascade  R-HSA-166166	R-HSA-166166	Fibrosis	8.46149698812289	9/109	3.49525368106778e-06	0.000159937987406102	3.79604837326764	IRF3;NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
MyD88:MAL(TIRAP) cascade initiated on plasma membrane R-HSA-166058	R-HSA-166058	Fibrosis	7.17162823277259	8/112	3.59058168339018e-05	0.000962566039163388	3.01656946497751	NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
Myogenesis R-HSA-525793	R-HSA-525793	Fibrosis	14.525471509747	4/29	0.000288272579146568	0.00535017779758735	2.27163178522587	MYOD1;TCF4;CTNNB1;TCF3
NFE2L2 regulates pentose phosphate pathway genes R-HSA-9818028	R-HSA-9818028	Fibrosis	29.7772642105484	2/8	0.00334291469213506	0.0375936253937561	1.42488579047183	EP300;NFE2L2
NFE2L2 regulating ER-stress associated genes R-HSA-9818035	R-HSA-9818035	Fibrosis	134.365781551527	3/5	1.35499414145322e-05	0.00047317821729169	3.32497525628368	MAFK;EP300;NFE2L2
NFE2L2 regulating MDR associated enzymes R-HSA-9818032	R-HSA-9818032	Fibrosis	53.9408008259519	3/8	7.40280154416582e-05	0.00173867569010762	2.759781418073	MAFK;EP300;NFE2L2
NFE2L2 regulating anti-oxidant/detoxification enzymes R-HSA-9818027	R-HSA-9818027	Fibrosis	16.890491633391	3/19	0.00117037861758826	0.0168716415922502	1.77284265897751	EP300;NFE2L2;MAFK
