p.value	odds_ratio	overlap	adj_p.value	genes
Selenocysteine synthesis R-HSA-2408557	8.4560565860592e-109	709.71394618255	79/83	2.04021583449101e-106	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) R-HSA-975956	1.38343095917454e-107	582.259474824051	79/84	3.05968813804102e-105	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Response of EIF2AK4 (GCN2) to amino acid deficiency R-HSA-9633012	1.43482805012993e-104	273.622164993367	81/92	2.92925665003449e-102	RPS27A;UBA52;EIF2S2;ASNS;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) R-HSA-975957	8.09056710003142e-100	222.118032257319	79/92	1.43149100556556e-97	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Nonsense-Mediated Decay (NMD) R-HSA-927802	8.09056710003142e-100	222.118032257319	79/92	1.43149100556556e-97	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Selenoamino acid metabolism R-HSA-2408522	1.84641388094421e-97	179.350837310292	79/95	3.06273902501621e-95	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Major pathway of rRNA processing in the nucleolus and cytosol R-HSA-6791226	1.22526547015507e-93	94.0776539798905	84/118	1.91285562223033e-91	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;IMP3;RRP9;DDX52;IMP4;UTP3
rRNA processing in the nucleus and cytosol R-HSA-8868773	1.2231863631095e-90	79.7236878435076	84/124	1.80352033760701e-88	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;IMP3;RRP9;DDX52;IMP4;UTP3
Influenza Viral RNA Transcription and Replication R-HSA-168273	2.93699908458184e-90	106.049315428524	79/106	4.10252398446326e-88	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
rRNA processing R-HSA-72312	3.63523777975082e-90	77.7321492990974	84/125	4.82396053372934e-88	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;IMP3;RRP9;DDX52;IMP4;UTP3
Influenza Infection R-HSA-168255	1.34685681829178e-83	71.412886758045	79/119	1.70217047416494e-81	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Translation R-HSA-72766	1.6487792314743e-83	42.1787584401181	92/181	1.98902730924218e-81	RPS27A;UBA52;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;EIF3H;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS14;RPS5;EIF3K;RPS12;EIF3I;RPS13;RPS2;RPS20;RPS17;RPS26;EIF3M;RPS4X;RPN1;RPN2;EEF1A1;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;SEC11A;SPCS3;SEC11C;TRAM1
Cellular response to starvation R-HSA-9711097	1.16362164472392e-81	58.4444581900751	81/132	1.34271819352056e-79	RPS27A;UBA52;EIF2S2;ASNS;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Metabolism of amino acids and derivatives R-HSA-71291	2.24882572058447e-77	31.9047721005435	94/216	2.48682644267966e-75	RPS27A;UBA52;ASNS;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;DLD;DLST;ASPA;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;MCCC1;HIBADH;BCKDHB;SARDH;AMT;AADAT;DHTKD1;AASS;ADI1;CPS1;GCAT
Regulation of expression of SLITs and ROBOs R-HSA-9010553	3.14426588163206e-74	44.4200516881016	79/143	3.33795265994059e-72	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Signaling by ROBO receptors R-HSA-376176	2.67927606233156e-66	31.093960478328	79/170	2.7349225651646e-64	RPS27A;UBA52;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34
Metabolism R-HSA-1430728	7.50013387253844e-48	9.92975676776725	131/900	7.37235381396927e-46	ABCB11;RPS27A;UBA52;ABCA1;ASNS;RXRA;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;RPS27;RPS29;RPS14;RPS5;RPS12;RPS13;RPS2;RPS20;RPS17;RPS26;RPS4X;DLD;DLST;DPEP1;PECR;GLYAT;ACSM2B;ACSM5;ACSM2A;PON1;GPX4;EPHX2;ASPA;BCHE;RPL28;RPL23A;RPL37;RPLP1;RPL32;RPL14;RPL22;RPL15;RPL9;RPL26L1;RPLP2;RPL19;RPL10;RPL21;RPL13A;RPL31;RPL27;RPL26;RPL13;RPL3;RPL7A;RPLP0;RPL27A;RPL17;RPL38;RPL36A;RPL24;RPL8;RPL18A;RPL18;RPL12;RPL30;RPL41;RPL23;RPL29;RPL10A;RPL36;RPL39;RPL22L1;RPL6;RPL35;RPL4;RPL11;RPL35A;RPL7;RPL37A;RPL34;SLCO1A2;LRP1;ADH6;GSTO1;SLC26A1;CNDP2;ALDH1A1;ADH1B;ESD;GSTK1;GSS;GCLM;GCLC;PCCB;MCCC1;HIBADH;BCKDHB;SARDH;APOA2;MMUT;THEM5;HAO2;DBI;AMT;AADAT;DHTKD1;AASS;ADI1;CPS1;MTHFD1;GCAT;ACP5;SHMT2;ENPP1;DHFR2
Formation of the ternary complex, and subsequently, the 43S complex R-HSA-72695	2.63394011585692e-45	160.938555376955	37/43	2.49659895267295e-43	RPS27A;EIF2S2;RPS16;RPS15;RPS24;RPS15A;RPS18;RPS23;RPS7;RPS8;EIF3H;RPS3;RPS27L;RPS25;RPSA;RPS19;RPS10;RPS11;RPS6;RPS3A;RPS21;RPS9;EIF3L;RPS27;RPS29;RPS14;RPS5;EIF3K;RPS12;EIF3I;RPS13;RPS2;RPS20;RPS17;RPS26;EIF3M;RPS4X
