p.value	odds_ratio	overlap	adj_p.value	genes
Interferon gamma signaling R-HSA-877300	2.97215313867418e-08	9.16734612872532	13/59	7.17099493640116e-06	HLA-DRB1;HLA-A;HLA-F;HLA-DPA1;HLA-DRA;HLA-B;STAT1;OAS3;OAS1;OAS2;IRF8;IRF9;IRF1
ER to Golgi Anterograde Transport R-HSA-199977	3.53250724594806e-08	6.77224048932197	16/94	7.49828523095019e-06	TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13;SEC23A;ARF1;SEC22B;COPB1;TRAPPC3;COPZ2;TMED7;ARFGAP1;SCFD1;ARF4;TMED3
Metabolism of proteins R-HSA-392499	3.67286013573295e-08	2.72702533686002	61/998	7.49828523095019e-06	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;HSPA8;TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13;HLA-A;SEC23A;SEC61G;RBX1;SEC61B;ARF1;SEC22B;KIF5B;ME2;NDUFAB1;NDUFB6;COPB1;TRAPPC3;COPZ2;TMED7;ARFGAP1;SCFD1;ARF4;TMED3;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4;AP3M1;COPS8;COPS4;TOP2A;SRPRB;VBP1;PFDN2;ADRM1;CDX2;SPCS3;SEC11C;SELENOS;DPP4;FEM1A;SSR2;NUB1;TRAM1;SSBP1;CLPX;CLPP
Golgi-to-ER retrograde transport R-HSA-8856688	4.65356882215242e-08	7.87416083884201	14/72	8.82183689570895e-06	TUBB4B;DYNLL1;TUBA1A;TUBA1B;RACGAP1;ARF1;SEC22B;KIF5B;COPB1;COPZ2;TMED7;ARFGAP1;ARF4;TMED3
Formation of tubulin folding intermediates by CCT/TriC R-HSA-389960	6.25432137751645e-08	16.7193620052827	9/26	1.10659792906191e-05	TUBB4B;TUBA1A;TUBA1B;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4
Transport to the Golgi and subsequent modification R-HSA-948021	7.57438918559966e-08	6.35642014790446	16/99	1.25640180616134e-05	TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13;SEC23A;ARF1;SEC22B;COPB1;TRAPPC3;COPZ2;TMED7;ARFGAP1;SCFD1;ARF4;TMED3
Hedgehog 'off' state R-HSA-5610787	1.52388633745063e-07	6.464030861315	15/91	2.37905549387881e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;GSK3B;TUBB4B;TUBA1A;TUBA1B;RBX1
Folding of actin by CCT/TriC R-HSA-390450	2.03838711384725e-07	46.2807576538304	6/10	3.00548855563922e-05	CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4
Degradation of GLI2 by the proteasome R-HSA-5610783	2.68066418182824e-07	8.21261785994777	12/59	3.23385579026007e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;GSK3B;RBX1
GLI3 is processed to GLI3R by the proteasome R-HSA-5610785	2.68066418182824e-07	8.21261785994777	12/59	3.23385579026007e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;GSK3B;RBX1
Interferon Signaling R-HSA-913531	2.63756696396505e-07	4.40473520886084	21/182	3.23385579026007e-05	PSMB8;HSPA8;TUBB4B;TUBA1A;TUBA1B;KPNA2;SEC13;HLA-DRB1;HLA-A;HLA-F;HLA-DPA1;HLA-DRA;HLA-B;STAT1;OAS3;OAS1;OAS2;STAT2;IRF8;IRF9;IRF1
Interferon alpha/beta signaling R-HSA-909733	2.68066418182824e-07	8.21261785994777	12/59	3.23385579026007e-05	PSMB8;HLA-A;HLA-F;HLA-B;STAT1;OAS3;OAS1;OAS2;STAT2;IRF8;IRF9;IRF1
Chaperonin-mediated protein folding R-HSA-390466	3.25858324548373e-07	8.03983287595281	12/60	3.7601217102234e-05	TUBB4B;TUBA1A;TUBA1B;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4;AP3M1;VBP1;PFDN2
GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2 R-HSA-9762114	4.61908301490299e-07	8.78722528779458	11/51	5.10793596731356e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;GSK3B;RBX1
Negative regulation of NOTCH4 signaling R-HSA-9604323	5.69715309860808e-07	8.5710908178474	11/52	5.83323745421769e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1;RBX1
Protein folding R-HSA-391251	5.71455063337076e-07	7.56219598506808	12/63	5.83323745421769e-05	TUBB4B;TUBA1A;TUBA1B;CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4;AP3M1;VBP1;PFDN2
The role of GTSE1 in G2/M progression after G2 checkpoint R-HSA-8852276	5.9491467369327e-07	6.77595816239405	13/75	5.84779090363681e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;TUBB4B;TUBA1A;TUBA1B;HSP90AB1
Mitotic Anaphase R-HSA-68882	7.73270722321006e-07	4.66415600016554	18/146	7.07676033462052e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13;CHMP2B;CHMP3;CC2D1B;RAN
Mitotic Metaphase and Anaphase R-HSA-2555396	7.73270722321006e-07	4.66415600016554	18/146	7.07676033462052e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13;CHMP2B;CHMP3;CC2D1B;RAN
Regulation of RUNX2 expression and activity R-HSA-8939902	8.15730129458331e-07	7.27382311796561	12/65	7.2164925452747e-05	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;GSK3B;RBX1;STAT1
Intra-Golgi and retrograde Golgi-to-ER traffic R-HSA-6811442	1.04745351992109e-06	5.43947419611772	15/105	8.96755368345346e-05	TUBB4B;DYNLL1;TUBA1A;TUBA1B;RACGAP1;ARF1;SEC22B;KIF5B;COPB1;COPZ2;TMED7;ARFGAP1;ARF4;TMED3;CYTH2
Cytokine Signaling in Immune system R-HSA-1280215	1.63472792621594e-06	2.74509449814513	38/540	0.000134812418567336	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;AKT1;HSPA8;TUBB4B;TUBA1A;GRB2;TUBA1B;KPNA2;SEC13;HLA-DRB1;HLA-A;RBX1;ARF1;HLA-F;HLA-DPA1;HLA-DRA;HLA-B;STAT1;OAS3;OAS1;OAS2;TCP1;VAMP7;CXCL10;STAT2;IRF8;IRF9;IRF1;LCP1
Host Interactions of HIV factors R-HSA-162909	1.67626594300003e-06	5.60595111102606	14/95	0.000134812418567336	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;SEC13;HLA-A;RBX1;ARF1;RAN
Degradation of GLI1 by the proteasome R-HSA-5610780	1.81652360400749e-06	7.46779098628936	11/58	0.000141795695442232	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;RBX1
Signaling by Hedgehog R-HSA-5358351	1.9248004220028e-06	5.1461190990803	15/110	0.000145954866285584	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;GSK3B;TUBB4B;TUBA1A;TUBA1B;RBX1
Association of TriC/CCT with target proteins during biosynthesis R-HSA-390471	3.81542874329831e-06	14.5158619971453	7/22	0.00027367967255983	CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4;AP3M1
XBP1(S) activates chaperone genes R-HSA-381038	3.81542874329831e-06	14.5158619971453	7/22	0.00027367967255983	XBP1;ATP6V0D1;ARFGAP1;SRPRB;DNAJB11;MYDGF;DNAJB9
Ubiquitin-dependent degradation of Cyclin D R-HSA-75815	3.99037866561684e-06	7.72987189678676	10/51	0.000278696446803871	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;GSK3B
G2/M Transition R-HSA-69275	4.66017662650349e-06	4.47131652946227	16/133	0.000317130994018981	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;TUBB4B;DYNLL1;TUBA1A;TUBA1B;RBX1;HSP90AB1
Degradation of DVL R-HSA-4641258	4.80482232174922e-06	7.54437370831857	10/52	0.000318799961048061	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
AUF1 (hnRNP D0) binds and destabilizes mRNA R-HSA-450408	5.75963101681425e-06	7.36750358904575	10/53	0.000347410470877841	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;HSPA8
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis R-HSA-8854050	5.75963101681425e-06	7.36750358904575	10/53	0.000347410470877841	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
Mitotic G2-G2/M phases R-HSA-453274	5.67824800366581e-06	4.39331758690034	16/135	0.000347410470877841	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;TUBB4B;DYNLL1;TUBA1A;TUBA1B;RBX1;HSP90AB1
Vif-mediated degradation of APOBEC3G R-HSA-180585	5.75963101681425e-06	7.36750358904575	10/53	0.000347410470877841	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
IRE1alpha activates chaperones R-HSA-381070	7.33071989575198e-06	12.804094983278	7/24	0.000432349568962795	XBP1;ATP6V0D1;ARFGAP1;SRPRB;DNAJB11;MYDGF;DNAJB9
Regulation of RAS by GAPs R-HSA-5658442	9.67498975941296e-06	6.88073098377453	10/56	0.000558204843945261	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
Cross-presentation of soluble exogenous antigens (endosomes) R-HSA-1236978	1.04675838338901e-05	7.86847956006923	9/45	0.000591084414790305	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
COPI-mediated anterograde transport R-HSA-6807878	1.07054941174094e-05	6.03479060288265	11/69	0.000591924612241761	TUBB4B;DYNLL1;TUBA1A;TUBA1B;ARF1;COPB1;COPZ2;TMED7;ARFGAP1;ARF4;TMED3
Asparagine N-linked glycosylation R-HSA-446203	1.31768841166769e-05	4.07499481094456	16/144	0.000713703070319602	TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13;SEC23A;ARF1;SEC22B;COPB1;TRAPPC3;COPZ2;TMED7;ARFGAP1;SCFD1;ARF4;TMED3
BBSome-mediated cargo-targeting to cilium R-HSA-5620922	1.35568471472403e-05	25.543885687896	5/11	0.000719597446575515	CCT3;CCT5;CCT2;TCP1;CCT4
Somitogenesis R-HSA-9824272	1.52276425960529e-05	7.45160959394748	9/47	0.000792434577449498	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Regulation of PTEN stability and activity R-HSA-8948751	1.5704060116277e-05	6.45492162370025	10/59	0.000801511068242292	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1
Class I MHC mediated antigen processing & presentation R-HSA-983169	1.66765451139031e-05	3.50468457221561	19/198	0.000835085862873563	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;SEC13;HLA-A;SEC23A;SEC61G;RBX1;SEC61B;HLA-F;SEC22B;HLA-B;TAP1
Orc1 removal from chromatin R-HSA-68949	1.83277363804487e-05	6.32433027939949	10/60	0.000884396588249288	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha R-HSA-1234176	1.83277363804487e-05	6.32433027939949	10/60	0.000884396588249288	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
HIV Infection R-HSA-162906	1.87192902455453e-05	3.94748589254514	16/148	0.000887160648422808	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;SEC13;HLA-A;RBX1;ARF1;CHMP2B;CHMP3;RAN
MAPK6/MAPK4 signaling R-HSA-5687128	2.13413775509157e-05	5.54874107440104	11/74	0.000945013943643394	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;DNAJB1
Regulation of Apoptosis R-HSA-169911	2.17203656979077e-05	7.07335049492454	9/49	0.000945013943643394	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Regulation of activated PAK-2p34 by proteasome mediated degradation R-HSA-211733	2.17203656979077e-05	7.07335049492454	9/49	0.000945013943643394	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Regulation of ornithine decarboxylase (ODC) R-HSA-350562	2.17203656979077e-05	7.07335049492454	9/49	0.000945013943643394	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Transcriptional regulation by RUNX2 R-HSA-8878166	2.06774480574449e-05	4.68862091450479	13/102	0.000945013943643394	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1;GSK3B;RBX1;STAT1
Infectious disease R-HSA-5663205	2.303961985565e-05	2.33767057901015	41/673	0.000986244372530566	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;PRKACA;AKT1;GSK3B;CLTC;HSPA8;TUBB4B;DYNLL1;TUBA1A;GRB2;TUBA1B;KPNA2;SEC13;HLA-A;SEC23A;RBX1;ARF1;HLA-F;HLA-B;FCGR2A;STAT1;OAS2;HSP90AB1;CHMP2B;CHMP3;ARPC5;ACTR3;PGK1;RAN;STAT2;NMI;SPCS3;SEC11C
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A R-HSA-69601	2.57641851051734e-05	6.90022552706724	9/50	0.00105197149644816	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
p53-Independent DNA Damage Response R-HSA-69610	2.57641851051734e-05	6.90022552706724	9/50	0.00105197149644816	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
p53-Independent G1/S DNA damage checkpoint R-HSA-69613	2.57641851051734e-05	6.90022552706724	9/50	0.00105197149644816	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
PCP/CE pathway R-HSA-4086400	2.76555251234605e-05	5.37550514184572	11/76	0.00111208732844946	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;CLTC;RAC2
Antigen Presentation: Folding, assembly and peptide loading of class I MHC R-HSA-983170	2.87137939321835e-05	13.2303283528121	6/20	0.0011374090909853	SEC13;HLA-A;SEC23A;HLA-F;HLA-B;TAP1
Autodegradation of the E3 ubiquitin ligase COP1 R-HSA-349425	3.04300007707927e-05	6.73438501934112	9/51	0.00115373174350977	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Metabolism of polyamines R-HSA-351202	3.04300007707927e-05	6.73438501934112	9/51	0.00115373174350977	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Vpu mediated degradation of CD4 R-HSA-180534	3.04300007707927e-05	6.73438501934112	9/51	0.00115373174350977	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Degradation of beta-catenin by the destruction complex R-HSA-195253	3.13775007523253e-05	5.29278917072675	11/77	0.00115660954162044	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;GSK3B;RBX1
Signaling by NOTCH4 R-HSA-9013694	3.13775007523253e-05	5.29278917072675	11/77	0.00115660954162044	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1;RBX1
Degradation of AXIN R-HSA-4641257	3.57934102136157e-05	6.57625134757017	9/52	0.00127982300660891	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
SCF-beta-TrCP mediated degradation of Emi1 R-HSA-174113	3.57934102136157e-05	6.57625134757017	9/52	0.00127982300660891	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Viral Infection Pathways R-HSA-9824446	3.61668144294153e-05	2.38695848372946	36/567	0.00127982300660891	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1;GSK3B;CLTC;HSPA8;TUBB4B;DYNLL1;TUBA1A;GRB2;TUBA1B;KPNA2;SEC13;HLA-A;SEC23A;RBX1;ARF1;HLA-F;HLA-B;STAT1;OAS2;HSP90AB1;CHMP2B;CHMP3;RAN;STAT2;NMI;SPCS3;SEC11C
Downstream TCR signaling R-HSA-202424	3.8603165830039e-05	4.72544886281926	12/93	0.00134806318569636	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;HLA-DRB1;HLA-DPA1;HLA-DRA
Cargo trafficking to the periciliary membrane R-HSA-5620920	3.91298624763405e-05	12.3491973450477	6/21	0.00134870980535335	ARF4;CCT3;CCT5;CCT2;TCP1;CCT4
Cellular response to hypoxia R-HSA-1234174	4.3403767951667e-05	5.6383301772029	10/66	0.00147684102748364	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
Hh mutants are degraded by ERAD R-HSA-5362768	4.89491030740411e-05	6.2810503680174	9/54	0.00162388649448131	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Regulation of RUNX3 expression and activity R-HSA-8941858	4.89491030740411e-05	6.2810503680174	9/54	0.00162388649448131	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Regulation of mRNA stability by proteins that bind AU-rich elements R-HSA-450531	5.09269558244298e-05	4.98578384211453	11/81	0.00166864371306218	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1;HSPA8
Separation of Sister Chromatids R-HSA-2467813	5.19693341041053e-05	3.98627938497369	14/127	0.00168203186234507	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;TUBB4B;DYNLL1;TUBA1A;TUBA1B;SEC13
Nuclear Envelope (NE) Reassembly R-HSA-2995410	5.76484637316555e-05	7.13669691408074	8/43	0.00184336171980498	TUBB4B;TUBA1A;TUBA1B;SEC13;CHMP2B;CHMP3;CC2D1B;RAN
Defective CFTR causes cystic fibrosis R-HSA-5678895	6.59756226660529e-05	6.01130092019843	9/56	0.00201263566155982	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Hedgehog 'on' state R-HSA-5632684	6.43539497749247e-05	5.34800090989579	10/69	0.00201263566155982	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1
Hh mutants abrogate ligand secretion R-HSA-5387390	6.59756226660529e-05	6.01130092019843	9/56	0.00201263566155982	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Stabilization of p53 R-HSA-69541	6.59756226660529e-05	6.01130092019843	9/56	0.00201263566155982	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding R-HSA-6814122	6.89737715436921e-05	10.8905332129348	6/23	0.00208018624632908	CCT3;CCT5;CCT2;TCP1;CCT6A;CCT4
Hedgehog ligand biogenesis R-HSA-5358346	7.62064062441697e-05	5.88538114658999	9/57	0.00224724224635585	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
NIK-->noncanonical NF-kB signaling R-HSA-5676590	7.62064062441697e-05	5.88538114658999	9/57	0.00224724224635585	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Asymmetric localization of PCP proteins R-HSA-4608870	8.77403692848332e-05	5.76228197237172	9/58	0.00247726532002072	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Formation of paraxial mesoderm R-HSA-9793380	8.77403692848332e-05	5.76228197237172	9/58	0.00247726532002072	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Neddylation R-HSA-8951664	8.68315693891983e-05	3.77961219695215	14/133	0.00247726532002072	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;RBX1;COPS8;COPS4;FEM1A;NUB1
SCF(Skp2)-mediated degradation of p27/p21 R-HSA-187577	8.77403692848332e-05	5.76228197237172	9/58	0.00247726532002072	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
Cyclin E associated events during G1/S transition  R-HSA-69202	9.33621139288147e-05	5.08618611994368	10/72	0.00260824263544289	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand R-HSA-3371497	9.55131049254301e-05	6.56981688892094	8/46	0.00264053937991762	HSPA8;TUBB4B;DYNLL1;TUBA1A;TUBA1B;HSP90AB1;DNAJB1;DNAJA1
Dectin-1 mediated noncanonical NF-kB signaling R-HSA-5607761	0.000100706904935173	5.64595397205592	9/59	0.00275542397626752	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1
TCR signaling R-HSA-202403	0.000107179172212917	4.19605901963864	12/103	0.0029025869699294	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;HLA-DRB1;HLA-DPA1;HLA-DRA
Sealing of the nuclear envelope (NE) by ESCRT-III R-HSA-9668328	0.000114662910583928	9.74082618345496	6/25	0.00307389257262369	TUBB4B;TUBA1A;TUBA1B;CHMP2B;CHMP3;CC2D1B
Cyclin A:Cdk2-associated events at S phase entry R-HSA-69656	0.000118321370991061	4.92422553284015	10/74	0.00314024918610276	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;AKT1
Nuclear events mediated by NFE2L2 R-HSA-9759194	0.000150431339331251	4.35108085261629	11/91	0.00395291856024891	PSMA4;PSME2;PSMD10;PSMC4;PSMB8;PSMB9;PSMD6;PSMB10;PSME1;GSK3B;RBX1
