p.value	odds_ratio	overlap	adj_p.value	genes
RHO GTPases Activate ROCKs R-HSA-5627117	6.77286344461119e-07	30.6972322521893	6/13	7.48965815916587e-05	LIMK2;ROCK2;MYH14;MYH10;PPP1CB;PPP1R12B
Sema4D induced cell migration and growth-cone collapse R-HSA-416572	6.77286344461119e-07	30.6972322521893	6/13	7.48965815916587e-05	LIMK2;ROCK2;MYH14;PLXNB1;MYH10;ARHGEF12
Formation of the beta-catenin:TCF transactivating complex R-HSA-201722	2.13011960594407e-06	6.51029751653808	12/81	0.000226133497367022	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;SMARCA4;MEN1
Phosphorylation of CD3 and TCR zeta chains R-HSA-202427	2.94679877694783e-06	21.5045321138226	6/16	0.000279314426929269	HLA-DRB1;CD3E;HLA-DQA1;CD3D;HLA-DPA1;HLA-DRA
Sema4D in semaphorin signaling R-HSA-400685	2.94679877694783e-06	21.5045321138226	6/16	0.000279314426929269	LIMK2;ROCK2;MYH14;PLXNB1;MYH10;ARHGEF12
Translocation of ZAP-70 to Immunological synapse R-HSA-202430	2.94679877694783e-06	21.5045321138226	6/16	0.000279314426929269	HLA-DRB1;CD3E;HLA-DQA1;CD3D;HLA-DPA1;HLA-DRA
DNA methylation R-HSA-5334118	3.27536745926865e-06	7.85639151229272	10/57	0.000289760841229967	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
RNA Polymerase I Promoter Opening R-HSA-73728	3.27536745926865e-06	7.85639151229272	10/57	0.000289760841229967	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Assembly of the ORC complex at the origin of replication R-HSA-68616	3.86406811172936e-06	7.69116758552072	10/58	0.000320476149016554	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
SIRT1 negatively regulates rRNA expression R-HSA-427359	3.86406811172936e-06	7.69116758552072	10/58	0.000320476149016554	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Chromatin modifications during the maternal to zygotic transition (MZT) R-HSA-9821002	5.32204514857964e-06	7.38057818482371	10/60	0.000428021449222132	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Condensation of Prophase Chromosomes R-HSA-2299718	8.39629888007397e-06	6.95568617159528	10/63	0.000636679349363323	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Defective pyroptosis R-HSA-9710421	8.39629888007397e-06	6.95568617159528	10/63	0.000636679349363323	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Pre-NOTCH Transcription and Translation R-HSA-1912408	1.37924844620407e-05	5.82556561792614	11/81	0.00101681260450711	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;RUNX1
HATs acetylate histones R-HSA-3214847	1.62744632865356e-05	5.2015750708324	12/98	0.00116736285303961	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;ACTL6A;EPC1
Meiotic recombination R-HSA-912446	1.6945772963903e-05	6.34937935051517	10/68	0.00118352845911049	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression R-HSA-427389	1.93490367005723e-05	6.24027358270327	10/69	0.00131672675393125	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
RNA Polymerase I Promoter Escape R-HSA-73772	2.20397851936658e-05	6.13480132592846	10/70	0.00146233974759973	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Formation of Fibrin Clot (Clotting Cascade) R-HSA-140877	2.38708711398029e-05	13.431908264783	6/22	0.00154520224402529	KLKB1;C1QBP;SERPINC1;SERPINE2;F11;F12
RUNX1 regulates transcription of genes involved in differentiation of HSCs R-HSA-8939236	2.97924048251432e-05	4.50581374334132	13/121	0.00188259624776024	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;KMT2A;RUNX1;CBFB
Pre-NOTCH Expression and Processing R-HSA-1912422	3.42928225471341e-05	5.21738849004261	11/89	0.00211658490790916	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;RUNX1
HCMV Late Events R-HSA-9610379	3.62676310676148e-05	5.74671253859564	10/74	0.00218759756485113	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
B-WICH complex positively regulates rRNA expression R-HSA-5250924	4.08573471363276e-05	5.65534613514054	10/75	0.00230698242703968	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Generation of second messenger molecules R-HSA-202433	4.11011786694158e-05	11.9361500295583	6/24	0.00230698242703968	HLA-DRB1;CD3E;HLA-DQA1;CD3D;HLA-DPA1;HLA-DRA
MITF-M-dependent gene expression R-HSA-9856651	4.172387207909e-05	7.44920461666001	8/47	0.00230698242703968	SMARCD3;ACTL6A;SMARCA4;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A
RHO GTPases activate PAKs R-HSA-5627123	4.07666769495861e-05	17.7661662378212	5/15	0.00230698242703968	CALM1;MYH14;MYH10;PPP1CB;PPP1R12B
Developmental Biology R-HSA-1266738	5.76643275201319e-05	2.34036042835309	37/699	0.00312328827017204	AKT1;CDK5;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;DPY30;SMARCD3;CDH1;PRKCQ;NRP1;LIMK2;ROCK2;RDX;MYH14;MSN;SEMA4A;PLXNB1;MYH10;DPYSL2;ARHGEF12;ACTL6A;SMARCA4;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;KMT2A;RUNX1;CBFB
Activation of HOX genes during differentiation R-HSA-5619507	6.3496699093519e-05	4.83775775551177	11/95	0.0031713418240087	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;DPY30
Activation of anterior HOX genes in hindbrain development during early embryogenesis R-HSA-5617472	6.3496699093519e-05	4.83775775551177	11/95	0.0031713418240087	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;DPY30
HDACs deacetylate histones R-HSA-3214815	6.45261712496119e-05	5.32290346102758	10/79	0.0031713418240087	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
NoRC negatively regulates rRNA expression R-HSA-427413	6.45261712496119e-05	5.32290346102758	10/79	0.0031713418240087	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Transcriptional regulation by small RNAs R-HSA-5578749	6.45261712496119e-05	5.32290346102758	10/79	0.0031713418240087	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Negative epigenetic regulation of rRNA expression R-HSA-5250941	7.20000947826108e-05	5.24562040520822	10/80	0.00347433184641907	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Estrogen-dependent gene expression R-HSA-9018519	7.51139514322255e-05	4.07793306956588	13/132	0.00355986476966297	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CTSD;RUNX1;CBFB
Costimulation by the CD28 family R-HSA-388841	7.68349366976365e-05	6.74884090812653	8/51	0.0035775424911496	AKT1;HLA-DRB1;CD274;CD3E;HLA-DQA1;CD3D;HLA-DPA1;HLA-DRA
Meiosis R-HSA-1500620	8.01983497573392e-05	5.17049634154264	10/81	0.00366976586648238	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
MHC class II antigen presentation R-HSA-2132295	8.43658027602363e-05	5.76268246615078	9/66	0.00379503119535029	HLA-DRB1;CTSD;AP1M1;CD74;AP1S1;HLA-DQA1;CANX;HLA-DPA1;HLA-DRA
Histidine catabolism R-HSA-70921	8.78025499663714e-05	104.732967904849	3/4	0.00388379946017916	AMDHD1;FTCD;UROC1
Factors involved in megakaryocyte development and platelet production R-HSA-983231	9.3128175365212e-05	4.61272627896639	11/99	0.00401567506573601	CDK5;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Signaling by Rho GTPases R-HSA-194315	9.38100429825292e-05	2.69592679194783	24/374	0.00401567506573601	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14;CALM1;CDH1;C1QBP;LIMK2;ROCK2;MYH14;PLXNB1;MYH10;ARHGEF12;PPP1CB;PPP1R12B;MEN1;STK10
Signaling by Rho GTPases, Miro GTPases and RHOBTB3 R-HSA-9716542	0.000106552107914818	2.67080276208075	24/377	0.00448871895882424	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;KDM4C;H3C14;CALM1;CDH1;C1QBP;LIMK2;ROCK2;MYH14;PLXNB1;MYH10;ARHGEF12;PPP1CB;PPP1R12B;MEN1;STK10
RNA Polymerase I Promoter Clearance R-HSA-73854	0.000134130657675901	4.82459483759714	10/86	0.00556223071049752	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
RNA Polymerase I Transcription R-HSA-73864	0.000147967166245112	4.76058697999683	10/87	0.00604161321868503	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
ESR-mediated signaling R-HSA-8939211	0.000161142025260052	3.37730880119405	15/182	0.00636143019551771	AKT1;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;CTSD;RUNX1;CBFB
Maternal to zygotic transition (MZT) R-HSA-9816359	0.000162990675695254	4.69892634674527	10/88	0.00636143019551771	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Positive epigenetic regulation of rRNA expression R-HSA-5250913	0.000162990675695254	4.69892634674527	10/88	0.00636143019551771	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
RHO GTPases activate CIT R-HSA-5625900	0.000175548981858989	20.1299206790437	4/11	0.00675227533121387	MYH14;MYH10;PPP1CB;PPP1R12B
Gene Silencing by RNA R-HSA-211000	0.000179281543182358	4.63732700846141	10/89	0.00679733165151397	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Reproduction R-HSA-1474165	0.000196923976003016	4.57844440515409	10/90	0.00736107369453527	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Nef mediated downregulation of MHC class I complex cell surface expression R-HSA-164940	0.000214949070687572	52.3684200919347	3/5	0.00781472374801118	HLA-A;AP1M1;AP1S1
RUNX1 regulates transcription of genes involved in BCR signaling R-HSA-8939245	0.000214949070687572	52.3684200919347	3/5	0.00781472374801118	RUNX1;CBFB;PAX5
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell R-HSA-198933	0.000232234968092889	6.62898408690419	7/45	0.00832907574754767	HLA-A;CD1B;CD3E;CD3D;CDH1;HLA-E;HLA-B
Mitotic Prophase R-HSA-68875	0.000258862368629841	4.40941950024204	10/93	0.00916027635124797	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
MITF-M-regulated melanocyte development R-HSA-9730414	0.000392417809393355	5.16629670977075	8/64	0.0137036429753943	SMARCD3;ACTL6A;SMARCA4;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A
HCMV Early Events R-HSA-9609690	0.000550335065251906	3.96954373029656	10/102	0.0189686917295917	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Formation of WDR5-containing histone-modifying complexes R-HSA-9772755	0.000694979845930464	8.44663201426084	5/26	0.0236471347576853	DPY30;KMT2B;KMT2A;MEN1;TASP1
Endosomal/Vacuolar pathway R-HSA-1236977	0.000721463690882118	26.1774702852936	3/7	0.0239345579450143	HLA-A;HLA-E;HLA-B
Reduction of cytosolic Ca++ levels R-HSA-418359	0.000721463690882118	26.1774702852936	3/7	0.0239345579450143	CALM1;ATP2B2;SLC8A1
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582	0.000747944450002325	3.8004259809104	10/106	0.0245067230901996	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Signaling by Nuclear Receptors R-HSA-9006931	0.00088499781104497	2.82538540322904	15/213	0.0286437096404067	AKT1;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;CTSD;RUNX1;CBFB
Oxidative Stress Induced Senescence R-HSA-2559580	0.00100082527301337	3.644921806842	10/110	0.032002292464789	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
CRMPs in Sema3A signaling R-HSA-399956	0.00113046478075046	20.9561576266394	3/8	0.0357173039060919	CDK5;NRP1;DPYSL2
TCF dependent signaling in response to WNT R-HSA-201681	0.00115595343861506	2.98151952933744	13/174	0.0360929461892279	AKT1;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;SMARCA4;MEN1
HCMV Infection R-HSA-9609646	0.00123338745890658	3.53550569286667	10/113	0.0380629106504426	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Interferon gamma signaling R-HSA-877300	0.00125699078860552	4.82864464809173	7/59	0.0383454431374603	HLA-DRB1;HLA-A;HLA-DQA1;HLA-DPA1;HLA-DRA;HLA-E;HLA-B
Generic Transcription Pathway R-HSA-212436	0.00156939094754421	1.99214091794603	31/645	0.0473314042588902	AKT1;CDK5;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;DPY30;SMARCD3;PRKCQ;ACTL6A;SMARCA4;KMT2B;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;KMT2A;EPC1;MEN1;RUNX1;CBFB;HTT;PAX5
Defects of contact activation system (CAS) and kallikrein/kinin system (KKS) R-HSA-9651496	0.00166066639179881	17.4673356899788	3/9	0.0495214449868993	KLKB1;F11;F12
Sensory Perception R-HSA-9709957	0.00203612617587581	4.39941119426661	7/64	0.06004309856416	HSPG2;CALM1;PRKCQ;RDX;MSN;LRP1;ATP2B2
Antigen Presentation: Folding, assembly and peptide loading of class I MHC R-HSA-983170	0.00211369106182976	8.79952908395038	4/20	0.0616454514076504	HLA-A;CANX;HLA-E;HLA-B
Acyl chain remodeling of DAG and TAG R-HSA-1482883	0.00236068725666393	69.0838462648227	2/3	0.0639312650937354	DGAT2;DGAT1
Defective SERPING1 causes hereditary angioedema R-HSA-9657689	0.00236068725666393	69.0838462648227	2/3	0.0639312650937354	KLKB1;F12
Defective factor XII causes hereditary angioedema R-HSA-9657688	0.00236068725666393	69.0838462648227	2/3	0.0639312650937354	KLKB1;F12
RUNX1 regulates expression of components of tight junctions R-HSA-8935964	0.00236068725666393	69.0838462648227	2/3	0.0639312650937354	RUNX1;CBFB
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes R-HSA-8939242	0.00236068725666393	69.0838462648227	2/3	0.0639312650937354	RUNX1;CBFB
RUNX3 regulates RUNX1-mediated transcription R-HSA-8951911	0.00236068725666393	69.0838462648227	2/3	0.0639312650937354	RUNX1;CBFB
Receptor-type tyrosine-protein phosphatases R-HSA-388844	0.00236068725666393	69.0838462648227	2/3	0.0639312650937354	PPFIA1;PTPRF
Immune System R-HSA-168256	0.00273744589852481	1.78889154568633	42/998	0.0733856708554025	AKT1;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;C4B;DGAT1;HLA-DRB1;CD274;HLA-A;CTSD;AP1M1;CD74;CD1B;CD3E;AP1S1;HLA-DQA1;CD3D;CDH1;CANX;HLA-DPA1;HLA-DRA;HLA-E;HLA-B;PRKCQ;APP;CTSZ;MSN;COLEC11;BRWD1;SMARCA4;PSAP;MASP2;STK10;GRN
Assembly of the pre-replicative complex R-HSA-68867	0.00297429531137186	3.10150324988702	10/127	0.0789377975638092	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Cytosolic sulfonation of small molecules R-HSA-156584	0.00312888879764664	13.0961101099431	3/11	0.0814124594995508	SULT2B1;BPNT2;SULT1A2
Initial triggering of complement R-HSA-166663	0.00312888879764664	13.0961101099431	3/11	0.0814124594995508	C4B;COLEC11;MASP2
Diseases of hemostasis R-HSA-9671793	0.00408599644436979	11.6458905838809	3/12	0.103278424412928	KLKB1;F11;F12
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters R-HSA-164938	0.00408599644436979	11.6458905838809	3/12	0.103278424412928	HLA-A;AP1M1;AP1S1
Platelet calcium homeostasis R-HSA-418360	0.00408599644436979	11.6458905838809	3/12	0.103278424412928	CALM1;ATP2B2;SLC8A1
Gene expression (Transcription) R-HSA-74160	0.00423376211190525	1.80558054531819	34/775	0.104355651049619	AKT1;CDK5;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;DPY30;SMARCD3;PRKCQ;ACTL6A;SMARCA4;KMT2B;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;KMT2A;EPC1;AEBP2;MEN1;RUNX1;CBFB;MTF2;TASP1;HTT;PAX5
Lysosome Vesicle Biogenesis R-HSA-432720	0.00424657509923092	7.03378489374608	4/24	0.104355651049619	AP1M1;AP1S1;APP;CTSZ
Signaling by WNT R-HSA-195721	0.0042280467124992	2.44170573207735	14/225	0.104355651049619	AKT1;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;SMARCA4;MEN1
DNA Replication Pre-Initiation R-HSA-69002	0.00438908682900924	2.92115833164894	10/134	0.106868224258629	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Lectin pathway of complement activation R-HSA-166662	0.00463357196336149	34.610060201503	2/4	0.108827433546561	COLEC11;MASP2
RUNX1 regulates transcription of genes involved in interleukin signaling R-HSA-8939247	0.00463357196336149	34.610060201503	2/4	0.108827433546561	RUNX1;CBFB
RUNX2 regulates genes involved in differentiation of myeloid cells R-HSA-8941333	0.00463357196336149	34.610060201503	2/4	0.108827433546561	RUNX1;CBFB
trans-Golgi Network Vesicle Budding R-HSA-199992	0.00453199653091837	5.20246360375836	5/39	0.108827433546561	AP1M1;AP1S1;APP;CTSZ;SORT1
Visual phototransduction R-HSA-2187338	0.00571899365115811	6.39239025410343	4/26	0.133142185527839	HSPG2;CALM1;PRKCQ;LRP1
RNA Polymerase II Transcription R-HSA-73857	0.00628107496223383	1.7851623389126	31/704	0.144956286519727	AKT1;CDK5;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;CALM1;DPY30;SMARCD3;PRKCQ;ACTL6A;SMARCA4;KMT2B;ARID1B;SMARCE1;SMARCC2;SMARCA2;ARID1A;KMT2A;EPC1;MEN1;RUNX1;CBFB;HTT;PAX5
EPHA-mediated growth cone collapse R-HSA-3928663	0.00648560445985092	9.52460049367309	3/14	0.148386157210727	ROCK2;MYH14;MYH10
Adaptive Immune System R-HSA-1280218	0.00666650816073287	2.00662743713026	20/393	0.151221475714402	AKT1;CALM1;HLA-DRB1;CD274;HLA-A;CTSD;AP1M1;CD74;CD1B;CD3E;AP1S1;HLA-DQA1;CD3D;CDH1;CANX;HLA-DPA1;HLA-DRA;HLA-E;HLA-B;PRKCQ
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs) R-HSA-8877330	0.00757932055847744	23.0848941578839	2/5	0.167629306351659	RUNX1;CBFB
RUNX1 regulates transcription of genes involved in WNT signaling R-HSA-8939256	0.00757932055847744	23.0848941578839	2/5	0.167629306351659	RUNX1;CBFB
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation R-HSA-1474151	0.00757932055847744	23.0848941578839	2/5	0.167629306351659	AKT1;CALM1
Metabolism of vitamins and cofactors R-HSA-196854	0.0084224609759246	3.73726189310722	6/63	0.184737284546313	HSPG2;AKT1;CALM1;LRP1;MTHFS;SLC19A1
Signaling by NOTCH R-HSA-157118	0.00944289251768069	2.35692324123266	12/197	0.205421612638726	AKT1;H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14;RUNX1
DNA Replication R-HSA-69306	0.00961873717756813	2.57683151823961	10/150	0.205872003784402	H3C6;H3C10;H3C4;H3C2;H3C1;H3C7;H3C3;H3C11;H3C12;H3C14
Defective Intrinsic Pathway for Apoptosis R-HSA-9734009	0.00957323546826402	8.05786940333834	3/16	0.205872003784402	CDK5;APP;C1QBP
Metabolism of cofactors R-HSA-8978934	0.0111584889740584	17.3218848917024	2/6	0.229570773156209	AKT1;CALM1
