term	term_id	variable	odds_ratio	overlap	p.value	adj.p.value	log10pvalue	genes
Formation of definitive endoderm R-HSA-9823730	R-HSA-9823730	Fibrosis	39.1034917681039	5/17	8.07347221059681e-07	5.49410134536511e-05	4.26010333375294	CTNNB1;SMAD2;SMAD4;TCF7L2;SMAD3
G0 and Early G1 R-HSA-1538133	R-HSA-1538133	Fibrosis	27.0290218913673	6/27	3.73579327533149e-07	3.30493178424326e-05	4.48083750018212	TFDP1;MYBL2;E2F4;E2F1;MYC;MAX
G1/S Transition R-HSA-69206	R-HSA-69206	Fibrosis	4.50635443453963	6/131	0.00312954953389355	0.0393640969808222	1.40489970689805	TFDP1;MYC;MAX;E2F6;E2F4;E2F1
G1/S-Specific Transcription R-HSA-69205	R-HSA-69205	Fibrosis	14.8943204912359	4/29	0.00026287479102148	0.00516792366941487	2.28668390952472	TFDP1;E2F6;E2F4;E2F1
GLI proteins bind promoters of Hh responsive genes to promote transcription R-HSA-5635851	R-HSA-5635851	Fibrosis	36.6365942993941	2/7	0.00240853529920844	0.0314889294783212	1.50184210371915	GLI2;GLI1
Gastrulation R-HSA-9758941	R-HSA-9758941	Fibrosis	8.17053106874344	10/129	1.4046100280209e-06	8.28407780970548e-05	4.08175583056962	SMAD3;KAT2A;SMAD4;CTNNB1;RBPJ;FOXA1;TCF7L2;NOTCH1;SMAD2;SNAI1
Gene expression (Transcription) R-HSA-74160	R-HSA-74160	Fibrosis	8.24683928837092	69/1559	2.62844208534581e-28	2.32529509816926e-25	24.6335219239035	STAT1;CEBPB;RUNX1;CREB1;PML;MYBL2;NR1I2;SMAD4;TCF3;JUN;THRB;NR2C2;SREBF1;RXRA;MYC;SP1;RUNX2;SRF;TFDP1;NFATC2;RELA;TRIM28;GATA2;ATF2;AR;NR3C1;NELFE;SSRP1;PRDM1;HNF4A;NR1H2;GLI2;NOTCH1;FOS;ELF2;ELF1;NFKB1;TCF7L2;PITX2;RARA;BRCA1;PPARD;PPARG;E2F6;KAT2A;CTNNB1;YY1;TP63;BCL6;SIN3A;PGR;KLF4;VDR;TP53;NFYA;E2F1;TFAP2D;NFYB;SMAD3;MAX;NR1H3;SPI1;ESR1;RBPJ;SUZ12;TAF7;SMAD2;E2F4;TAF1
Generic Transcription Pathway R-HSA-212436	R-HSA-212436	Fibrosis	10.6394643111992	69/1260	3.81280093441584e-34	1.01191736799396e-30	29.9948549500352	STAT1;CEBPB;RUNX1;CREB1;PML;MYBL2;NR1I2;SMAD4;TCF3;JUN;THRB;NR2C2;SREBF1;RXRA;MYC;SP1;RUNX2;SRF;TFDP1;NFATC2;RELA;TRIM28;GATA2;ATF2;AR;NR3C1;NELFE;SSRP1;PRDM1;HNF4A;NR1H2;GLI2;NOTCH1;FOS;ELF2;ELF1;NFKB1;TCF7L2;PITX2;RARA;BRCA1;PPARD;PPARG;E2F6;KAT2A;CTNNB1;YY1;TP63;BCL6;SIN3A;PGR;KLF4;VDR;TP53;NFYA;E2F1;TFAP2D;NFYB;SMAD3;MAX;NR1H3;SPI1;ESR1;RBPJ;SUZ12;TAF7;SMAD2;E2F4;TAF1
Germ layer formation at gastrulation R-HSA-9754189	R-HSA-9754189	Fibrosis	28.633450453426	4/17	2.91587996073809e-05	0.000913480957401628	3.03930050160273	CTNNB1;SMAD2;SMAD4;SMAD3
Growth hormone receptor signaling R-HSA-982772	R-HSA-982772	Fibrosis	13.1910371740116	3/24	0.00219096040614711	0.0292201453161529	1.53431762858494	STAT5A;STAT3;STAT1
Heme signaling R-HSA-9707616	R-HSA-9707616	Fibrosis	8.26184416821043	4/49	0.00198137353544914	0.0268294151177654	1.57138879486052	ATF2;RXRA;NFE2L2;CREB1
IkBA variant leads to EDA-ID R-HSA-5603029	R-HSA-5603029	Fibrosis	69.1028834704925	3/7	4.34059428459515e-05	0.00121262497171742	2.91627349253564	RELA;NFKB1;NFKB2
Inactivation of CSF3 (G-CSF) signaling R-HSA-9705462	R-HSA-9705462	Fibrosis	12.5908404269877	3/25	0.00246997864579268	0.0319067506521751	1.49611742161921	STAT5A;STAT3;STAT1
Infectious disease R-HSA-5663205	R-HSA-5663205	Fibrosis	2.55485256287899	26/1081	9.05726967173181e-05	0.00216558501880867	2.66442476161104	STAT1;HMGA1;CEBPD;STAT2;RUNX1;CREB1;TRIM28;PML;NFKB1;SMAD3;SMAD4;JUN;IRF3;ENO1;SP1;NR3C1;NELFE;SSRP1;NFE2L2;NFKB2;CTNNB1;RCOR1;SUZ12;TAF7;RELA;TAF1
Inflammasomes R-HSA-622312	R-HSA-622312	Fibrosis	15.3937667166778	3/21	0.00147455828768158	0.0210402026640157	1.67695008127496	NFKB1;NFKB2;RELA
Interferon Signaling R-HSA-913531	R-HSA-913531	Fibrosis	5.84083029679734	15/273	2.76768987878113e-07	2.7205366438093e-05	4.56534542006243	IRF3;IRF5;STAT1;STAT3;IRF4;EGR1;IRF1;ILF2;ILF3;IRF8;CIITA;STAT2;TP53;IRF2;PML
Interferon alpha/beta signaling R-HSA-909733	R-HSA-909733	Fibrosis	12.6247704609489	9/78	1.62625949455302e-07	1.72643707941749e-05	4.76284924503519	IRF3;IRF5;STAT1;EGR1;IRF4;IRF1;IRF8;STAT2;IRF2
Interferon gamma signaling R-HSA-877300	R-HSA-877300	Fibrosis	9.77255847637309	9/98	1.16823204596736e-06	7.56216548779847e-05	4.12135382292015	IRF3;IRF5;STAT1;IRF4;IRF1;IRF8;CIITA;IRF2;PML
Interleukin-1 processing R-HSA-448706	R-HSA-448706	Fibrosis	46.1366546651331	3/9	0.000102514990933334	0.0023658677038006	2.62600954420334	RELA;NFKB1;NFKB2
Interleukin-17 signaling R-HSA-448424	R-HSA-448424	Fibrosis	7.08960541466307	5/71	0.00106013950150053	0.0167476799820381	1.77604534628587	ATF2;JUN;FOS;NFKB1;CREB1
Interleukin-20 family signaling R-HSA-8854691	R-HSA-8854691	Fibrosis	16.9245480238471	4/26	0.000169716768250813	0.00367511859106131	2.43472864226345	STAT5A;STAT3;STAT2;STAT1
Interleukin-21 signaling R-HSA-9020958	R-HSA-9020958	Fibrosis	39.5666736488871	3/10	0.000145279821087739	0.00318655078650297	2.49667915544483	STAT3;STAT1;STAT5A
Interleukin-4 and Interleukin-13 signaling R-HSA-6785807	R-HSA-6785807	Fibrosis	9.64210979793742	10/111	3.47364740357623e-07	3.17898627899701e-05	4.49771134656423	BCL6;STAT1;HIF1A;STAT6;STAT3;IRF4;CEBPD;MYC;FOS;TP53
Interleukin-9 signaling R-HSA-8985947	R-HSA-8985947	Fibrosis	46.1366546651331	3/9	0.000102514990933334	0.0023658677038006	2.62600954420334	STAT3;STAT1;STAT5A
Intracellular signaling by second messengers R-HSA-9006925	R-HSA-9006925	Fibrosis	4.33226557785768	13/308	3.14719902508814e-05	0.000949166615066355	3.02265754557843	EGR1;SALL4;CREB1;TP53;PML;JUN;ATF2;SNAI2;ESR1;PPARG;RCOR1;SUZ12;SNAI1
Intrinsic Pathway for Apoptosis R-HSA-109606	R-HSA-109606	Fibrosis	9.36854867034732	5/55	0.000325548184797642	0.00621586246369023	2.20649860358958	TFDP1;STAT3;E2F1;TP63;TP53
KEAP1-NFE2L2 pathway R-HSA-9755511	R-HSA-9755511	Fibrosis	6.53440156000127	8/125	6.6324481070883e-05	0.00172495143799718	2.76322312697142	NFKB1;MYC;SP1;NOTCH1;ATF4;NFE2L2;BRCA1;RELA
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production R-HSA-3134973	R-HSA-3134973	Fibrosis	60.9912701258124	2/5	0.00116352385719402	0.0173482714437805	1.76074379118008	CTNNB1;IRF3
Loss of Function of SMAD2/3 in Cancer R-HSA-3304349	R-HSA-3304349	Fibrosis	69.1028834704925	3/7	4.34059428459515e-05	0.00121262497171742	2.91627349253564	SMAD2;SMAD4;SMAD3
Loss of Function of SMAD4 in Cancer R-HSA-3304347	R-HSA-3304347	Fibrosis	Inf	3/3	1.28069896117781e-06	7.72494327946797e-05	4.1121047007063	SMAD2;SMAD3;SMAD4
Loss of Function of TGFBR1 in Cancer R-HSA-3656534	R-HSA-3656534	Fibrosis	36.6365942993941	2/7	0.00240853529920844	0.0314889294783212	1.50184210371915	SMAD2;SMAD3
MAP kinase activation R-HSA-450294	R-HSA-450294	Fibrosis	8.07115582985522	5/63	0.0006135237781093	0.0105733253707927	1.97578840313167	ATF2;JUN;FOS;NFKB1;CREB1
MAPK targets/ Nuclear events mediated by MAP kinases R-HSA-450282	R-HSA-450282	Fibrosis	13.7922466498856	4/31	0.000342417549262008	0.00639983222353077	2.19383141122703	ATF2;JUN;FOS;CREB1
MECP2 regulates neuronal receptors and channels R-HSA-9022699	R-HSA-9022699	Fibrosis	18.4624638292703	3/18	0.000926620959620793	0.0149045577383854	1.82668090622165	SIN3A;NOTCH1;CREB1
MECP2 regulates transcription factors R-HSA-9022707	R-HSA-9022707	Fibrosis	60.9912701258124	2/5	0.00116352385719402	0.0173482714437805	1.76074379118008	PPARG;CREB1
MECP2 regulates transcription of neuronal ligands R-HSA-9022702	R-HSA-9022702	Fibrosis	30.5215464995901	2/8	0.00318841571011921	0.0399153551634735	1.39886000205996	SIN3A;CREB1
MITF-M-dependent gene expression R-HSA-9856651	R-HSA-9856651	Fibrosis	5.56082801160452	5/89	0.00289163605587823	0.0367196272358891	1.4351017362458	SIN3A;CTNNB1;USF1;TCF7L2;CREB1
Mitochondrial biogenesis R-HSA-1592230	R-HSA-1592230	Fibrosis	5.2461975386834	5/94	0.00366225977494372	0.0435913205628612	1.36059997419231	NRF1;RXRA;GABPA;CREB1;ATF2
Mitotic G1 phase and G1/S transition R-HSA-453279	R-HSA-453279	Fibrosis	4.66107029954777	7/149	0.00123461698827953	0.0183054384742674	1.73741986390487	MYBL2;TFDP1;MYC;MAX;E2F6;E2F4;E2F1
MyD88 cascade initiated on plasma membrane R-HSA-975871	R-HSA-975871	Fibrosis	8.70888065772668	8/96	9.73655228522635e-06	0.000385683727835683	3.41376868382063	NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
MyD88 dependent cascade initiated on endosome R-HSA-975155	R-HSA-975155	Fibrosis	8.1493713815308	8/102	1.52457743514932e-05	0.000554277878477575	3.25627245398346	NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
MyD88-independent TLR4 cascade  R-HSA-166166	R-HSA-166166	Fibrosis	8.6881636355367	9/109	2.86151315553825e-06	0.000140638072496269	3.85189709441742	IRF3;NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
MyD88:MAL(TIRAP) cascade initiated on plasma membrane R-HSA-166058	R-HSA-166058	Fibrosis	7.36019078528519	8/112	3.01799158872618e-05	0.00092066088235394	3.03590030904655	NFKB1;JUN;FOS;CREB1;TP53;ATF2;NFKB2;RELA
Myogenesis R-HSA-525793	R-HSA-525793	Fibrosis	14.8943204912359	4/29	0.00026287479102148	0.00516792366941487	2.28668390952472	MYOD1;TCF4;CTNNB1;TCF3
NFE2L2 regulating ER-stress associated genes R-HSA-9818035	R-HSA-9818035	Fibrosis	60.9912701258124	2/5	0.00116352385719402	0.0173482714437805	1.76074379118008	ATF4;NFE2L2
NFE2L2 regulating tumorigenic genes R-HSA-9818030	R-HSA-9818030	Fibrosis	34.6288883997952	3/11	0.000198164391117211	0.0041411676694888	2.38287718522822	NOTCH1;SP1;NFE2L2
NGF-stimulated transcription R-HSA-9031628	R-HSA-9031628	Fibrosis	17.1965429221816	6/39	3.69856539922055e-06	0.000175285581598774	3.75625380603753	ATF2;ID2;EGR1;FOS;SRF;CREB1
NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947	R-HSA-2122947	Fibrosis	10.8978626882085	5/48	0.000170323883459134	0.00367511859106131	2.43472864226345	NOTCH1;MYC;HIF1A;RBPJ;KAT2A
NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508	R-HSA-9013508	Fibrosis	23.4728124191788	5/25	6.46218043410264e-06	0.000281157817575548	3.55104983645577	IKZF1;NOTCH1;STAT1;RBPJ;KAT2A
NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695	R-HSA-9013695	Fibrosis	23.2822191782864	4/20	5.78682359397218e-05	0.00153582298184022	2.81365883797656	NOTCH1;RBPJ;SMAD3;KAT2A
NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis  R-HSA-9632974	R-HSA-9632974	Fibrosis	60.9912701258124	2/5	0.00116352385719402	0.0173482714437805	1.76074379118008	NR1H3;RXRA
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis R-HSA-9029558	R-HSA-9029558	Fibrosis	74.2416303935542	4/9	1.65221756178042e-06	8.94894981421476e-05	4.04822792743852	NR1H3;NR1H2;SREBF1;RXRA
NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose R-HSA-9031528	R-HSA-9031528	Fibrosis	137.646461265884	3/5	1.26026192569104e-05	0.000471089457856904	3.32689661439009	NR1H3;NR1H2;RXRA
NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis R-HSA-9623433	R-HSA-9623433	Fibrosis	46.1366546651331	3/9	0.000102514990933334	0.0023658677038006	2.62600954420334	NR1H3;NR1H2;RXRA
NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake  R-HSA-9031525	R-HSA-9031525	Fibrosis	137.646461265884	3/5	1.26026192569104e-05	0.000471089457856904	3.32689661439009	NR1H3;NR1H2;RXRA
NR1H2 and NR1H3-mediated signaling R-HSA-9024446	R-HSA-9024446	Fibrosis	8.64845530474742	4/47	0.0016962570603348	0.0239521295871447	1.62065586735049	NR1H3;RXRA;NR1H2;SREBF1
Notch-HLH transcription pathway R-HSA-350054	R-HSA-350054	Fibrosis	11.075950060231	3/28	0.0034351336862783	0.0426020785204795	1.3705692115087	NOTCH1;RBPJ;KAT2A
Nuclear Events (kinase and transcription factor activation) R-HSA-198725	R-HSA-198725	Fibrosis	10.301920728847	6/61	5.17234327422558e-05	0.00140075500508109	2.85363781706656	ATF2;ID2;EGR1;FOS;SRF;CREB1
Nuclear Receptor transcription pathway R-HSA-383280	R-HSA-383280	Fibrosis	40.3814128148734	15/53	7.14463192124246e-18	3.16030885316291e-15	14.5002704722329	RARA;NR1H3;THRB;PPARD;NR3C1;RXRA;VDR;NR1H2;AR;NR2C2;PGR;HNF4A;NR1I2;ESR1;PPARG
Nuclear events mediated by NFE2L2 R-HSA-9759194	R-HSA-9759194	Fibrosis	7.47063212222449	7/96	8.45360621332772e-05	0.00207739545279368	2.68248082334038	NFKB1;MYC;SP1;NOTCH1;ATF4;NFE2L2;RELA
Nuclear events stimulated by ALK signaling in cancer R-HSA-9725371	R-HSA-9725371	Fibrosis	19.5657629171291	6/35	1.90702720970608e-06	0.000101225004291199	3.99471219614864	STAT5A;STAT3;IRF4;NOTCH1;FOXM1;CEBPB
Oncogene Induced Senescence R-HSA-2559585	R-HSA-2559585	Fibrosis	15.6370749491934	5/35	3.61748416818652e-05	0.00106541976310202	2.97247925149098	TFDP1;E2F1;ETS1;SP1;TP53
Oxidative Stress Induced Senescence R-HSA-2559580	R-HSA-2559580	Fibrosis	4.73585151930472	6/125	0.00247656014858631	0.0319067506521751	1.49611742161921	TFDP1;SUZ12;JUN;FOS;TP53;E2F1
PERK regulates gene expression R-HSA-381042	R-HSA-381042	Fibrosis	17.3756081580554	5/32	2.30368220313791e-05	0.000754811428040495	3.1221615331264	NFYA;ATF4;NFYB;ATF3;CEBPB
PIP3 activates AKT signaling R-HSA-1257604	R-HSA-1257604	Fibrosis	5.03013926964357	13/268	7.17141489951788e-06	0.000306982824892265	3.51288592179699	EGR1;SNAI2;RCOR1;SUZ12;SALL4;JUN;ESR1;PPARG;CREB1;TP53;ATF2;SNAI1;PML
PKR-mediated signaling R-HSA-9833482	R-HSA-9833482	Fibrosis	6.58622608871211	5/76	0.00144042977200542	0.020664327648121	1.68477872072155	STAT3;TP53;STAT1;ILF2;ILF3
