tf	module	database	p.value	adj_p.value	overlap	odds_ratio
STAT5A	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00207761174341141	0.00514456241225683	36/117	1.86411755354305
CEBPD	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00175074743112802	0.00444092031310522	111/444	1.41018490458218
USF2	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.87947795180386e-06	1.03264036892276e-05	170/640	1.55444025468422
SPI1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	4.11790857140152e-06	1.42754163808586e-05	192/742	1.50331497969875
ZNF384	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00553517557282494	0.0127924057683065	126/529	1.32152897707649
NRF1	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.04046462542414e-18	8.32371700339312e-18	358/1233	1.86892788780706
KAT2A	MEbrown	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.40640879602976e-07	5.8506605914838e-07	31/64	3.95366812692915
AR	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.4364449735579e-05	0.000298780554500043	81/719	1.75404287608764
SALL4	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00299027081365518	0.0388735205775173	28/228	1.87070221585035
NFE2L2	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	5.43791900487323e-09	1.88514525502272e-07	92/711	2.09685148066386
PPARD	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00401882947926774	0.0464398073159828	24/190	1.92750619150072
TP53	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000455115966776009	0.00676172293495785	30/222	2.09609428092004
TP63	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	4.28259489405047e-07	1.11347467245312e-05	100/868	1.82877947353752
SUZ12	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.687188046284e-38	1.75467556813536e-36	182/966	3.79418044730596
SMAD4	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.20560156002738e-09	6.26912811214238e-08	61/383	2.62927396958825
TRIM28	MEred	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000292502007321019	0.00507003479356433	22/139	2.51308790013355
AR	MEsalmon	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	5.23885912175012e-05	0.00272420674331006	25/719	2.67788148559429
TP63	MEsalmon	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000955388119935668	0.0248400911183274	25/868	2.16693122707764
SUZ12	MEsalmon	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000406274094982401	0.0140841686260566	28/966	2.21381204465923
MYOD1	MEsalmon	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	8.30585984466436e-06	0.000863809423845093	10/116	6.63378569983648
IRF8	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	4.47950105037671e-06	0.000113453688419396	33/87	2.91959290054785
VDR	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000804182804066197	0.00836350116228845	19/52	2.73487414402586
FOS	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0004858211602007	0.00561393340676364	91/376	1.53506190169577
RFX5	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0039818669301089	0.0345095133942771	85/371	1.4232466668572
RELA	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000206587939275232	0.00306930652637488	75/291	1.66756193284881
NELFE	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	5.65907189739705e-06	0.000113453688419396	44/131	2.4225647152556
SPI1	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.6251921123514e-11	3.77019979684546e-09	256/1016	1.69531424122215
NFYA	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00506426019143113	0.040514081531449	289/1451	1.20926843454383
GATA2	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.0014987297428323	0.0141698084776872	115/509	1.40445462959646
FOXM1	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000482107845954453	0.00561393340676364	20/54	2.79543748181988
RUNX1	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	4.73586233484751e-08	2.46264841412071e-06	216/890	1.58749640864316
SPI1	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.76149878673965e-07	6.10652912736412e-06	183/742	1.61096409847492
E2F4	MEyellow	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	6.54540510111898e-06	0.000113453688419396	121/478	1.64527992288651
YY1	MEblue	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.40114625731567e-08	3.5371921076083e-06	489/1781	1.39045752609771
NFE2L2	MEblue	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00152003652230248	0.030228855808776	193/711	1.30906492893651
BCLAF1	MEblue	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00115368406587177	0.029995785712666	146/518	1.37517427802069
TCF7L2	MEblue	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00174397245050631	0.030228855808776	110/380	1.42266955781505
ATF2	MEblue	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.53796860151312e-05	0.000879829115191215	477/1823	1.28115091895738
ZBTB33	MEblue	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.25307322451375e-05	0.00065159807674715	138/444	1.58866545648335
UBTF	MEblue	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00238065513691694	0.035369733462766	281/1081	1.23924191357707
IRF1	MEpurple	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000718442126793323	0.0249059937288352	12/168	3.24280105105539
SOX2	MEpurple	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00102385640016832	0.0266202664043763	24/504	2.15243749705804
TCF3	MEpurple	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000225569195265977	0.0117295981538308	28/569	2.25680135358779
RUNX1	MEpurple	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00233857054592259	0.0486422673551899	35/890	1.78309665051851
UBTF	MEpurple	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.32389555604425e-05	0.00345685137828602	47/1081	2.06574295183702
REST	MEturquoise	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.0104555130568e-05	0.00104543686678954	67/197	1.938752267101
EZH2	MEturquoise	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	7.28308658152345e-05	0.00252480334826146	64/193	1.8635430545121
HNF4A	MEturquoise	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.00100085890408795	0.0208178652050294	196/759	1.31952717083399
REST	MEturquoise	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.93262802722746e-09	3.04993314831656e-07	235/790	1.6416423751532
EZH2	MEturquoise	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	0.000791692892063388	0.0205840151936481	37/106	2.00317205198253
ZBTB7A	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	2.68533797790852e-09	2.79275149702486e-07	87/1369	2.2409234803318
HNF4A	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	1.01000038050385e-08	5.25200197862002e-07	57/759	2.55762008992457
CREB1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	7.99849538036235e-05	0.00207960879889421	57/1004	1.8413802136762
SP1	MEmagenta	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	5.84178652477035e-05	0.00202515266192039	31/426	2.33652740385986
SUZ12	MEtan	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	7.46410263440946e-06	0.000388133336989292	29/966	2.85127135709559
MYOD1	MEtan	ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	3.99365227790834e-15	4.15339836902467e-13	18/116	16.5925571090698
ESR1	MEbrown	Transcription_Factor_PPIs	7.566502508037e-08	7.3142857577691e-06	176/610	1.71478969400897
RAD21	MEbrown	Transcription_Factor_PPIs	1.53604549668601e-06	0.000111363298509736	57/155	2.33486581380421
ILF3	MEbrown	Transcription_Factor_PPIs	5.35725658724617e-23	1.55360441030139e-20	108/217	4.23915153267831
ILF2	MEbrown	Transcription_Factor_PPIs	6.87664419700292e-11	9.97113408565423e-09	62/139	3.27470876222468
AIRE	MEyellow	Transcription_Factor_PPIs	0.000888716237860111	0.0429546181632387	17/42	2.97235233452957
STAT3	MEyellow	Transcription_Factor_PPIs	5.16448694142694e-05	0.00374425303253453	55/178	1.99774109066341
STAT1	MEyellow	Transcription_Factor_PPIs	3.99844659630162e-05	0.00374425303253453	44/132	2.22392011018071
NFKB1	MEyellow	Transcription_Factor_PPIs	2.37748690124077e-05	0.00344735600679912	58/186	2.02975382029351
STAT5A	MEyellow	Transcription_Factor_PPIs	0.000355261165443564	0.0206051475957267	25/68	2.55486351442346
ERG	MEyellow	Transcription_Factor_PPIs	0.00116343220265009	0.0451526387653309	13/29	3.54229916751702
MYBL2	MEyellow	Transcription_Factor_PPIs	0.00124559003490568	0.0451526387653309	15/36	3.11806833389008
ATF2	MEyellow	Transcription_Factor_PPIs	6.43536350271592e-08	1.86625541578762e-05	61/170	2.53210339324686
TP63	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.000887737083148821	0.0137810613860246	182/870	1.32735778583151
SNAI2	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00162081945194229	0.0207016022316261	166/795	1.32091765297288
HIF1A	MEbrown	TRANSFAC_and_JASPAR_PWMs	8.63874330783327e-05	0.00176014394897103	205/954	1.38231242610901
NR1H2	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00304384374547257	0.0320094535814212	68/292	1.50493805925161
NR1I2	MEbrown	TRANSFAC_and_JASPAR_PWMs	3.30702769034125e-07	1.79681837841875e-05	193/820	1.56591158841648
RXRA	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00248163081668831	0.0278969533186341	177/862	1.29316389677559
RARA	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00151306163832419	0.0207016022316261	175/842	1.31429511015037
NRF1	MEbrown	TRANSFAC_and_JASPAR_PWMs	4.98763208828902e-06	0.000136459452623605	188/826	1.49264334336842
PPARG	MEbrown	TRANSFAC_and_JASPAR_PWMs	5.44163461382474e-06	0.000136459452623605	430/2123	1.31686893064547
SNAI1	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00171454987807946	0.0207016022316261	166/796	1.31866594472769
TFAP2D	MEbrown	TRANSFAC_and_JASPAR_PWMs	5.07418391522475e-06	0.000136459452623605	178/775	1.50859395435827
PITX1	MEbrown	TRANSFAC_and_JASPAR_PWMs	2.21016729872313e-08	1.44102907876748e-06	215/902	1.60191344608366
NR1H3	MEbrown	TRANSFAC_and_JASPAR_PWMs	5.23127986845698e-07	2.43628176730997e-05	192/820	1.55420510393049
FOXF2	MEbrown	TRANSFAC_and_JASPAR_PWMs	5.68882028667946e-14	1.24620749062113e-11	221/821	1.91182404752059
APEX1	MEbrown	TRANSFAC_and_JASPAR_PWMs	9.79227998255154e-05	0.00187781369077165	183/840	1.40358794446416
ESR1	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.000870541322332552	0.0137810613860246	194/934	1.31674362852894
CRX	MEbrown	TRANSFAC_and_JASPAR_PWMs	2.61905135173977e-11	2.84603580222388e-09	219/859	1.76555505718308
ELK4	MEbrown	TRANSFAC_and_JASPAR_PWMs	4.44035928955125e-06	0.000136459452623605	198/876	1.48116410572537
PLAU	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.000206749319415542	0.00374445989608148	182/846	1.3792418173855
TCF3	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00171454987807946	0.0207016022316261	166/796	1.31866594472769
THRB	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00118477962492719	0.0175562798966484	248/1233	1.26867539447962
IKZF1	MEbrown	TRANSFAC_and_JASPAR_PWMs	4.23814258837916e-06	0.000136459452623605	188/824	1.49768953879645
PITX2	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00155246045471662	0.0207016022316261	416/2174	1.20443465023992
GFI1	MEbrown	TRANSFAC_and_JASPAR_PWMs	9.40039711564342e-10	7.66132364924939e-08	215/871	1.68376979034455
ATF4	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00482946599868572	0.044983026159187	174/859	1.26899047614655
FOXA1	MEbrown	TRANSFAC_and_JASPAR_PWMs	0.00431873881960264	0.04140908397619	177/873	1.27106918882931
CEBPD	MEbrown	TRANSFAC_and_JASPAR_PWMs	5.75980330657868e-05	0.0012517972519631	202/932	1.39817414456083
HMGA1	MEred	TRANSFAC_and_JASPAR_PWMs	5.80260228511878e-05	0.00378329668989744	85/763	1.64721229387318
GATA2	MEred	TRANSFAC_and_JASPAR_PWMs	0.00046429883460948	0.0197694047900581	411/4967	1.27745545208419
ETS1	MEred	TRANSFAC_and_JASPAR_PWMs	9.27330168621018e-06	0.00151154817485226	240/2566	1.42632398061642
CBEPA	MEsalmon	TRANSFAC_and_JASPAR_PWMs	1.29785145802788e-05	0.00211549787658544	30/817	2.63486992297397
TCF4	MEsalmon	TRANSFAC_and_JASPAR_PWMs	0.000104939446346811	0.0085525648772651	62/2517	1.86730469221898
PGR	MEyellow	TRANSFAC_and_JASPAR_PWMs	4.17455495430929e-05	0.0136090491510483	193/861	1.41975166243957
POU2F1	MEblue	TRANSFAC_and_JASPAR_PWMs	1.42503663698041e-05	0.000357355341273549	247/849	1.40669193899084
POU1F1	MEblue	TRANSFAC_and_JASPAR_PWMs	7.86503394142832e-13	1.28200053245282e-10	274/816	1.76721692299417
BCL6	MEblue	TRANSFAC_and_JASPAR_PWMs	7.94221143466645e-05	0.00136271627773751	244/857	1.36097907742911
TBP	MEblue	TRANSFAC_and_JASPAR_PWMs	3.62123969096725e-14	1.18052413925532e-11	459/1483	1.6025456595325
HMGA1	MEblue	TRANSFAC_and_JASPAR_PWMs	0.000735400957561122	0.00998919634020524	213/763	1.31699201075961
CRTC3	MEblue	TRANSFAC_and_JASPAR_PWMs	9.43142093441075e-07	3.41627024957545e-05	190/606	1.56402726075293
NFAT2	MEblue	TRANSFAC_and_JASPAR_PWMs	0.000293732599814713	0.00435258306998166	234/834	1.32989348775606
POU2F2	MEblue	TRANSFAC_and_JASPAR_PWMs	2.24632461384366e-08	1.04614546301862e-06	490/1732	1.38985581392681
LOC135440	MEblue	TRANSFAC_and_JASPAR_PWMs	0.00256123106168373	0.0309244935595887	50/150	1.6793127854084
IRF2	MEblue	TRANSFAC_and_JASPAR_PWMs	0.00398355889919402	0.0447806965909397	224/832	1.2496179199228
HOXA5	MEblue	TRANSFAC_and_JASPAR_PWMs	0.0011047863519561	0.0138523211822188	401/1530	1.21794596041901
LEF1	MEblue	TRANSFAC_and_JASPAR_PWMs	0.000150276546167626	0.00233286447860219	710/2771	1.20529703746189
STAT5B	MEblue	TRANSFAC_and_JASPAR_PWMs	1.03153293604173e-05	0.000280233114291337	243/830	1.41950622277346
STAT3	MEblue	TRANSFAC_and_JASPAR_PWMs	0.000147256793078651	0.00233286447860219	438/1645	1.25279168306685
GATA6	MEblue	TRANSFAC_and_JASPAR_PWMs	7.80476844936454e-05	0.00136271627773751	256/904	1.35183361353495
MYB	MEblue	TRANSFAC_and_JASPAR_PWMs	1.90757540431321e-09	1.03644930301018e-07	268/848	1.60331049969624
JUND	MEblue	TRANSFAC_and_JASPAR_PWMs	3.74321814531265e-06	0.00011093537412472	240/808	1.45047865763477
TCF4	MEblue	TRANSFAC_and_JASPAR_PWMs	2.80358871691457e-05	0.000609313281142767	657/2517	1.23884798355385
FOXC1	MEblue	TRANSFAC_and_JASPAR_PWMs	0.000922063455184412	0.0120237074556047	1604/6656	1.1575572577714
CRTC1	MEblue	TRANSFAC_and_JASPAR_PWMs	0.00414933427414276	0.0450894324456847	180/656	1.27984129184453
CBEPB	MEblue	TRANSFAC_and_JASPAR_PWMs	8.78386259722236e-08	3.57942400836811e-06	450/1589	1.38464205815799
FOXL1	MEblue	TRANSFAC_and_JASPAR_PWMs	6.5573081773592e-11	7.125608219397e-09	800/2914	1.38116167882267
ZBTB16	MEblue	TRANSFAC_and_JASPAR_PWMs	0.000716005735730011	0.00998919634020524	266/974	1.28134270514566
MEF2A	MEblue	TRANSFAC_and_JASPAR_PWMs	5.06804423444173e-10	4.13045605107001e-08	490/1690	1.44687661441845
HOXD9	MEblue	TRANSFAC_and_JASPAR_PWMs	5.97938435595706e-05	0.00114663488237765	268/948	1.35017821930599
BCL6	MEpurple	TRANSFAC_and_JASPAR_PWMs	3.20642469128215e-05	0.0104529444935798	38/857	2.22374073740436
SNAI2	MEturquoise	TRANSFAC_and_JASPAR_PWMs	8.96459911150296e-07	8.13262718735987e-05	239/795	1.48974404569185
WT1	MEturquoise	TRANSFAC_and_JASPAR_PWMs	1.8986549079889e-06	0.000123792300000876	439/1593	1.33580364629554
CACYBP	MEturquoise	TRANSFAC_and_JASPAR_PWMs	9.019077582864e-06	0.000490036548668944	214/721	1.4559478742785
SP3	MEturquoise	TRANSFAC_and_JASPAR_PWMs	0.000887958102025898	0.0222672570200341	213/770	1.31021883640723
MYCN	MEturquoise	TRANSFAC_and_JASPAR_PWMs	0.000681521314806629	0.0185146623855801	15/29	3.61248178333661
TFAP2A	MEturquoise	TRANSFAC_and_JASPAR_PWMs	1.94480979577578e-07	6.34007993422904e-05	518/1882	1.34629897832535
SNAI1	MEturquoise	TRANSFAC_and_JASPAR_PWMs	9.97868366547223e-07	8.13262718735987e-05	239/796	1.48688175094451
KLF4	MEturquoise	TRANSFAC_and_JASPAR_PWMs	0.00126347707049468	0.0294209660700904	221/807	1.29189476487531
TCFAP2A	MEturquoise	TRANSFAC_and_JASPAR_PWMs	0.000296200024351197	0.0106913682639502	232/831	1.33093603679813
PCBP1	MEturquoise	TRANSFAC_and_JASPAR_PWMs	0.000535765028861143	0.0158781272189757	225/811	1.31756620466878
TCF3	MEturquoise	TRANSFAC_and_JASPAR_PWMs	9.97868366547223e-07	8.13262718735987e-05	239/796	1.48688175094451
IKZF1	MEturquoise	TRANSFAC_and_JASPAR_PWMs	6.45776675784739e-05	0.00263153995382281	235/824	1.37457499446993
KLF11	MEturquoise	TRANSFAC_and_JASPAR_PWMs	0.000327956081716265	0.0106913682639502	211/749	1.34581202775264
SP1	MEturquoise	TRANSFAC_and_JASPAR_PWMs	4.6068894909828e-05	0.0021454942486577	236/824	1.38355174731675
MZF1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00137761298246318	0.0144871558800967	41/819	1.74515056217158
WT1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	2.90314103578215e-12	1.18302997208123e-10	98/1593	2.48905131412888
TEAD4	MEmagenta	TRANSFAC_and_JASPAR_PWMs	3.00754627843139e-07	7.54200066745102e-06	51/788	2.38086910281792
CACYBP	MEmagenta	TRANSFAC_and_JASPAR_PWMs	8.10159896881693e-10	2.40101933075847e-08	54/721	2.83466950824506
SP3	MEmagenta	TRANSFAC_and_JASPAR_PWMs	2.02181092427344e-17	6.59110361313141e-15	71/770	3.7691984556799
NR5A2	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00285464673249321	0.0240409126016733	90/2229	1.43761873001716
TFAP2A	MEmagenta	TRANSFAC_and_JASPAR_PWMs	5.09786869960703e-12	1.66190519607189e-10	109/1882	2.3717341094788
SREBF2	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00706323471611845	0.0479711357803045	38/817	1.59912882376392
NRF1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.0028760600965192	0.0240409126016733	40/826	1.67826491760386
KLF5	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.000333338944097302	0.0041795575298354	45/863	1.83895766743032
ZNF148	MEmagenta	TRANSFAC_and_JASPAR_PWMs	9.52554174702548e-13	5.17554434921718e-11	68/885	3.01859114504889
KLF4	MEmagenta	TRANSFAC_and_JASPAR_PWMs	3.90774056141413e-12	1.41547047002334e-10	63/807	3.03778379326365
EGR1	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00346555645482525	0.0275554001042203	24/428	1.93159076007888
ZNF281	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.000241678448746872	0.00328279892881168	34/581	2.05813806790989
RELB	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00423987074011517	0.0321441363087801	42/898	1.61741216259838
KLF13	MEmagenta	TRANSFAC_and_JASPAR_PWMs	3.55247782318022e-05	0.000579053885178376	47/832	2.02197152414995
MAX	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00669820371094587	0.0472606443411701	49/1114	1.52013834594638
RELA	MEmagenta	TRANSFAC_and_JASPAR_PWMs	0.00117834391162606	0.013246210868624	74/1708	1.54021965504908
