nes_Mild_vs_Control	fdr_Mild_vs_Control	nes_Moderate_vs_Mild	fdr_Moderate_vs_Mild	nes_Severe_vs_Moderate	fdr_Severe_vs_Moderate
E2F5	0.40629970859802	0.926766352502805	1.81644809460355	0.251490941556209	0.340000584318042	0.860107655374621
E2F6	0.108974920984001	0.976937796820143	0.285308589862434	0.887532312038653	0.416466310245609	0.834762192634384
E2F7	1	1	1	1	1	1
E2F8	1	1	1	1	1	1
E4F1	0.966905722038535	0.736500811450878	0.193708899440035	0.91940531258389	1.29539299085432	0.448691509421935
EBF1	1.02697712846952	0.722867580115233	0.348383835701492	0.867350143743297	1.13286237121588	0.504555929242199
EBF2	1	1	1	1	1	1
EBF3	0.719941719355644	0.829544596567187	1.0924303693133	0.528231922486113	2.10270129983134	0.159892521009967
EGR1	2.95274033891717	0.0790155788984495	3.59573757409529	0.00518456562296179	4.44491455947804	0.000280620047673035
EGR2	1.19369258541052	0.688229811176503	1.27883036203496	0.451175382664296	2.7764559990904	0.0466309957304934
EGR3	0.415861046025825	0.926766352502805	1.47333439353679	0.384650872698103	2.73962774464645	0.049292474174363
EGR4	0.522005586774213	0.914136244651332	0.83465965684492	0.654157463622386	0.833868288315293	0.650035647176787
EHF	2.73758212275056	0.118895099412972	1.84196316255125	0.248161302789569	-0.345875410279608	0.857199131318496
EID1	1	1	1	1	1	1
EID2B	1	1	1	1	1	1
ELF1	3.14132335392068	0.0539130307377406	0.770109893041571	0.674684593950947	0.358084264754532	0.856910735489816
ELF2	1.96462053583734	0.32521801867596	1.03865047397316	0.558265841451378	0.975608734451374	0.579213700053744
ELF3	0.320371979157392	0.953843885110116	1.40771982688617	0.409861888543792	3.54339559856363	0.00759735277115625
ELF4	0.50510927695726	0.925087784799619	3.84503098431345	0.00257003064329476	3.45380337787652	0.0102881000650062
ELF5	0.671882714820736	0.853855093703364	-1.70146145726591	0.298082122947054	-1.41919177111267	0.394392442952681
ELK1	0.256799916972514	0.957975387322644	-0.0765105855199988	0.960656806827194	-0.359817787538982	0.856910735489816
ELK3	1.11063799016007	0.688229811176503	0.700514619519304	0.698409457428557	-0.6048391244645	0.757833312144612
ELK4	-0.44039930618887	0.926766352502805	0.877601926217239	0.644884752357384	0.935674856081341	0.597570769623035
EMX1	1	1	1	1	1	1
EMX2	0.148607620681399	0.973829306570502	0.214786032355141	0.913683162352635	1.52433373467356	0.343572126815
EN1	1	1	1	1	1	1
EN2	1	1	1	1	1	1
ENO1	1.32018813280037	0.653670407273468	0.833062001498123	0.654157463622386	-0.610781013239908	0.756309476645518
EOMES	0.429660683989527	0.926766352502805	0.696435403952117	0.699531486368873	1.63347158554286	0.313920819570918
EP300	-0.877970694937837	0.762305589782113	1.0951581509779	0.528231922486113	1.14931823790342	0.500008241552815
EPAS1	0.621213854691278	0.889960159928574	-0.800364149642355	0.665829457758654	-0.154035161151955	0.935254543091072
ERF	0.320145057314074	0.953843885110116	-1.80473106442409	0.256464874404671	-2.18023065522755	0.146710369854937
ERG	1.04974424358059	0.712599467416434	1.86128603410548	0.243651988982828	3.27577839243285	0.0152703523537922
ESR1	1.63839218482618	0.483248984632732	2.71938346835614	0.0503172742284233	1.93656122456022	0.208664547828457
ESR2	1.8302453575562	0.377022376866958	1.58248629223844	0.338548920214622	1.05283181437361	0.541006525315778
ESRRA	-0.30518270810044	0.957975387322644	0.299156401155413	0.887532312038653	0.914507803199979	0.608127765752448
ESRRB	1	1	1	1	1	1
ESRRG	-0.365177882349507	0.933354452316719	1.23092022504764	0.470110109280542	-0.176791560184441	0.927779145670201
ESX1	1	1	1	1	1	1
ETS1	2.83849768528125	0.104613442293536	6.9549878093097	1.01722943554493e-09	6.1239273679645	1.75593652423004e-07
ETS2	1.89919552100808	0.357368024984945	3.30828805451518	0.0120359899184134	3.3297410420278	0.0139324324135304
ETV1	-0.435686325585174	0.926766352502805	-0.316855146022465	0.879777035413717	0.793126401405083	0.667253177260982
ETV2	1.38289211272509	0.620546558889896	1.52646698001452	0.362463424209088	1.70888015838414	0.282677817838478
ETV3	1	1	1	1	1	1
ETV4	1.20365748830631	0.688229811176503	4.58448731197194	0.000154466877991221	5.78294478128529	1.05885505628606e-06
ETV5	2.33709333059351	0.200243025166132	0.941256658829361	0.622968291444218	3.34093861488745	0.0137648594495993
ETV6	1.331405398676	0.653670407273468	0.733111136501049	0.689263154889783	1.87846048142656	0.227474512691539
ETV7	0.73320075302813	0.820253281516025	3.10900252158319	0.0200582420472487	1.52972395270516	0.343165502906322
EVX1	1	1	1	1	1	1
EVX2	1	1	1	1	1	1
EWSR1	0.481535170980956	0.926766352502805	0.650011335330443	0.729289674248418	0.379805965583259	0.846374197485267
EZH2	1.38513971090892	0.620546558889896	0.0793000615260343	0.960656806827194	0.945508964667103	0.591423448037876
FAM170A	1	1	1	1	1	1
FERD3L	1	1	1	1	1	1
FEV	1	1	1	1	1	1
FEZF1	1	1	1	1	1	1
FEZF2	1	1	1	1	1	1
FGF2	1	1	1	1	1	1
FHL2	1	1	1	1	1	1
FIGLA	1	1	1	1	1	1
FIZ1	1	1	1	1	1	1
FLI1	1.6174531544365	0.492220551787892	2.29628162682807	0.116560127372309	2.95987539998748	0.0337776293648668
FLYWCH1	1	1	1	1	1	1
FOS	2.71341107015362	0.118895099412972	5.71692154253191	7.11665024439217e-07	5.6322141199403	1.46649168710153e-06
FOSB	0.231007558313298	0.962536504605234	1.3290322187458	0.434830104021682	2.43411916501473	0.0946538672382798
FOSL1	1.12330773114018	0.688229811176503	-0.314392015379393	0.879777035413717	-0.521414715402085	0.789543067691794
FOSL2	1.18830652887651	0.688229811176503	2.04009218858421	0.183491080246832	1.77726742080044	0.256338193961604
FOXA1	1.51183657592048	0.549445757577209	0.507400268890325	0.800569832914413	1.6106585585233	0.319836461504699
FOXA2	-0.679619553778347	0.849767007235735	-0.499208510985684	0.802644036332718	1.91827734129783	0.21487907738897
FOXA3	1	1	1	1	1	1
FOXC1	-0.253023823436479	0.957975387322644	0.892132999632719	0.644884752357384	3.34927060186653	0.013750354571134
FOXC2	0.449684115289024	0.926766352502805	1.23374540510626	0.470110109280542	-0.00107883115236853	0.999139217446786
FOXD1	1	1	1	1	1	1
FOXD2	1	1	1	1	1	1
FOXD3	-1.17872031692349	0.688229811176503	0.489804909456759	0.807634347087618	0.318800204585963	0.867093425542259
FOXD4	1	1	1	1	1	1
FOXE1	0.0857070024596079	0.980814251074411	-2.52123718240526	0.0725549565928079	-0.672354490691466	0.730514124861541
FOXF1	1	1	1	1	1	1
FOXF2	0.488085082225941	0.926766352502805	-0.62793504133143	0.738736298029273	0.164628728355129	0.930518177473633
FOXG1	-0.57229274068103	0.903951259136266	-1.62102214505563	0.325765791492856	-0.986931419586656	0.576423463152745
FOXH1	0.841227383441386	0.782804286898729	0.252700766798206	0.904381107337413	1.27736028171928	0.454105942852363
FOXI1	1	1	1	1	1	1
FOXI3	1	1	1	1	1	1
FOXJ1	-1.24271593637588	0.674656554000572	-0.860254314585931	0.651349857649777	0.463151509975777	0.808410038825527
FOXJ2	1	1	1	1	1	1
FOXJ3	1	1	1	1	1	1
FOXK1	1	1	1	1	1	1
FOXK2	1	1	1	1	1	1
FOXL1	1	1	1	1	1	1
FOXL2	-0.293813233686285	0.957975387322644	-2.04118585013552	0.183491080246832	-2.25620003252252	0.128565963301618
FOXM1	1.10681518131849	0.688229811176503	3.40949813965011	0.00853468524333616	2.33502073101055	0.113898271662702
FOXN1	-1.05409630157451	0.712599467416434	1.22221196335343	0.473626135197608	1.28163665668279	0.452837842427964
FOXN3	1	1	1	1	1	1
FOXN4	1	1	1	1	1	1
FOXO1	1.43654378180383	0.600269683709002	0.818979162843352	0.657968564431665	0.135987989029327	0.940742884501696
FOXO3	-0.0212751077770899	0.998602319834142	-0.136136469687343	0.928725617513374	-1.78820048209069	0.254790998543836
FOXO4	-1.84030362918263	0.377022376866958	0.278889994270674	0.88806701335	-2.3573331456631	0.109491551013751
FOXO6	1	1	1	1	1	1
FOXP1	-1.28760364410843	0.657847677221154	-0.811214464469853	0.661398171213309	0.294621636322963	0.876085477846601
FOXP2	1	1	1	1	1	1
FOXP3	0.703405499555121	0.835369198818686	0.192888590902689	0.91940531258389	-0.698794701306669	0.71707834978101
FOXP4	1	1	1	1	1	1
FOXQ1	2.69280322671311	0.118895099412972	0.156838000960902	0.92343487065928	0.952394872553436	0.587156507092255
FOXS1	1	1	1	1	1	1
FUS	1	1	1	1	1	1
GABPA	0.973971566674971	0.736500811450878	-1.18897300078435	0.493714665010251	0.848591561399431	0.647463639133667
GATA1	2.53580268745969	0.154127589576841	1.18456645496282	0.493771736069755	2.05842787386385	0.171577580341707
GATA2	1.11106312514722	0.688229811176503	2.27111866520855	0.120201786520636	1.72645381654132	0.277836384166652
GATA3	-0.345557312169797	0.94615286494549	0.949807456219659	0.6170475803364	0.285352830426909	0.880690367403578
GATA4	-0.172001481831264	0.967142630640593	1.28246096693078	0.451175382664296	1.62437828894689	0.315694425704946
GATA5	0.27671081413681	0.957975387322644	0.354415637329825	0.866519818245184	0.877226863011037	0.630660051555018
GATA6	1.11799971991134	0.688229811176503	1.29065659527601	0.451175382664296	2.51122466017312	0.0807216970601541
GATAD2B	1	1	1	1	1	1
GBX2	1	1	1	1	1	1
GCM1	-1.13001919738107	0.688229811176503	-1.30587089192339	0.443980567675627	-1.25526887114425	0.464665138211995
GCM2	1	1	1	1	1	1
GFI1	-0.332456137344003	0.950372787183034	-1.6269222364932	0.323599111535888	-0.821621446494267	0.656365130092745
GFI1B	-0.0613386383479837	0.985429968110664	-0.192052274002155	0.91940531258389	1.00298357316202	0.567776604837508
GLI1	0.0611083111883988	0.985429968110664	1.88523347997925	0.240300239851613	2.07885046226597	0.164493507672158
GLI2	-0.445098968230038	0.926766352502805	1.22249242532038	0.473626135197608	0.349770015440645	0.857199131318496
GLI3	0.294820208040815	0.957975387322644	2.46201908325275	0.0848050756310294	1.81118629821888	0.25163295586769
GLIS1	1	1	1	1	1	1
GLIS3	1	1	1	1	1	1
GMEB1	1	1	1	1	1	1
GRHL1	1	1	1	1	1	1
GRHL2	-0.409873672077787	0.926766352502805	-0.164955760374888	0.92343487065928	1.54888634005439	0.336528177308296
GRHL3	0.41202200681766	0.926766352502805	1.27404061022424	0.451307289393809	1.90922153494404	0.21487907738897
GSC	0.679693474816356	0.849767007235735	-0.873782492924206	0.644884752357384	-0.408994589331362	0.837931224628444
GSC2	1	1	1	1	1	1
GSX1	1	1	1	1	1	1
GSX2	1	1	1	1	1	1
GTF2A1	1	1	1	1	1	1
GTF2B	1	1	1	1	1	1
GTF2F1	1	1	1	1	1	1
GTF2I	0.891386827422031	0.762305589782113	0.980658986406822	0.600449234968711	0.556272623271848	0.778003674234246
GTF2IRD1	-1.0553376419453	0.712599467416434	0.438989122221234	0.826911614607262	0.599390673117051	0.757833312144612
GTF3A	1.26888255121385	0.659643391850964	1.88100716827321	0.240300239851613	0.805193311025351	0.663247525610191
GZF1	1	1	1	1	1	1
HAND1	1	1	1	1	1	1
HAND2	1.38341670687866	0.620546558889896	-2.76405663906884	0.0451226876447836	-0.680689204736326	0.728324003149444
HBP1	1.41445125299135	0.619377302393651	1.42346551700255	0.405476918714617	0.374907177330531	0.848981127004252
HCFC1	0.895851269130359	0.762305589782113	2.91390966666054	0.0332178131010994	1.55695934030563	0.333487163827708
HDAC1	-0.306582415688275	0.957975387322644	-3.01075512295049	0.0268509961855007	-2.19331104527428	0.14316167874399
HDAC3	0.0962290136688966	0.977553069850791	-2.61324098547858	0.0601744157275539	-3.08515801069189	0.0249760022665893
HDAC4	0.787320106248293	0.804903355899697	1.17896864193727	0.496617156615829	1.2010787491168	0.480249341402251
HDAC5	1.6302062598898	0.487413236465812	1.85163859920744	0.246485692718109	1.14928761452995	0.500008241552815
HDAC7	1.16921302866013	0.688229811176503	0.876988400637873	0.644884752357384	1.14138516807485	0.504555929242199
HDAC9	0.78903561997428	0.804903355899697	0.525601296210162	0.793003515814947	1.20463502468689	0.479653820285909
HDGF	0.415582951925012	0.926766352502805	0.568074750306578	0.7753218851913	1.59646202552422	0.324226322790013
HELT	1	1	1	1	1	1
HES1	0.782639695870632	0.804903355899697	1.4314680704398	0.403095671571245	0.764263559548701	0.687929714179774
HES3	1	1	1	1	1	1
HES4	1	1	1	1	1	1
HES5	1	1	1	1	1	1
HES6	1	1	1	1	1	1
HES7	1	1	1	1	1	1
HESX1	0.899676744496172	0.762305589782113	0.562515172308404	0.7753218851913	0.177562536768944	0.927779145670201
HEY1	-0.44060181072061	0.926766352502805	-0.82840330455538	0.654858251545938	-0.453617309708836	0.811664744236617
HEY2	0.104816717571383	0.977509719093741	-1.0642674197152	0.539800552067935	0.412505492798065	0.836550292835255
HEYL	1	1	1	1	1	1
HHEX	-1.21286201858683	0.688229811176503	0.837719646129344	0.654157463622386	0.820743592452404	0.656365130092745
HIC1	-0.558137079939492	0.910126468434611	0.30550575912676	0.885876824192795	-0.567673760441603	0.772389688710627
HIF1A	2.15901710432067	0.261761480480473	3.6721385651869	0.00436898493473973	4.16514040994066	0.000842166011804342
HIF3A	-0.229394213968812	0.962536504605234	0.283493481941258	0.887532312038653	-0.0261797493678021	0.989977920107707
HINFP	1.50856531372343	0.549445757577209	0.178406962269096	0.922344043515947	-0.648369743683377	0.743546999121528
HIPK2	-0.576344047617163	0.903951259136266	-0.365729459589688	0.858969034677636	-0.178875785193834	0.927779145670201
HIRA	1	1	1	1	1	1
HIVEP1	-0.451218305381974	0.926766352502805	-0.472483682720793	0.816239055757009	-2.21699767047558	0.137157282722361
HIVEP2	1.54998201298673	0.53359653280554	1.65419577653772	0.316182270386041	-0.614350426420796	0.754838944325781
HIVEP3	1	1	1	1	1	1
HLF	0.893038411942717	0.762305589782113	-0.790095091994401	0.666202981434208	0.481556382015538	0.803464822227296
HLX	1.52370992585852	0.544976953733048	1.77926645267731	0.267828042494219	1.44674203997435	0.379458755327015
HMBOX1	1	1	1	1	1	1
HMG20B	1	1	1	1	1	1
HMGA1	2.45929911359475	0.17849633585261	3.78750899484486	0.00302756233514836	3.79027516736946	0.00321582377634587
HMGA2	-0.120693148493343	0.976722785845627	0.353315521395945	0.866519818245184	1.9667025959173	0.198590921674585
HMGB1	1	1	1	1	1	1
HMGB2	1.1398539068964	0.688229811176503	2.57585661827915	0.0648263396359624	2.11950235968665	0.157930382188812
HMGXB4	1	1	1	1	1	1
HMX1	1	1	1	1	1	1
HMX2	1	1	1	1	1	1
HMX3	1	1	1	1	1	1
HNF1A	-1.15630006684123	0.688229811176503	-1.39754447930125	0.410606108780579	-0.479422956801591	0.803464822227296
HNF1B	-0.704322239990051	0.835369198818686	1.07372016251055	0.535282184616051	2.62469719193038	0.0617789323825772
HNF4A	0.77305468014	0.805710998626191	0.610904347971589	0.747149992539477	2.04904114540286	0.172522836747225
HNF4G	1	1	1	1	1	1
HOPX	1	1	1	1	1	1
HOXA1	2.17922002604893	0.257150489750207	2.29440743156026	0.116560127372309	3.94648238842075	0.00183042292593738
HOXA10	-0.188257524322332	0.967142630640593	0.225377384733705	0.91351185143701	0.165093630433919	0.930518177473633
HOXA11	0.015973237470316	0.999136142470438	-0.441750312480929	0.826506523683114	-2.09353501682263	0.159892521009967
HOXA13	1	1	1	1	1	1
HOXA2	1	1	1	1	1	1
HOXA3	1	1	1	1	1	1
HOXA4	1	1	1	1	1	1
HOXA5	0.427453434393337	0.926766352502805	0.322433715363616	0.879776800203281	0.19496528961922	0.926768380101693
HOXA7	0.00945794774388712	0.999136142470438	0.768829702901959	0.674684593950947	0.31290839539419	0.870520198944182
HOXA9	0.445582465397189	0.926766352502805	0.282040467988679	0.887532312038653	-0.594748013487204	0.758359236086854
HOXB1	1	1	1	1	1	1
HOXB13	0.763731674504588	0.812597063030642	-0.296542647024547	0.887532312038653	-1.50847064465007	0.349481492871714
HOXB2	-0.0102311570191311	0.999136142470438	1.58122089267877	0.338548920214622	-0.0579019244477196	0.974085017469551
HOXB3	1	1	1	1	1	1
HOXB4	1	1	1	1	1	1
HOXB5	1	1	1	1	1	1
HOXB6	1	1	1	1	1	1
HOXB7	-0.28881353227235	0.957975387322644	-0.407090095222551	0.841049272766241	0.536399219911304	0.783029589079357
