	term_id	term	signalling_ancestor	first_level_ancestor
56	R-HSA-74752	Signaling by Insulin receptor R-HSA-74752		Signal Transduction R-HSA-162582
57	R-HSA-416482	G alpha (12/13) signalling events R-HSA-416482		Signal Transduction R-HSA-162582
58	R-HSA-6806834	Signaling by MET R-HSA-6806834		Signal Transduction R-HSA-162582
59	R-HSA-204998	Cell death signalling via NRAGE, NRIF and NADE R-HSA-204998		Signal Transduction R-HSA-162582
60	R-HSA-9009391	Extra-nuclear estrogen signaling R-HSA-9009391		Signal Transduction R-HSA-162582
61	R-HSA-9013106	RHOC GTPase cycle R-HSA-9013106		Signal Transduction R-HSA-162582
62	R-HSA-9013408	RHOG GTPase cycle R-HSA-9013408		Signal Transduction R-HSA-162582
63	R-HSA-1980143	Signaling by NOTCH1 R-HSA-1980143		Signal Transduction R-HSA-162582
64	R-HSA-5654738	Signaling by FGFR2 R-HSA-5654738		Signal Transduction R-HSA-162582
65	R-HSA-9013026	RHOB GTPase cycle R-HSA-9013026		Signal Transduction R-HSA-162582
66	R-HSA-8948751	Regulation of PTEN stability and activity R-HSA-8948751		Signal Transduction R-HSA-162582
67	R-HSA-5658442	Regulation of RAS by GAPs R-HSA-5658442		Signal Transduction R-HSA-162582
68	R-HSA-5625886	Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 R-HSA-5625886		Signal Transduction R-HSA-162582
69	R-HSA-5358346	Hedgehog ligand biogenesis R-HSA-5358346		Signal Transduction R-HSA-162582
70	R-HSA-4608870	Asymmetric localization of PCP proteins R-HSA-4608870		Signal Transduction R-HSA-162582
71	R-HSA-4086398	Ca2+ pathway R-HSA-4086398		Signal Transduction R-HSA-162582
72	R-HSA-8943724	Regulation of PTEN gene transcription R-HSA-8943724		Signal Transduction R-HSA-162582
73	R-HSA-198725	Nuclear Events (kinase and transcription factor activation) R-HSA-198725		Signal Transduction R-HSA-162582
74	R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome R-HSA-5610785		Signal Transduction R-HSA-162582
75	R-HSA-5610783	Degradation of GLI2 by the proteasome R-HSA-5610783		Signal Transduction R-HSA-162582
76	R-HSA-5610780	Degradation of GLI1 by the proteasome R-HSA-5610780		Signal Transduction R-HSA-162582
77	R-HSA-193648	NRAGE signals death through JNK R-HSA-193648		Signal Transduction R-HSA-162582
78	R-HSA-9013406	RHOQ GTPase cycle R-HSA-9013406		Signal Transduction R-HSA-162582
79	R-HSA-1236394	Signaling by ERBB4 R-HSA-1236394		Signal Transduction R-HSA-162582
80	R-HSA-186797	Signaling by PDGF R-HSA-186797		Signal Transduction R-HSA-162582
81	R-HSA-380108	Chemokine receptors bind chemokines R-HSA-380108		Signal Transduction R-HSA-162582
82	R-HSA-75893	TNF signaling R-HSA-75893		Signal Transduction R-HSA-162582
83	R-HSA-4641258	Degradation of DVL R-HSA-4641258		Signal Transduction R-HSA-162582
84	R-HSA-9013409	RHOJ GTPase cycle R-HSA-9013409		Signal Transduction R-HSA-162582
85	R-HSA-4641257	Degradation of AXIN R-HSA-4641257		Signal Transduction R-HSA-162582
86	R-HSA-9604323	Negative regulation of NOTCH4 signaling R-HSA-9604323		Signal Transduction R-HSA-162582
87	R-HSA-8848021	Signaling by PTK6 R-HSA-8848021		Signal Transduction R-HSA-162582
88	R-HSA-74751	Insulin receptor signalling cascade R-HSA-74751		Signal Transduction R-HSA-162582
89	R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases R-HSA-9006927		Signal Transduction R-HSA-162582
90	R-HSA-112040	G-protein mediated events R-HSA-112040		Signal Transduction R-HSA-162582
91	R-HSA-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192		Signal Transduction R-HSA-162582
92	R-HSA-9013405	RHOD GTPase cycle R-HSA-9013405		Signal Transduction R-HSA-162582
93	R-HSA-177929	Signaling by EGFR R-HSA-177929		Signal Transduction R-HSA-162582
94	R-HSA-2428924	IGF1R signaling cascade R-HSA-2428924		Signal Transduction R-HSA-162582
95	R-HSA-2428928	IRS-related events triggered by IGF1R R-HSA-2428928		Signal Transduction R-HSA-162582
96	R-HSA-5654736	Signaling by FGFR1 R-HSA-5654736		Signal Transduction R-HSA-162582
97	R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer R-HSA-2173793		Gene expression (Transcription) R-HSA-74160,Signal Transduction R-HSA-162582
98	R-HSA-1227986	Signaling by ERBB2 R-HSA-1227986		Signal Transduction R-HSA-162582
99	R-HSA-112043	PLC beta mediated events R-HSA-112043		Signal Transduction R-HSA-162582
100	R-HSA-9012852	Signaling by NOTCH3 R-HSA-9012852		Signal Transduction R-HSA-162582
101	R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947		Signal Transduction R-HSA-162582
102	R-HSA-5357905	Regulation of TNFR1 signaling R-HSA-5357905		Signal Transduction R-HSA-162582
103	R-HSA-112399	IRS-mediated signalling R-HSA-112399		Signal Transduction R-HSA-162582
104	R-HSA-418597	G alpha (z) signalling events R-HSA-418597		Signal Transduction R-HSA-162582
105	R-HSA-2173789	TGF-beta receptor signaling activates SMADs R-HSA-2173789		Signal Transduction R-HSA-162582
106	R-HSA-9024446	NR1H2 and NR1H3-mediated signaling R-HSA-9024446		Signal Transduction R-HSA-162582
107	R-HSA-9634597	GPER1 signaling R-HSA-9634597		Signal Transduction R-HSA-162582
108	R-HSA-109704	PI3K Cascade R-HSA-109704		Signal Transduction R-HSA-162582
109	R-HSA-5675221	Negative regulation of MAPK pathway R-HSA-5675221		Signal Transduction R-HSA-162582
110	R-HSA-1433557	Signaling by SCF-KIT R-HSA-1433557		Signal Transduction R-HSA-162582
111	R-HSA-9696270	RND2 GTPase cycle R-HSA-9696270		Signal Transduction R-HSA-162582
112	R-HSA-5362517	Signaling by Retinoic Acid R-HSA-5362517		Signal Transduction R-HSA-162582
113	R-HSA-9696264	RND3 GTPase cycle R-HSA-9696264		Signal Transduction R-HSA-162582
114	R-HSA-3769402	Deactivation of the beta-catenin transactivating complex R-HSA-3769402		Signal Transduction R-HSA-162582
115	R-HSA-9035034	RHOF GTPase cycle R-HSA-9035034		Signal Transduction R-HSA-162582
116	R-HSA-9696273	RND1 GTPase cycle R-HSA-9696273		Signal Transduction R-HSA-162582
117	R-HSA-375280	Amine ligand-binding receptors R-HSA-375280		Signal Transduction R-HSA-162582
118	R-HSA-165159	MTOR signalling R-HSA-165159		Signal Transduction R-HSA-162582
119	R-HSA-1489509	DAG and IP3 signaling R-HSA-1489509		Signal Transduction R-HSA-162582
120	R-HSA-8875878	MET promotes cell motility R-HSA-8875878		Signal Transduction R-HSA-162582
121	R-HSA-5654743	Signaling by FGFR4 R-HSA-5654743		Signal Transduction R-HSA-162582
122	R-HSA-5674135	MAP2K and MAPK activation R-HSA-5674135		Signal Transduction R-HSA-162582
123	R-HSA-5654741	Signaling by FGFR3 R-HSA-5654741		Signal Transduction R-HSA-162582
124	R-HSA-9013420	RHOU GTPase cycle R-HSA-9013420		Signal Transduction R-HSA-162582
125	R-HSA-420499	Class C/3 (Metabotropic glutamate/pheromone receptors) R-HSA-420499		Signal Transduction R-HSA-162582
126	R-HSA-9031628	NGF-stimulated transcription R-HSA-9031628		Signal Transduction R-HSA-162582
127	R-HSA-9029569	NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux R-HSA-9029569		Signal Transduction R-HSA-162582
128	R-HSA-9013424	RHOV GTPase cycle R-HSA-9013424		Signal Transduction R-HSA-162582
129	R-HSA-9013407	RHOH GTPase cycle R-HSA-9013407		Signal Transduction R-HSA-162582
130	R-HSA-111996	Ca-dependent events R-HSA-111996		Signal Transduction R-HSA-162582
131	R-HSA-5663213	RHO GTPases Activate WASPs and WAVEs R-HSA-5663213		Signal Transduction R-HSA-162582
132	R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription R-HSA-2173796		Gene expression (Transcription) R-HSA-74160,Signal Transduction R-HSA-162582
133	R-HSA-9706574	RHOBTB GTPase Cycle R-HSA-9706574		Signal Transduction R-HSA-162582
134	R-HSA-111997	CaM pathway R-HSA-111997		Signal Transduction R-HSA-162582
135	R-HSA-111933	Calmodulin induced events R-HSA-111933		Signal Transduction R-HSA-162582
136	R-HSA-5654727	Negative regulation of FGFR2 signaling R-HSA-5654727		Signal Transduction R-HSA-162582
137	R-HSA-5673000	RAF activation R-HSA-5673000		Signal Transduction R-HSA-162582
138	R-HSA-187687	Signalling to ERKs R-HSA-187687		Signal Transduction R-HSA-162582
139	R-HSA-420092	Glucagon-type ligand receptors R-HSA-420092		Signal Transduction R-HSA-162582
140	R-HSA-5357956	TNFR1-induced NF-kappa-B signaling pathway R-HSA-5357956		Signal Transduction R-HSA-162582
141	R-HSA-5654726	Negative regulation of FGFR1 signaling R-HSA-5654726		Signal Transduction R-HSA-162582
142	R-HSA-1980145	Signaling by NOTCH2 R-HSA-1980145		Signal Transduction R-HSA-162582
143	R-HSA-1251985	Nuclear signaling by ERBB4 R-HSA-1251985		Signal Transduction R-HSA-162582
144	R-HSA-5626467	RHO GTPases activate IQGAPs R-HSA-5626467		Signal Transduction R-HSA-162582
145	R-HSA-397795	G-protein beta:gamma signalling R-HSA-397795		Signal Transduction R-HSA-162582
146	R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity R-HSA-2173795		Gene expression (Transcription) R-HSA-74160,Signal Transduction R-HSA-162582
147	R-HSA-5654733	Negative regulation of FGFR4 signaling R-HSA-5654733		Signal Transduction R-HSA-162582
148	R-HSA-5654687	Downstream signaling of activated FGFR1 R-HSA-5654687		Signal Transduction R-HSA-162582
149	R-HSA-2122948	Activated NOTCH1 Transmits Signal to the Nucleus R-HSA-2122948		Signal Transduction R-HSA-162582
150	R-HSA-182971	EGFR downregulation R-HSA-182971		Signal Transduction R-HSA-162582
151	R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane R-HSA-4641262		Signal Transduction R-HSA-162582
152	R-HSA-201451	Signaling by BMP R-HSA-201451		Signal Transduction R-HSA-162582
153	R-HSA-8874081	MET activates PTK2 signaling R-HSA-8874081		Signal Transduction R-HSA-162582
154	R-HSA-5654696	Downstream signaling of activated FGFR2 R-HSA-5654696		Signal Transduction R-HSA-162582
155	R-HSA-77387	Insulin receptor recycling R-HSA-77387		Signal Transduction R-HSA-162582
156	R-HSA-201556	Signaling by ALK R-HSA-201556		Signal Transduction R-HSA-162582
157	R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK R-HSA-380972		Signal Transduction R-HSA-162582
158	R-HSA-5654732	Negative regulation of FGFR3 signaling R-HSA-5654732		Signal Transduction R-HSA-162582
159	R-HSA-186763	Downstream signal transduction R-HSA-186763		Signal Transduction R-HSA-162582
160	R-HSA-8863795	Downregulation of ERBB2 signaling R-HSA-8863795		Signal Transduction R-HSA-162582
161	R-HSA-114508	Effects of PIP2 hydrolysis R-HSA-114508		Hemostasis R-HSA-109582,Signal Transduction R-HSA-162582
162	R-HSA-6803529	FGFR2 alternative splicing R-HSA-6803529		Signal Transduction R-HSA-162582
163	R-HSA-5654716	Downstream signaling of activated FGFR4 R-HSA-5654716		Signal Transduction R-HSA-162582
164	R-HSA-5218920	VEGFR2 mediated vascular permeability R-HSA-5218920		Signal Transduction R-HSA-162582
165	R-HSA-354192	Integrin signaling R-HSA-354192		Hemostasis R-HSA-109582,Signal Transduction R-HSA-162582
166	R-HSA-3238698	WNT ligand biogenesis and trafficking R-HSA-3238698		Signal Transduction R-HSA-162582
167	R-HSA-2173788	Downregulation of TGF-beta receptor signaling R-HSA-2173788		Signal Transduction R-HSA-162582
168	R-HSA-5654708	Downstream signaling of activated FGFR3 R-HSA-5654708		Signal Transduction R-HSA-162582
169	R-HSA-392451	G beta:gamma signalling through PI3Kgamma R-HSA-392451		Signal Transduction R-HSA-162582
170	R-HSA-9006115	Signaling by NTRK2 (TRKB) R-HSA-9006115		Signal Transduction R-HSA-162582
171	R-HSA-9006335	Signaling by Erythropoietin R-HSA-9006335		Signal Transduction R-HSA-162582
172	R-HSA-5654700	FRS-mediated FGFR2 signaling R-HSA-5654700		Signal Transduction R-HSA-162582
173	R-HSA-5357786	TNFR1-induced proapoptotic signaling R-HSA-5357786		Signal Transduction R-HSA-162582
174	R-HSA-9013508	NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508		Signal Transduction R-HSA-162582
175	R-HSA-9013507	NOTCH3 Activation and Transmission of Signal to the Nucleus R-HSA-9013507		Signal Transduction R-HSA-162582
176	R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling R-HSA-9634638		Signal Transduction R-HSA-162582
177	R-HSA-9648002	RAS processing R-HSA-9648002		Signal Transduction R-HSA-162582
178	R-HSA-5668599	RHO GTPases Activate NADPH Oxidases R-HSA-5668599		Signal Transduction R-HSA-162582
179	R-HSA-202040	G-protein activation R-HSA-202040		Signal Transduction R-HSA-162582
180	R-HSA-180024	DARPP-32 events R-HSA-180024		Signal Transduction R-HSA-162582
181	R-HSA-166208	mTORC1-mediated signalling R-HSA-166208		Signal Transduction R-HSA-162582
182	R-HSA-5654693	FRS-mediated FGFR1 signaling R-HSA-5654693		Signal Transduction R-HSA-162582
183	R-HSA-9013422	RHOBTB1 GTPase cycle R-HSA-9013422		Signal Transduction R-HSA-162582
184	R-HSA-5654699	SHC-mediated cascade:FGFR2 R-HSA-5654699		Signal Transduction R-HSA-162582
185	R-HSA-9013418	RHOBTB2 GTPase cycle R-HSA-9013418		Signal Transduction R-HSA-162582
186	R-HSA-112409	RAF-independent MAPK1/3 activation R-HSA-112409		Signal Transduction R-HSA-162582
187	R-HSA-5654695	PI-3K cascade:FGFR2 R-HSA-5654695		Signal Transduction R-HSA-162582
188	R-HSA-198753	ERK/MAPK targets R-HSA-198753		Immune System R-HSA-168256,Signal Transduction R-HSA-162582
189	R-HSA-2979096	NOTCH2 Activation and Transmission of Signal to the Nucleus R-HSA-2979096		Signal Transduction R-HSA-162582
190	R-HSA-5365859	RA biosynthesis pathway R-HSA-5365859		Signal Transduction R-HSA-162582
191	R-HSA-5654712	FRS-mediated FGFR4 signaling R-HSA-5654712		Signal Transduction R-HSA-162582
192	R-HSA-1250196	SHC1 events in ERBB2 signaling R-HSA-1250196		Signal Transduction R-HSA-162582
193	R-HSA-4641263	Regulation of FZD by ubiquitination R-HSA-4641263		Signal Transduction R-HSA-162582
194	R-HSA-5627123	RHO GTPases activate PAKs R-HSA-5627123		Signal Transduction R-HSA-162582
195	R-HSA-5654689	PI-3K cascade:FGFR1 R-HSA-5654689		Signal Transduction R-HSA-162582
196	R-HSA-6807004	Negative regulation of MET activity R-HSA-6807004		Signal Transduction R-HSA-162582
197	R-HSA-5654688	SHC-mediated cascade:FGFR1 R-HSA-5654688		Signal Transduction R-HSA-162582
198	R-HSA-111931	PKA-mediated phosphorylation of CREB R-HSA-111931		Signal Transduction R-HSA-162582
199	R-HSA-5654719	SHC-mediated cascade:FGFR4 R-HSA-5654719		Signal Transduction R-HSA-162582
200	R-HSA-167044	Signalling to RAS R-HSA-167044		Signal Transduction R-HSA-162582
201	R-HSA-2028269	Signaling by Hippo R-HSA-2028269		Signal Transduction R-HSA-162582
202	R-HSA-418217	G beta:gamma signalling through PLC beta R-HSA-418217		Signal Transduction R-HSA-162582
203	R-HSA-5654706	FRS-mediated FGFR3 signaling R-HSA-5654706		Signal Transduction R-HSA-162582
204	R-HSA-9013695	NOTCH4 Intracellular Domain Regulates Transcription R-HSA-9013695		Signal Transduction R-HSA-162582
205	R-HSA-5654720	PI-3K cascade:FGFR4 R-HSA-5654720		Signal Transduction R-HSA-162582
206	R-HSA-8964616	G beta:gamma signalling through CDC42 R-HSA-8964616		Signal Transduction R-HSA-162582
207	R-HSA-190241	FGFR2 ligand binding and activation R-HSA-190241		Signal Transduction R-HSA-162582
208	R-HSA-5218921	VEGFR2 mediated cell proliferation R-HSA-5218921		Signal Transduction R-HSA-162582
209	R-HSA-5625900	RHO GTPases activate CIT R-HSA-5625900		Signal Transduction R-HSA-162582
210	R-HSA-5627117	RHO GTPases Activate ROCKs R-HSA-5627117		Signal Transduction R-HSA-162582
211	R-HSA-163615	PKA activation R-HSA-163615		Signal Transduction R-HSA-162582
212	R-HSA-5654704	SHC-mediated cascade:FGFR3 R-HSA-5654704		Signal Transduction R-HSA-162582
213	R-HSA-5635838	Activation of SMO R-HSA-5635838		Signal Transduction R-HSA-162582
214	R-HSA-190242	FGFR1 ligand binding and activation R-HSA-190242		Signal Transduction R-HSA-162582
215	R-HSA-1912420	Pre-NOTCH Processing in Golgi R-HSA-1912420		Signal Transduction R-HSA-162582
216	R-HSA-8964315	G beta:gamma signalling through BTK R-HSA-8964315		Signal Transduction R-HSA-162582
217	R-HSA-5654710	PI-3K cascade:FGFR3 R-HSA-5654710		Signal Transduction R-HSA-162582
218	R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK R-HSA-881907		Signal Transduction R-HSA-162582
219	R-HSA-5654221	Phospholipase C-mediated cascade; FGFR2 R-HSA-5654221		Signal Transduction R-HSA-162582
220	R-HSA-1502540	Signaling by Activin R-HSA-1502540		Signal Transduction R-HSA-162582
221	R-HSA-180292	GAB1 signalosome R-HSA-180292		Signal Transduction R-HSA-162582
222	R-HSA-196299	Beta-catenin phosphorylation cascade R-HSA-196299		Signal Transduction R-HSA-162582
223	R-HSA-9034015	Signaling by NTRK3 (TRKC) R-HSA-9034015		Signal Transduction R-HSA-162582
224	R-HSA-1963642	PI3K events in ERBB2 signaling R-HSA-1963642		Signal Transduction R-HSA-162582
225	R-HSA-1295596	Spry regulation of FGF signaling R-HSA-1295596		Signal Transduction R-HSA-162582
226	R-HSA-1433559	Regulation of KIT signaling R-HSA-1433559		Signal Transduction R-HSA-162582
227	R-HSA-5654219	Phospholipase C-mediated cascade: FGFR1 R-HSA-5654219		Signal Transduction R-HSA-162582
228	R-HSA-193639	p75NTR signals via NF-kB R-HSA-193639		Signal Transduction R-HSA-162582
229	R-HSA-2173791	TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition) R-HSA-2173791		Signal Transduction R-HSA-162582
230	R-HSA-205043	NRIF signals cell death from the nucleus R-HSA-205043		Signal Transduction R-HSA-162582
231	R-HSA-418038	Nucleotide-like (purinergic) receptors R-HSA-418038		Signal Transduction R-HSA-162582
232	R-HSA-1963640	GRB2 events in ERBB2 signaling R-HSA-1963640		Signal Transduction R-HSA-162582
233	R-HSA-391903	Eicosanoid ligand-binding receptors R-HSA-391903		Signal Transduction R-HSA-162582
234	R-HSA-6785631	ERBB2 Regulates Cell Motility R-HSA-6785631		Signal Transduction R-HSA-162582
235	R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists R-HSA-3772470		Signal Transduction R-HSA-162582
236	R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins  R-HSA-354194		Hemostasis R-HSA-109582,Signal Transduction R-HSA-162582
237	R-HSA-5654228	Phospholipase C-mediated cascade; FGFR4 R-HSA-5654228		Signal Transduction R-HSA-162582
238	R-HSA-372708	p130Cas linkage to MAPK signaling for integrins R-HSA-372708		Hemostasis R-HSA-109582,Signal Transduction R-HSA-162582
239	R-HSA-5099900	WNT5A-dependent internalization of FZD4 R-HSA-5099900		Signal Transduction R-HSA-162582
240	R-HSA-198323	AKT phosphorylates targets in the cytosol R-HSA-198323		Signal Transduction R-HSA-162582
241	R-HSA-4641265	Repression of WNT target genes R-HSA-4641265		Signal Transduction R-HSA-162582
242	R-HSA-180336	SHC1 events in EGFR signaling R-HSA-180336		Signal Transduction R-HSA-162582
243	R-HSA-170670	Adenylate cyclase inhibitory pathway R-HSA-170670		Neuronal System R-HSA-112316,Signal Transduction R-HSA-162582
244	R-HSA-419408	Lysosphingolipid and LPA receptors R-HSA-419408		Signal Transduction R-HSA-162582
245	R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases R-HSA-8849471		Signal Transduction R-HSA-162582
246	R-HSA-9027284	Erythropoietin activates RAS R-HSA-9027284		Signal Transduction R-HSA-162582
247	R-HSA-190373	FGFR1c ligand binding and activation R-HSA-190373		Signal Transduction R-HSA-162582
248	R-HSA-177504	Retrograde neurotrophin signalling R-HSA-177504		Signal Transduction R-HSA-162582
249	R-HSA-169893	Prolonged ERK activation events R-HSA-169893		Signal Transduction R-HSA-162582
250	R-HSA-1250347	SHC1 events in ERBB4 signaling R-HSA-1250347		Signal Transduction R-HSA-162582
251	R-HSA-190322	FGFR4 ligand binding and activation R-HSA-190322		Signal Transduction R-HSA-162582
252	R-HSA-190372	FGFR3c ligand binding and activation R-HSA-190372		Signal Transduction R-HSA-162582
253	R-HSA-5658623	FGFRL1 modulation of FGFR1 signaling R-HSA-5658623		Signal Transduction R-HSA-162582
254	R-HSA-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2 R-HSA-5140745		Signal Transduction R-HSA-162582
255	R-HSA-8847993	ERBB2 Activates PTK6 Signaling R-HSA-8847993		Signal Transduction R-HSA-162582
256	R-HSA-209543	p75NTR recruits signalling complexes R-HSA-209543		Signal Transduction R-HSA-162582
257	R-HSA-5654227	Phospholipase C-mediated cascade; FGFR3 R-HSA-5654227		Signal Transduction R-HSA-162582
258	R-HSA-190239	FGFR3 ligand binding and activation R-HSA-190239		Signal Transduction R-HSA-162582
259	R-HSA-1358803	Downregulation of ERBB2:ERBB3 signaling R-HSA-1358803		Signal Transduction R-HSA-162582
260	R-HSA-209560	NF-kB is activated and signals survival R-HSA-209560		Signal Transduction R-HSA-162582
261	R-HSA-190375	FGFR2c ligand binding and activation R-HSA-190375		Signal Transduction R-HSA-162582
262	R-HSA-202670	ERKs are inactivated R-HSA-202670		Immune System R-HSA-168256,Signal Transduction R-HSA-162582
263	R-HSA-171007	p38MAPK events R-HSA-171007		Signal Transduction R-HSA-162582
264	R-HSA-179812	GRB2 events in EGFR signaling R-HSA-179812		Signal Transduction R-HSA-162582
