external_gene_name	description	uniprotswissprot	uniprot_gn_symbol
ZNF43	zinc finger protein 43 [Source:HGNC Symbol;Acc:HGNC:13109]		ZNF43
ZNF100	zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]	Q8IYN0	ZNF100
ZNF100	zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]		ZNF100
DHX36	DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]		DHX36
ZNF430	zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]		ZNF430
KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]		KIR2DS3
KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]		KIR2DL5B
KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]	P43630	KIR3DL2
ARHGEF26	Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]	Q96DR7	ARHGEF26
ZNF85	zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]		ZNF85
ZNF85	zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]	Q03923	ZNF85
KRTAP9-9	keratin associated protein 9-9 [Source:HGNC Symbol;Acc:HGNC:16773]		KRTAP9-9
KRTAP9-2	keratin associated protein 9-2 [Source:HGNC Symbol;Acc:HGNC:16926]	Q9BYQ4	KRTAP9-2
KRTAP9-4	keratin associated protein 9-4 [Source:HGNC Symbol;Acc:HGNC:18902]	Q9BYQ2	KRTAP9-4
KRTAP9-3	keratin associated protein 9-3 [Source:HGNC Symbol;Acc:HGNC:16927]	Q9BYQ3	KRTAP9-3
	novel keratin associated protein 9 family member		KRTAP9-6
KRTAP29-1	keratin associated like protein 29-1 [Source:HGNC Symbol;Acc:HGNC:34211]	A8MX34	KRTAP29-1
ZNF66	zinc finger protein 66 [Source:HGNC Symbol;Acc:HGNC:13135]		ZNF66
DLG5	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]		DLG5
PRODH	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]		
TPO	thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]		TPO
			DGCR6
PIWIL1	piwi like RNA-mediated gene silencing 1 [Source:HGNC Symbol;Acc:HGNC:9007]	Q96J94	PIWIL1
PIWIL1	piwi like RNA-mediated gene silencing 1 [Source:HGNC Symbol;Acc:HGNC:9007]		PIWIL1
KRTAP9-2	keratin associated protein 9-2 [Source:HGNC Symbol;Acc:HGNC:16926]		KRTAP9-2
PROP1	PROP paired-like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9455]		PROP1
KRTAP9-6	keratin associated protein 9-6 [Source:HGNC Symbol;Acc:HGNC:18914]	A8MVA2	KRTAP9-6
KRTAP9-7	keratin associated protein 9-7 [Source:HGNC Symbol;Acc:HGNC:18915]	A8MTY7	KRTAP9-7
ERICH1	glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:27234]		ERICH1
KRTAP9-9	keratin associated protein 9-9 [Source:HGNC Symbol;Acc:HGNC:16773]	Q9BYP9	KRTAP9-9
KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]	Q8NHK3	KIR2DL5B
DNAH10	dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]		DNAH10
DLG5	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]	Q8TDM6	DLG5
KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	P43626	KIR2DL1
	novel killer cell immunoglobulin-like receptor protein		KIR3DP1
RPS17	ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]	P08708	RPS17
RPS17	ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]		RPS17
CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]		CRIM1
FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]		FTCD
CCDC92	coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]	Q53HC0	CCDC92
CCDC92	coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]		CCDC92
GARRE1	granule associated Rac and RHOG effector 1 [Source:HGNC Symbol;Acc:HGNC:29016]		GARRE1
CTDP1	CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]		CTDP1
DSEL	dermatan sulfate epimerase like [Source:HGNC Symbol;Acc:HGNC:18144]	Q8IZU8	DSEL
PRB1	proline rich protein BstNI subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9337]		PRB1
SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	Q96BD8	SKA1
SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	Q96BD8	C18orf24
SEPTIN9	septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]		SEPTIN9
SEPTIN9	septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]		SEPT9
SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]		SKA1
SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]		C18orf24
TUBGCP5	tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600]		TUBGCP5
LSM14A	LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]	Q8ND56	LSM14A
LSM14A	LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]		LSM14A
LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]		LSS
SPATC1L	spermatogenesis and centriole associated 1 like [Source:HGNC Symbol;Acc:HGNC:1298]	Q9H0A9	SPATC1L
CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]		CYFIP1
GOLGA6L1	golgin A6 family like 1 [Source:HGNC Symbol;Acc:HGNC:37444]	Q8N7Z2	GOLGA6L1
GOLGA6L1	golgin A6 family like 1 [Source:HGNC Symbol;Acc:HGNC:37444]	Q8N7Z2	LOC283767
APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]	P31941	APOBEC3A
SLC45A2	solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472]		SLC45A2
RXFP3	relaxin family peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:24883]	Q9NSD7	RXFP3
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]		ADAMTS12
CNTNAP2	contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]		CNTNAP2
DLGAP2	DLG associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]		DLGAP2
CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	Q9BZB8	CPEB1
AP2A2	adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]		AP2A2
CNTNAP2	contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]	Q9UHC6	CNTNAP2
CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]		CPEB1
ABCB11	ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]		ABCB11
KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]		KIR2DS1
G6PC2	glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]	Q9NQR9	G6PC2
AADACL2	arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]		AADACL2
G6PC2	glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]		G6PC2
KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	Q8N743	KIR3DL3
SMN2	survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]	Q16637	SMN1
SMN2	survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]	Q16637	SMN2
AADACL2	arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]	Q6P093	AADACL2
SMN2	survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]		SMN1
SMN2	survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]		SMN2
	novel protein identical to killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3		KIR2DS3
METRNL	meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]	Q641Q3	METRNL
SPC25	SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]	Q9HBM1	SPC25
SPC25	SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]		SPC25
GOLGA6L9	golgin A6 family like 9 [Source:HGNC Symbol;Acc:HGNC:37229]	A6NEM1	GOLGA6L9
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]		GART
	novel protein		
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	P22102	GART
GOLGA6L10	golgin A6 family like 10 [Source:NCBI gene (formerly Entrezgene);Acc:647042]		GOLGA6L10
DNAJC28	DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297]	Q9NX36	DNAJC28
MUC6	mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]		MUC6
IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]		IFNGR2
GOLGA6L10	golgin A6 family like 10 [Source:HGNC Symbol;Acc:HGNC:37228]		GOLGA6L10
DECR2	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	Q9NUI1	DECR2
DECR2	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]		DECR2
TBCD	tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]		TBCD
NOSTRIN	nitric oxide synthase trafficking [Source:HGNC Symbol;Acc:HGNC:20203]		NOSTRIN
	novel killer cell immunoglobulin-like receptor protein identical to KIR2DS3		KIR2DS3
LRRC56	leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]		LRRC56
GOLGA6L22	golgin A6 family like 22 [Source:HGNC Symbol;Acc:HGNC:50289]		GOLGA6L22
KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]	P35900	KRT20
KRTAP3-1	keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778]	Q9BYR8	KRTAP3-1
IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	P38484	IFNGR2
KRTAP5-6	keratin associated protein 5-6 [Source:HGNC Symbol;Acc:HGNC:23600]	Q6L8G9	KRTAP5-6
KRTAP5-1	keratin associated protein 5-1 [Source:HGNC Symbol;Acc:HGNC:23596]	Q6L8H4	KRTAP5-1
KRTAP5-4	keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599]	Q6L8H1	KRTAP5-4
KRTAP3-2	keratin associated protein 3-2 [Source:HGNC Symbol;Acc:HGNC:16779]	Q9BYR7	KRTAP3-2
KRTAP4-9	keratin associated protein 4-9 [Source:HGNC Symbol;Acc:HGNC:18910]		KRTAP4-9
KRTAP2-4	keratin associated protein 2-4 [Source:HGNC Symbol;Acc:HGNC:18891]	Q9BYR9	KRTAP2-4
KRTAP5-4	keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599]		KRTAP5-4
KRTAP5-5	keratin associated protein 5-5 [Source:HGNC Symbol;Acc:HGNC:23601]		KRTAP5-5
DUSP8	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]	Q13202	DUSP8
KIF26B	kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]		KIF26B
IFITM10	interferon induced transmembrane protein 10 [Source:HGNC Symbol;Acc:HGNC:40022]		IFITM10
KRTAP5-3	keratin associated protein 5-3 [Source:HGNC Symbol;Acc:HGNC:23598]	Q6L8H2	KRTAP5-3
KRTAP5-2	keratin associated protein 5-2 [Source:HGNC Symbol;Acc:HGNC:23597]	Q701N4	KRTAP5-2
KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]	Q9C075	KRT23
RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	O75154	RAB11FIP3
RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]		RAB11FIP3
TMEM50B	transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]	P56557	TMEM50B
TMEM50B	transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]		TMEM50B
KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]		KRT23
B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:21727]	Q67FW5	B3GNTL1
KRT40	keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707]		KRT40
B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:21727]		B3GNTL1
		P0DMU3	
			LOC440570
KRT40	keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707]	Q6A162	KRT40
PAXBP1	PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]	Q9Y5B6	PAXBP1
KRTAP1-1	keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]	Q07627	KRTAP1-1
	novel keratin associated protein 2 family member		
KRTAP4-11	keratin associated protein 4-11 [Source:HGNC Symbol;Acc:HGNC:18911]	Q9BYQ6	KRTAP4-11
C21orf62	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]	Q9NYP8	C21orf62
C21orf62	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]		C21orf62
KRTAP1-3	keratin associated protein 1-3 [Source:HGNC Symbol;Acc:HGNC:16771]	Q8IUG1	KRTAP1-3
GTF2H2	general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]	Q13888	GTF2H2
KRTAP4-16	keratin associated protein 4-16 [Source:HGNC Symbol;Acc:HGNC:18921]	G5E9R7	KRTAP4-16
KCNIP4	potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]		KCNIP4
KRT12	keratin 12 [Source:HGNC Symbol;Acc:HGNC:6414]	Q99456	KRT12
KRTAP1-5	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]	Q9BYS1	KRTAP1-5
KRT39	keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]	Q6A163	KRT39
KRT39	keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]		KRT39
KRTAP2-1	keratin associated protein 2-1 [Source:HGNC Symbol;Acc:HGNC:16775]	Q9BYU5	KRTAP2-1
KRTAP2-1	keratin associated protein 2-1 [Source:HGNC Symbol;Acc:HGNC:16775]		KRTAP2-1
KRTAP3-3	keratin associated protein 3-3 [Source:HGNC Symbol;Acc:HGNC:18890]	Q9BYR6	KRTAP3-3
KRTAP2-3	keratin associated protein 2-3 [Source:HGNC Symbol;Acc:HGNC:18906]	P0C7H8	KRTAP2-3
KRTAP4-12	keratin associated protein 4-12 [Source:HGNC Symbol;Acc:HGNC:16776]	Q9BQ66	KRTAP4-12
KRTAP1-4	keratin associated protein 1-4 [Source:HGNC Symbol;Acc:HGNC:18904]	P0C5Y4	KRTAP1-4
	novel keratin associated protein 4 family member		LOC100996750
KRTAP4-8	keratin associated protein 4-8 [Source:HGNC Symbol;Acc:HGNC:17230]		KRTAP4-8
GTF2H2	general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]		GTF2H2
PHRF1	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]		KIAA1542
PHRF1	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]		PHRF1
MEGF11	multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]		MEGF11
