	ensembl_gene_id	external_gene_name
65	ENSG00000274807	KIR2DS4
66	ENSG00000280695	
67	ENSG00000274714	KIR2DS4
68	ENSG00000276876	MYT1
69	ENSG00000277334	NCR1
70	ENSG00000276885	KIR2DS4
71	ENSG00000273575	KIR2DL4
72	ENSG00000275786	KIR3DL1
73	ENSG00000276518	KIR3DP1
74	ENSG00000275237	KIR2DL4
75	ENSG00000278152	KIR2DS2
76	ENSG00000277982	KIR3DL2
77	ENSG00000277267	LILRP2
78	ENSG00000273510	KIR2DL1
79	ENSG00000274324	KIR2DS4
80	ENSG00000276423	KIR3DL1
81	ENSG00000276534	KIR3DS1
82	ENSG00000274130	
83	ENSG00000276820	KIR2DL1
84	ENSG00000278731	KIR2DL2
85	ENSG00000278306	KIR2DS3
86	ENSG00000277620	KIR3DL3
87	ENSG00000280538	
88	ENSG00000281806	
89	ENSG00000275732	KIR2DL4
90	ENSG00000281362	LINC01115
91	ENSG00000274948	KIR3DL1
92	ENSG00000276858	FCAR
93	ENSG00000276328	KIR3DL3
94	ENSG00000274696	KIR3DL3
95	ENSG00000275407	KIR2DL2
96	ENSG00000278805	KIR2DL1
97	ENSG00000277345	KIR2DS4
98	ENSG00000275422	
99	ENSG00000275914	KIR2DL2
100	ENSG00000276424	KIR3DL2
101	ENSG00000277616	KIR2DL1
102	ENSG00000277185	
103	ENSG00000273526	KIR2DS4
104	ENSG00000278207	KIR2DL1
105	ENSG00000275433	KIR3DL3
106	ENSG00000277650	KIR2DS5
107	ENSG00000273738	FCAR
108	ENSG00000277725	KIR2DL2
109	ENSG00000273661	KIR2DL2
110	ENSG00000276044	KIR2DL4
111	ENSG00000274271	LILRP1
112	ENSG00000274722	KIR3DL2
113	ENSG00000275018	
114	ENSG00000274676	KIR2DL5A
115	ENSG00000274163	KIR3DP1
116	ENSG00000274842	LILRP2
117	ENSG00000274406	KIR2DS4
118	ENSG00000273670	LILRP1
119	ENSG00000274476	KIR2DP1
120	ENSG00000276501	KIR3DL1
121	ENSG00000277355	KIR2DL4
122	ENSG00000275276	KIR2DL1
123	ENSG00000277456	
124	ENSG00000278606	KIR2DL4
125	ENSG00000274782	KIR2DL1
126	ENSG00000277070	LILRP1
127	ENSG00000275848	KIR2DL4
128	ENSG00000276676	KIR2DS5
129	ENSG00000277376	KIR2DP1
130	ENSG00000276258	KIR2DS2
131	ENSG00000281935	DNAH10
132	ENSG00000275946	KIR2DL5B
133	ENSG00000274861	LILRP2
134	ENSG00000274193	KIR2DL4
135	ENSG00000275008	KIR2DL3
136	ENSG00000274189	KIR2DL4
137	ENSG00000275599	KIR2DS3
138	ENSG00000274339	LILRP1
139	ENSG00000273775	KIR3DL1
140	ENSG00000274851	KIR2DP1
141	ENSG00000273688	KIR3DP1
142	ENSG00000274830	KIR2DL3
143	ENSG00000277570	LILRP1
144	ENSG00000274283	KIR3DS1
145	ENSG00000276306	
146	ENSG00000274955	KIR2DL4
147	ENSG00000277078	KIR2DS4
148	ENSG00000276004	KIR3DL2
149	ENSG00000275659	KIR3DL1
150	ENSG00000276084	KIR3DL3
151	ENSG00000276459	KIR2DL3
152	ENSG00000276329	KIR3DL1
153	ENSG00000278248	KIR2DL1
154	ENSG00000274009	
155	ENSG00000274942	KIR2DP1
156	ENSG00000273518	KIR3DL1
157	ENSG00000278345	
158	ENSG00000275080	KIR2DL1
159	ENSG00000276035	KIR3DP1
160	ENSG00000276001	LILRP1
161	ENSG00000277964	KIR2DL4
162	ENSG00000276985	FCAR
163	ENSG00000275112	LILRP1
164	ENSG00000274518	KIR2DS2
165	ENSG00000275436	KIR2DL5B
166	ENSG00000276013	
167	ENSG00000274480	KIR3DL3
168	ENSG00000274945	KIR2DL4
169	ENSG00000275351	KIR2DS4
170	ENSG00000275035	CCDC92
171	ENSG00000277833	KIR2DL1
172	ENSG00000276357	KIR3DL2
173	ENSG00000276806	KIR3DL3
174	ENSG00000275289	LILRP2
175	ENSG00000262025	
176	ENSG00000263275	
177	ENSG00000274826	LILRP2
178	ENSG00000262299	
179	ENSG00000273881	LILRP1
180	ENSG00000277940	
181	ENSG00000278369	KIR2DL3
182	ENSG00000262767	GEMIN2P1
183	ENSG00000261992	GATAD2B
184	ENSG00000275699	KIR2DL4
185	ENSG00000274920	KIR3DL1
186	ENSG00000273887	KIR2DL3
187	ENSG00000275452	KIR2DS2
188	ENSG00000276450	NCR1
189	ENSG00000275970	FCAR
190	ENSG00000274707	KIR2DL5B
191	ENSG00000274724	KIR3DL3
192	ENSG00000276247	LILRP2
193	ENSG00000263130	
194	ENSG00000274610	KIR3DP1
195	ENSG00000263163	SLC27A3
196	ENSG00000274243	KIR2DS5
197	ENSG00000276590	KIR2DL3
198	ENSG00000275269	FCAR
199	ENSG00000274120	LILRP2
200	ENSG00000278414	KIR2DL5B
201	ENSG00000275750	KIR2DL1
202	ENSG00000275815	KIR2DP1
203	ENSG00000278327	KIR2DL3
204	ENSG00000276425	KIR2DS2
205	ENSG00000281954	
206	ENSG00000275421	KIR2DS1
207	ENSG00000275247	
208	ENSG00000275136	FCAR
209	ENSG00000277729	
210	ENSG00000274106	
211	ENSG00000278304	KIR2DS1
212	ENSG00000275172	KIR3DL3
213	ENSG00000277976	KRT18P40
214	ENSG00000279974	
215	ENSG00000277963	LILRP2
216	ENSG00000278780	ZNF430
217	ENSG00000273517	KIR2DS1
218	ENSG00000275521	NCR1
219	ENSG00000277742	KIR3DP1
220	ENSG00000275938	KIR2DS4
221	ENSG00000276686	KIR2DL5A
222	ENSG00000274556	KIR3DL3
223	ENSG00000278474	KIR3DL2
224	ENSG00000277317	KIR2DL3
225	ENSG00000274402	KIR2DL3
226	ENSG00000276974	
227	ENSG00000278325	LILRP1
228	ENSG00000276930	KIR3DL3
229	ENSG00000278201	KIR2DL4
230	ENSG00000278710	KIR3DL2
231	ENSG00000274449	
232	ENSG00000273528	LILRP2
233	ENSG00000277551	U6
234	ENSG00000279318	
235	ENSG00000273755	LILRP2
236	ENSG00000278091	ZNF85
237	ENSG00000290329	
238	ENSG00000275486	KIR3DL1
239	ENSG00000277176	KIR3DP1
240	ENSG00000290379	
241	ENSG00000278442	KIR3DL2
242	ENSG00000277193	KIR2DS3
243	ENSG00000274639	KIR3DL3
244	ENSG00000276392	KIR2DL5A
245	ENSG00000278339	KIR2DP1
246	ENSG00000276099	LILRP1
247	ENSG00000273578	KIR2DL2
248	ENSG00000278079	KIR3DL1
249	ENSG00000273794	KIR2DL1
250	ENSG00000262994	
251	ENSG00000278051	KIR3DP1
252	ENSG00000269823	
253	ENSG00000278850	KIR3DL2
254	ENSG00000262710	Y_RNA
255	ENSG00000276498	KIR3DS1
256	ENSG00000262469	Y_RNA
257	ENSG00000276295	Metazoa_SRP
258	ENSG00000275531	Metazoa_SRP
259	ENSG00000275288	KIR3DL1
260	ENSG00000277630	
261	ENSG00000275321	
262	ENSG00000280428	BNIP3P24
263	ENSG00000280030	
264	ENSG00000275050	ZNF66
265	ENSG00000275262	KIR3DL2
266	ENSG00000275245	
267	ENSG00000276154	KIR2DS4
268	ENSG00000275225	
269	ENSG00000277596	KIR3DL3
270	ENSG00000278856	KIR3DL1
271	ENSG00000275059	
272	ENSG00000274563	KIR2DS5
273	ENSG00000276552	U6
274	ENSG00000275083	KIR3DL2
275	ENSG00000278793	U6
276	ENSG00000277657	KIR2DS3
277	ENSG00000278329	KIR2DP1
278	ENSG00000275513	KIR3DL3
279	ENSG00000274108	KIR2DL3
280	ENSG00000277356	KIR2DL1
281	ENSG00000263057	KRT20
282	ENSG00000278755	KIR2DL1
283	ENSG00000275795	
284	ENSG00000274786	KIR3DL3
285	ENSG00000275937	KIR2DL5B
286	ENSG00000276324	
287	ENSG00000277240	LILRP1
288	ENSG00000262647	OR9G4
289	ENSG00000273955	KIR2DP1
290	ENSG00000277885	KIR2DS2
291	ENSG00000262068	KRTAP3-1
292	ENSG00000281107	OR5G3
293	ENSG00000275021	U6
294	ENSG00000278786	KIR3DP1
295	ENSG00000276011	KIR2DL2
296	ENSG00000262268	OR9G3P
297	ENSG00000290428	
298	ENSG00000263296	KRTAP3-2
299	ENSG00000281313	OR5G1P
300	ENSG00000281279	OR5G4P
301	ENSG00000277552	KIR3DL3
302	ENSG00000281777	OR9G2P
303	ENSG00000262121	KRTAP4-9
304	ENSG00000273502	KIR3DL3
305	ENSG00000282429	
306	ENSG00000278230	U6
307	ENSG00000261958	OR9G1
308	ENSG00000277271	
309	ENSG00000263091	KRTAP2-4
310	ENSG00000290488	LILRP2
311	ENSG00000281683	
312	ENSG00000262191	OR9G9
313	ENSG00000264450	
314	ENSG00000281839	LINC02735
315	ENSG00000262535	OR5G5P
316	ENSG00000263309	KRT23
317	ENSG00000290500	
318	ENSG00000276218	KIR2DL3
319	ENSG00000274438	KIR2DS2
320	ENSG00000277362	KIR2DL4
321	ENSG00000276254	KIR2DS4
322	ENSG00000273752	U6
323	ENSG00000273522	KIR2DP1
324	ENSG00000274788	LILRP2
325	ENSG00000277750	KIR2DL4
326	ENSG00000278758	KIR3DL2
327	ENSG00000275629	KIR3DL2
328	ENSG00000290532	
329	ENSG00000278726	KIR3DL2
330	ENSG00000274947	KIR2DS4
331	ENSG00000277153	RNU6-222P
332	ENSG00000276243	LILRP2
333	ENSG00000278625	U6
334	ENSG00000274082	
335	ENSG00000275168	U6
336	ENSG00000278025	NCR1
337	ENSG00000280579	
338	ENSG00000278833	
339	ENSG00000280708	
340	ENSG00000277850	KIR2DL4
341	ENSG00000280271	
342	ENSG00000279566	ZNF43
343	ENSG00000281416	
344	ENSG00000267728	KRTAP9-9
345	ENSG00000279614	
346	ENSG00000275974	PPIAL4F
347	ENSG00000263090	KRTAP9-2
348	ENSG00000262512	KRTAP9-4
349	ENSG00000274746	ZNF100
350	ENSG00000262749	KRTAP9-3
351	ENSG00000274465	KIR3DS1
352	ENSG00000280460	
353	ENSG00000263103	KRTAP9-10P
354	ENSG00000267635	
355	ENSG00000274574	U1
356	ENSG00000273990	RNVU1-26
357	ENSG00000267208	
358	ENSG00000262573	KRTAP9-2
359	ENSG00000273757	RNVU1-2A
360	ENSG00000263115	KRTAP9-10P
361	ENSG00000262218	KRTAP29-1
362	ENSG00000262896	KRTAP9-4
363	ENSG00000263263	KRTAP9-6
364	ENSG00000262221	KRTAP9-7
365	ENSG00000262845	KRT40
366	ENSG00000262542	KRTAP29-1
367	ENSG00000279280	CCNYL6
368	ENSG00000262214	KRTAP9-12P
369	ENSG00000276999	
370	ENSG00000262946	KRTAP9-11P
371	ENSG00000279112	BRI3BPP1
372	ENSG00000262594	KRTAP9-9
373	ENSG00000280218	VN1R84P
374	ENSG00000280066	MTDHP4
375	ENSG00000277560	KIR3DP1
376	ENSG00000280830	ADI1
377	ENSG00000274891	TRAPPC12
378	ENSG00000275255	KIR3DP1
379	ENSG00000274912	KIR2DP1
380	ENSG00000275416	KIR3DL2
381	ENSG00000290508	
382	ENSG00000276395	KIR2DS4
383	ENSG00000276310	KIR2DL1
384	ENSG00000276465	KIR2DS4
385	ENSG00000262808	KRTAP1-1
386	ENSG00000262731	
387	ENSG00000263229	KRTAP4-11
388	ENSG00000277392	KIR3DL3
389	ENSG00000262487	
390	ENSG00000262376	KRTAP2-5P
391	ENSG00000262347	KRTAP1-3
392	ENSG00000280770	
393	ENSG00000281723	
394	ENSG00000262520	KRTAP4-16
395	ENSG00000263243	KRT12
396	ENSG00000274708	U6
397	ENSG00000276212	KIR3DP1
398	ENSG00000290528	
399	ENSG00000273929	U6
400	ENSG00000278573	
401	ENSG00000277028	KIR3DL3
402	ENSG00000261862	KRTAP1-5
403	ENSG00000277196	
404	ENSG00000262164	KRT39
405	ENSG00000275353	KIR2DS4
406	ENSG00000282507	
407	ENSG00000277442	NCR1
408	ENSG00000275456	KIR2DL4
409	ENSG00000262616	KRTAP3-4P
410	ENSG00000278809	KIR3DL2
411	ENSG00000261852	KRTAP2-1
412	ENSG00000276808	
413	ENSG00000278190	U6
414	ENSG00000263101	KRTAP3-3
415	ENSG00000262862	KRTAP2-3
416	ENSG00000282534	IMPDH1P5
417	ENSG00000263236	KRTAP4-12
418	ENSG00000274429	DLG5
419	ENSG00000263242	KRTAP1-4
420	ENSG00000278368	KIR3DL1
421	ENSG00000266286	
422	ENSG00000282469	LINC00254
423	ENSG00000261968	KRTAP4-8
424	ENSG00000276333	HS3ST6
425	ENSG00000282650	MEIOB
426	ENSG00000278495	KIR2DL1
427	ENSG00000276882	KIR3DL2
428	ENSG00000282069	LINC02124
429	ENSG00000281763	DHX36
430	ENSG00000281738	LINC01839
431	ENSG00000281250	LINC02054
432	ENSG00000278817	
433	ENSG00000282329	MREGP1
434	ENSG00000275428	
435	ENSG00000276017	
436	ENSG00000281651	KCNQ2-AS1
437	ENSG00000275637	NCR1
438	ENSG00000282391	
439	ENSG00000276371	SINHCAF
440	ENSG00000281151	KCNQ2
441	ENSG00000277101	ARHGEF26
442	ENSG00000278411	U6
443	ENSG00000281020	SNTG2
444	ENSG00000278140	U6
445	ENSG00000277603	TPO
446	ENSG00000276625	KIR2DL1
447	ENSG00000275047	KIR2DS5
448	ENSG00000277375	KIR2DP1
449	ENSG00000275511	KIR3DL2
450	ENSG00000282388	
451	ENSG00000263322	
452	ENSG00000282112	DSEL-AS1
453	ENSG00000275317	KIR2DL4
454	ENSG00000282551	
455	ENSG00000262102	DSEL
456	ENSG00000282176	FLJ13224
457	ENSG00000281496	
458	ENSG00000276938	FAM157A
459	ENSG00000282220	
460	ENSG00000279612	
461	ENSG00000267237	
462	ENSG00000281577	
463	ENSG00000267639	
464	ENSG00000275306	KIR2DS1
465	ENSG00000281503	
466	ENSG00000274706	RNU6-821P
467	ENSG00000278747	U6
468	ENSG00000281513	
469	ENSG00000281081	
470	ENSG00000281062	
471	ENSG00000290324	
472	ENSG00000278403	KIR3DL2
473	ENSG00000281157	ARHGEF26-AS1
474	ENSG00000281617	
475	ENSG00000278116	KIR2DL5A
476	ENSG00000281464	
477	ENSG00000275051	PIWIL1
478	ENSG00000290333	ANKRD18DP
479	ENSG00000275500	
480	ENSG00000281048	
481	ENSG00000276327	KIR2DS1
482	ENSG00000274681	SUDS3P1
483	ENSG00000274597	U6
484	ENSG00000280635	PROP1
485	ENSG00000277835	KIR3DP1
486	ENSG00000277354	CRIM1
487	ENSG00000275495	
488	ENSG00000290403	
489	ENSG00000278476	RPL21P36
490	ENSG00000279215	CRIM1-DT
491	ENSG00000290534	
492	ENSG00000281104	
493	ENSG00000281870	
494	ENSG00000280892	
495	ENSG00000275671	U6
496	ENSG00000273918	
497	ENSG00000274957	KIR2DS4
498	ENSG00000278614	KIR2DP1
499	ENSG00000277567	U6
500	ENSG00000282103	DLGAP2
501	ENSG00000275751	KIR3DP1
502	ENSG00000278430	KIR2DL4
503	ENSG00000290470	
504	ENSG00000282347	
505	ENSG00000282245	
506	ENSG00000282665	ERICH1
507	ENSG00000281914	
508	ENSG00000276086	KIR3DL3
509	ENSG00000275737	KIR2DS2
510	ENSG00000262679	APOBEC3B-AS1
511	ENSG00000262536	
512	ENSG00000280759	AP2A2
513	ENSG00000262156	APOBEC3A
514	ENSG00000278481	KIR2DL5B
515	ENSG00000278229	RPS17
516	ENSG00000282352	ZNF965P
517	ENSG00000282037	GXYLT1P1
518	ENSG00000282782	CYP4F34P
519	ENSG00000277163	KIR2DS3
520	ENSG00000277428	Y_RNA
521	ENSG00000276256	
522	ENSG00000282611	CNN2P12
523	ENSG00000282677	SNX18P26
524	ENSG00000282536	LINC00328-2P
525	ENSG00000278086	
526	ENSG00000282715	ANKRD20A9P
527	ENSG00000278853	RNU6-55P
528	ENSG00000252379	U6
529	ENSG00000277540	KIR2DL4
530	ENSG00000262453	
531	ENSG00000273603	KIR2DS1
532	ENSG00000281232	
533	ENSG00000275596	KIR2DL5A
534	ENSG00000273922	LILRP2
535	ENSG00000281149	
536	ENSG00000280986	LINC01659
537	ENSG00000275608	KIR3DS1
538	ENSG00000281374	
539	ENSG00000263270	
540	ENSG00000274657	FAM230I
541	ENSG00000282233	
542	ENSG00000281254	
543	ENSG00000282753	
544	ENSG00000282596	DNM1P38
545	ENSG00000281173	ABCB10P1
546	ENSG00000282649	SEPTIN9-DT
547	ENSG00000282770	DLG5-AS1
548	ENSG00000282302	SEPTIN9
549	ENSG00000281077	LINC02557
550	ENSG00000282690	
551	ENSG00000281076	ZDHHC8P1
552	ENSG00000290491	
553	ENSG00000276516	RN7SL284P
554	ENSG00000276274	RNU6-1266P
555	ENSG00000280807	TUBGCP5
556	ENSG00000278063	U6
557	ENSG00000275037	KIR3DS1
558	ENSG00000282734	
559	ENSG00000277691	
560	ENSG00000277445	CPEB1
561	ENSG00000278788	SBNO2
562	ENSG00000290451	
563	ENSG00000281997	
564	ENSG00000282141	
565	ENSG00000274980	RNU6-1025P
566	ENSG00000277518	MUC6
567	ENSG00000280839	CES5AP1
568	ENSG00000282001	DLGAP2-AS1
569	ENSG00000282480	
570	ENSG00000282766	
571	ENSG00000282152	DLGAP2
572	ENSG00000290512	
573	ENSG00000278070	GOLGA8DP
574	ENSG00000278247	GOLGA6L1
575	ENSG00000281953	
576	ENSG00000280679	
577	ENSG00000280618	CYFIP1
578	ENSG00000281737	MPHOSPH10P5
579	ENSG00000281754	
580	ENSG00000280490	
581	ENSG00000277046	Metazoa_SRP
582	ENSG00000278508	GOLGA8DP
583	ENSG00000276582	ABCB11
584	ENSG00000276307	LILRP1
585	ENSG00000273883	LILRP2
586	ENSG00000281567	SLC25A51P1
587	ENSG00000278373	G6PC2
588	ENSG00000277364	ADH5P4
589	ENSG00000278821	KIR2DL1
590	ENSG00000290436	
591	ENSG00000277389	KRTAP5-6
592	ENSG00000281999	
593	ENSG00000282044	
594	ENSG00000280585	KRTAP5-1
595	ENSG00000278728	CNTNAP2
596	ENSG00000278620	KRTAP5-4
597	ENSG00000281725	ELMO2P1
598	ENSG00000281919	SLC45A2
599	ENSG00000278302	KRTAP5-5
600	ENSG00000290446	
601	ENSG00000277909	SPC25
602	ENSG00000281261	FAM99A
603	ENSG00000281633	LINC02708
604	ENSG00000277069	RXFP3
605	ENSG00000281176	KRTAP5-AS1
606	ENSG00000281690	ADAMTS12
607	ENSG00000262159	RPS6P22
608	ENSG00000262592	LRIG3-DT
609	ENSG00000262036	
610	ENSG00000281012	
611	ENSG00000277091	U6
612	ENSG00000281111	
613	ENSG00000275009	GOLGA6L1
614	ENSG00000278165	DUSP8
615	ENSG00000282606	CTDP1-DT
616	ENSG00000274296	DECR2
617	ENSG00000273498	KIR2DL4
618	ENSG00000281949	
619	ENSG00000282330	
620	ENSG00000281995	
621	ENSG00000281942	
622	ENSG00000277205	U3
623	ENSG00000274906	Metazoa_SRP
624	ENSG00000282752	CTDP1
625	ENSG00000275326	NOSTRIN
626	ENSG00000280461	ABCB10P1
627	ENSG00000281829	FAM99B
628	ENSG00000276856	TUBGCP5
629	ENSG00000281618	IFITM10
630	ENSG00000280716	FRG1-DT
631	ENSG00000275517	PRB1
632	ENSG00000281191	KRTAP5-3
633	ENSG00000281830	LINC01596
634	ENSG00000281533	KRTAP5-2
635	ENSG00000281916	
636	ENSG00000276052	RNU1-51P
637	ENSG00000279389	GARRE1
638	ENSG00000281758	KCNIP4
639	ENSG00000281559	
640	ENSG00000280838	
641	ENSG00000281470	
642	ENSG00000278361	KIR3DL2
643	ENSG00000262860	LSM14A
644	ENSG00000262892	
645	ENSG00000278432	
646	ENSG00000276731	KIR2DL2
647	ENSG00000262634	SKA1
648	ENSG00000277894	LILRP1
649	ENSG00000276279	KIR2DP1
650	ENSG00000276177	KIR2DL5A
651	ENSG00000274394	KIR3DL3
652	ENSG00000275031	METRNL
653	ENSG00000281945	
654	ENSG00000262113	
655	ENSG00000278759	TBCD
656	ENSG00000282110	MAPK4
657	ENSG00000262473	GART
658	ENSG00000282201	
659	ENSG00000273666	LILRP2
660	ENSG00000275338	RAB11FIP3
661	ENSG00000282085	
662	ENSG00000278277	
663	ENSG00000282443	
664	ENSG00000276994	
665	ENSG00000262132	RNA5SP458
666	ENSG00000278692	KIR2DL2
667	ENSG00000275522	KIR2DL1
668	ENSG00000280784	
669	ENSG00000280557	GNG5P1
670	ENSG00000280765	
671	ENSG00000275735	KIR2DS2
672	ENSG00000280898	
673	ENSG00000273546	LILRP1
674	ENSG00000275782	U6
675	ENSG00000274623	U6
676	ENSG00000278691	KIR3DP1
677	ENSG00000276896	GOLGA8F
678	ENSG00000276197	
679	ENSG00000274917	RNA5-8SN5
680	ENSG00000273730	5_8S_rRNA
681	ENSG00000290570	
682	ENSG00000273937	
683	ENSG00000262148	RPS5P3
684	ENSG00000262911	DNAJC28
685	ENSG00000281486	SNTG2
686	ENSG00000274404	GOLGA6L22
687	ENSG00000278489	KRTAP5-2
688	ENSG00000280815	OR2AS2P
689	ENSG00000281240	LINC02708
690	ENSG00000278659	OR2T6
691	ENSG00000262795	IFNGR2
692	ENSG00000275754	OR2T2
693	ENSG00000281783	FAM99B
694	ENSG00000281537	
695	ENSG00000281828	HERC2P7
696	ENSG00000281846	SPATA31E3P
697	ENSG00000281733	FAM99A
698	ENSG00000277175	KIR3DL1
699	ENSG00000281422	
700	ENSG00000280700	MPHOSPH10P9
701	ENSG00000275617	OR2T4
702	ENSG00000276062	Metazoa_SRP
703	ENSG00000282814	
704	ENSG00000282090	HERC2P11
705	ENSG00000275920	KRTAP5-3
706	ENSG00000276377	Metazoa_SRP
707	ENSG00000278429	GOLGA8EP
708	ENSG00000277068	KRTAP5-4
709	ENSG00000276143	
710	ENSG00000274320	GOLGA6L9
711	ENSG00000275855	
712	ENSG00000278210	KRTAP5-1
713	ENSG00000282126	
714	ENSG00000281489	OR2T7
715	ENSG00000281645	
716	ENSG00000273651	GOLGA8G
717	ENSG00000273508	OR2T1
718	ENSG00000280737	LINC02549
719	ENSG00000277291	KRTAP5-5
720	ENSG00000281801	KRTAP5-AS1
721	ENSG00000277113	OR2T3
722	ENSG00000275102	OR2T5
723	ENSG00000273793	DUSP8
724	ENSG00000290481	
725	ENSG00000281658	
726	ENSG00000280787	HERC2P2
727	ENSG00000282755	
728	ENSG00000276565	
729	ENSG00000282514	
730	ENSG00000276228	UBE2Q2P6
731	ENSG00000274042	GOLGA6L10
732	ENSG00000290487	
733	ENSG00000275049	
734	ENSG00000274166	GOLGA6L10
735	ENSG00000281356	GOLGA8IP
736	ENSG00000281775	FTCD
737	ENSG00000277400	
738	ENSG00000290526	GOLGA8IP
739	ENSG00000274847	MAFIP
740	ENSG00000261846	AADACL2
741	ENSG00000263160	TMEM50B
742	ENSG00000280476	MPHOSPH10P5
743	ENSG00000273673	
744	ENSG00000274040	Metazoa_SRP
745	ENSG00000280500	ELMO2P1
746	ENSG00000282457	CSPG4P10
747	ENSG00000290432	
748	ENSG00000262411	LINC02066
749	ENSG00000290468	
750	ENSG00000263127	RPL4P5
751	ENSG00000262466	AADACL2-AS1
752	ENSG00000282378	
753	ENSG00000282209	GOLGA6L17P
754	ENSG00000282485	LINC00235
755	ENSG00000226463	OR2W1
756	ENSG00000282214	CAPN15
757	ENSG00000274018	Y_RNA
758	ENSG00000290504	
759	ENSG00000282464	
760	ENSG00000277374	U1
761	ENSG00000281122	MAD2L1-DT
762	ENSG00000281687	SDHAP2
763	ENSG00000281216	KIF26B
764	ENSG00000278633	
765	ENSG00000278066	
766	ENSG00000273831	LRRC56
767	ENSG00000282183	GOLGA2P10
768	ENSG00000277033	B3GNTL1
769	ENSG00000281753	
770	ENSG00000280541	FTCD-AS1
771	ENSG00000281289	LSS
772	ENSG00000281060	MUC20-OT1
773	ENSG00000290533	
774	ENSG00000272603	NOP56P1
775	ENSG00000280750	
776	ENSG00000281019	LINC02982
777	ENSG00000263141	PAXBP1
778	ENSG00000281976	ADAMTS7P1
779	ENSG00000276920	NKD2
780	ENSG00000224229	
781	ENSG00000280613	NDUFA6-DT
782	ENSG00000273785	CYP2D8P
783	ENSG00000273635	
784	ENSG00000282531	
785	ENSG00000276455	GOLGA6L22
786	ENSG00000278846	OLA1P1
787	ENSG00000281946	
788	ENSG00000280556	
789	ENSG00000274192	ABCB10P4
790	ENSG00000273969	
791	ENSG00000280880	
792	ENSG00000282058	
793	ENSG00000291160	
794	ENSG00000262938	C21orf62
795	ENSG00000274780	PHRF1
796	ENSG00000241408	
797	ENSG00000281542	
798	ENSG00000277365	NDUFA6
799	ENSG00000263314	
800	ENSG00000276485	GOLGA6L25P
801	ENSG00000282377	
802	ENSG00000236927	OR14J1
803	ENSG00000291161	
804	ENSG00000282516	
805	ENSG00000282731	
806	ENSG00000282587	
807	ENSG00000277278	HERC2
808	ENSG00000263140	C21orf62-AS1
809	ENSG00000282084	UBE2Q2P2
810	ENSG00000280821	
811	ENSG00000276374	
812	ENSG00000278688	
813	ENSG00000272835	SMDT1
814	ENSG00000274801	
815	ENSG00000282581	
816	ENSG00000291162	UBE2Q2P2
817	ENSG00000276767	Metazoa_SRP
818	ENSG00000274112	SMDT1
819	ENSG00000277251	KIR2DL2
820	ENSG00000274700	
821	ENSG00000274122	Metazoa_SRP
822	ENSG00000276005	
823	ENSG00000290583	
824	ENSG00000280072	
825	ENSG00000273194	OLA1P1
826	ENSG00000273397	NDUFA6
827	ENSG00000234495	TRIM27
828	ENSG00000275211	CYP2D6
829	ENSG00000280621	
830	ENSG00000273748	
831	ENSG00000276482	SLC12A7
832	ENSG00000280909	SDHAP2
833	ENSG00000281184	PSMB1
834	ENSG00000281417	
